Frau Präsidentin! Jetzt weiß ich, wie man Redezeit verändern und verlängern kann.	Madam President, now I know how to go about changing and extending one's speaking time.
Der Beschäftigungsausschuss hat 18 Wochen Mutterschutz gefordert, das sind 4 Wochen mehr als in Deutschland einvernehmlich beschlossen.	The Committee on Employment and Social Affairs has called for 18 weeks' maternity provision, which is four weeks more than was amicably agreed in Germany.
Der Frauenausschuss hat 20 Wochen gefordert bei 100 % Lohnfortzahlung plus zweiwöchigem Vaterschaftsurlaub plus Ausdehnung auf Selbstständige.	The Committee on Women's Rights and Gender Equality has called for 20 weeks on full pay plus two weeks' paternity leave plus extension to self-employed workers.
Völlig ausgeblendet wird: 20 Wochen kosten Frankreich pro Jahr 2 Milliarden Euro zusätzlich oder Großbritannien 2,85 Milliarden zusätzlich nach Aussagen der Kommission.	What has been completely pushed into the background is the fact that 20 weeks will cost France an additional EUR 2 billion per year and the UK an additional EUR 2.85 billion, according to statements by the Commission.
Für Deutschland rechnen wir mit Mehrkosten von etwa 1,7 Milliarden Euro.	For Germany the additional costs are estimated at around EUR 1.7 billion.
Gelegentlich muss man auch die Kosten bedenken.	Sometimes, you have to think of the costs.
Kürzlich hatten wir eine gemeinsame Studie der Ausschüsse EMPL und FEMM mit zahlreichen handwerklichen Fehlern.	We recently had a joint study by the EMPL and FEMM committees that was drawn up with numerous errors.
Zahlungen wie etwa das Mutterschaftsgeld in Deutschland wurden nicht einbezogen.	Payments such as Germany's maternity allowance were not included.
Der Bezugsraum für das deutsche Elterngeld ist falsch.	The reference framework for German parental allowance was incorrect.
Die von einigen Mitgliedstaaten in Auftrag gegebenen Kostenschätzungen wurden nicht ausreichend berücksichtigt.	The cost estimates commissioned by some Member States were not sufficiently taken into account.
Auf einer solchen Grundlage kann man keine verantwortungsvolle Politik machen.	You cannot make responsible policy on such a basis.
Deutschland ist vorbildlich: In einer Elternzeit werden zwei Drittel des Gehalts bis zu 14 Monate weitergezahlt.	Germany is exemplary: during the parental leave period, two thirds of salary continue to be paid for up to 14 months.
Aus 14 Wochen Mutterschutz werden so bis zu 170 Wochen.	This extends 14 weeks of maternity provision to up to 170 weeks.
Deutschland ist also ein Babyschutz-Europameister und braucht eine Ausnahmeregelung in dieser Richtlinie.	This makes Germany a European champion when it comes to protecting infants, and consequently, it needs an exemption clause in this directive.
Deshalb habe ich mit 50 Kolleginnen und Kollegen der EVP einen Passerelle-Antrag eingebracht, der von der ECR-Fraktion und großen Teilen von ALDE unterstützt wird.	This is why I have tabled an amendment, together with 50 of my fellow Members from the Group of the European People's Party (Christian Democrats), which is supported by the European Conservatives and Reformists and large parts of the Group of the Alliance of Liberals and Democrats for Europe.
Unser Ziel ist, nationale Systeme ausreichend zu berücksichtigen.	Our aim is for sufficient account to be taken of national systems.
Dieser Antrag der Vernunft findet hoffentlich bei der Abstimmung am Mittwoch eine Mehrheit.	We hope that a majority of this House will support this call for reason to prevail in the vote on Wednesday.
Wir wollen, dass Mütter ausreichend geschützt werden, aber jede überzogene Ausweitung, gerade aus ideologischen Gründen, ist für die Einstellung von Frauen ein so hohes Hindernis, und das muss beseitigt werden, anstatt es zu fördern.	We want mothers to enjoy adequate protection; but if such protection is carried too far, specifically for ideological reasons, this will represent a major obstacle to women's employment - which is something that we must remove, not encourage.
