schriftlich. - Die Schlagkraft der Europäischen Union steht und fällt mit ihrem Budget.	The effectiveness of the European Union is completely dependent on its budget.
Ich unterstütze die vorliegenden Vorschläge zum Budget 2011, weil die wichtigen Politikbereiche berücksichtigt und den einzelnen Stellungnahmen Rechnung getragen werden.	I support these proposals for the 2011 budget because the important policy areas and the individual opinions have been taken into account.
Klar muss sein, dass die EU in Zukunft nicht mit weniger finanziellen Mitteln auskommen kann, um ihre umfassenden Aufgaben zu erfüllen.	It must be clear that the EU will not be able to fulfil its extensive tasks in future with fewer financial resources.
Als bäuerliche Vertreterin bin ich entschieden dagegen, dass Gelder aus dem Agrarbereich abgezogen werden.	As a representative of farmers, I am absolutely opposed to money being taken away from agriculture.
Finanzielle Rückflüsse sollen für die Planungssicherheit unserer Bauern eingesetzt werden, anstatt sie in andere Politikbereiche umzuschichten.	Financial recoveries should be used to provide planning certainty for our farmers instead of reallocating them to other policy areas.
Aktuell sollten Mittel aus der Landwirtschaft für die Finanzierung des Nuklearfoschungsprojekts ITER eingesetzt werden.	Currently, funds are to be taken from agriculture and used to finance the nuclear research project ITER.
Das Beispiel zeigt, dass die Finanzierung großer Forschungsprojekte von Rückflüssen aus anderen Bereichen abhängt, deren Höhe im Voraus aber nur schwer festzulegen ist.	This example shows that the financing of large-scale research projects is dependent on recoveries from other areas, the amount of which is difficult to determine in advance.
Es darf nicht sein, dass für die europäische Forschung keine langfristigen und durchdachten Finanzierungspläne gemacht werden.	It should not be the case that no long-term and carefully considered plans are made for the financing of European research.
Die Agrarpolitik denkt und plant auch langfristig, diese Sicherheit müssen wir an die landwirtschaftlichen Betriebe weitergeben.	Agricultural policy also has long-term considerations and plans and this type of security is something we must pass on to agricultural undertakings.
Als schwächstes Glied in der Lebensmittelkette brauchen die bäuerlichen Betriebe Planungssicherheit, um existieren zu können.	As the weakest link in the food chain, farms need the security to be able to make plans in order to be able to exist.
Es bedarf einer Zweckbindung der dafür vorgesehenen finanziellen Mittel, um die Wettbewerbsfähigkeit der Landwirtschaft in der EU zu stärken.	Ring-fencing of the financial resources provided for this is necessary in order to strengthen the competitiveness of agriculture in the EU.
Investitionen in landwirtschaftliche Forschung und grüne Technologie sind Zukunftsinvestitionen und schaffen neue Arbeitsplätze.	Investments in agricultural research and green technology are investments in the future and they will create new jobs.
