Herr Präsident! Für unsere Ozeane zeigt die Uhr auf fünf vor zwölf.	Mr President, as far as our oceans are concerned, time is running out.
Zerstören wir unsere Meere weiterhin in diesem Tempo, vernichten wir uns letztlich selbst, denn bekanntlich werden 70 % unseres Sauerstoffs von Meeresflora produziert.	If we continue to destroy them at the current rate, we will ultimately destroy ourselves, because 70% of the world's oxygen is produced by marine flora.
Es genügt nicht - wie wir es gerne machen -, Umweltschutz innerhalb der EU zu betreiben, Luft und Wasser kennen bekanntlich keine Grenzen.	It is not enough to promote the protection of the environment within the EU, as we are always so keen to do, because it is a well-known fact that wind and waves are no respecters of borders.
So ist es für mich unverständlich, dass hier keine klaren Regelungen getroffen werden, wenn reiche Industrienationen ihre Umweltprobleme in die dritte Welt auslagern.	Therefore, I really do not understand why we are not putting clear regulations in place, when rich industrial nations are able to shift their environmental problems to the developing countries.
Ich vermisse in diesem Zusammenhang klare Regelungen für das Abwracken von Schiffen, die von Europa tonnenweise als asbestverseuchter Schrott zum Abwracken nach Indien, Bangladesch, Pakistan geschickt werden, wo ganze Küstenstriche verseucht werden.	I think we need specific regulations for ship breaking. Ships consisting of tonnes of waste polluted with asbestos are sent from Europe to India, Bangladesh and Pakistan to be broken up, where they contaminate whole stretches of coastline.
Aber wir kriegen ja alles wieder zurück in Form von verseuchten Meerestieren, die dann über die Nahrungskette auf unseren Speisetischen landen.	However, this all comes back to us in the form of contaminated seafood, which ends up on our plates via the food chain.
Von den Arbeitern in diesen Ländern gar nicht zu sprechen, die unter unzureichenden Sicherheitsvorkehrungen ihr Leben riskieren.	We have not even mentioned the workers in these countries who risk their lives as a result of inadequate safety precautions.
Ein Tag, ein Schiff, ein Toter - so sagen die Schiffsverschrotter im indischen Alang selbst über ihren gefährlichen Job.	A day, a ship, a death. This is how the shipbreakers in the Indian town of Alang describe their dangerous job.
Ich vermisse auch klare Regelungen für Tiefseebohrungen.	We also have no clear regulations for deep sea drilling.
In diesem Zusammenhang möchte ich aber auch den Vorstoß von Kommissar Öttinger sehr positiv erwähnen, der sich hier bemüht, Regelungen für die Sicherheit von Bohrplattformen aufzustellen bzw. in den Griff zu bekommen.	In this context, I would like to highlight the very positive move made by Mr Öttinger, who is attempting to put in place regulations governing the safety of drilling platforms.
Ich vermisse klare Regelungen für die viel befahrenen Wasserstraßen - Beispiel Bosporus -, wo immer noch keine absolute Lotsenpflicht verhängt wurde und täglich große Tanker durch diese Meerenge fahren.	There are no regulations for busy shipping lanes, such as the Bosphorus, where compulsory pilotage has not yet been introduced. Large tankers pass through these straits every day.
Positiv möchte ich anmerken, dass mittlerweile Schifffahrtsunternehmen beim Umwelt- und Tierschutz selbständig tätig werden.	Another positive feature that I would like to mention is the fact that shipping companies are playing an active role in protecting the environment and marine animals.
So hat eine italienische Reederei ein System installiert, welches Zusammenstöße mit Walen verhindern soll.	For example, an Italian shipping firm has installed a system which will prevent its ships from colliding with whales.
Es wäre daher durchaus angebracht, dass die EU derart positive private Vorstöße auch unterstützt.	It would be a very good idea for the EU to support positive measures of this kind taken by private companies.
