Herr Präsident, liebe Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, let us be frank.
Seien wir doch ehrlich: Leider hat die Orange Revolution - ich sage betont leider - nicht das gebracht, was sie hätte bringen sollen.	Unfortunately, the Orange Revolution, and I would like to emphasise the word 'unfortunately' here, has not achieved what it should have done.
Unter anderem aufgrund des Streits zwischen Tymoschenko und Jutschenko.	This is because of the dispute between Mrs Tymoshenko and Mr Yushchenko, among other things.
Jutschenko sagt heute, Tymoschenko sei dasselbe wie Jannkowytsch, auch interessant.	Mr Yushchenko is now saying that Mrs Tymoshenko is exactly the same as Mr Yanukovych, which is interesting.
Leider haben die Lokalwahlen nicht das gebracht, was wir erwartet haben.	Sadly, the local elections have not lived up to our expectations.
Sie haben nicht den europäischen Standards entsprochen, und das ist inzwischen auch den Leuten in der Ukraine klar.	They did not comply with European standards and this has now also become clear to the people of Ukraine.
Seien wir ehrlich - das was der Kollege Severin gemeint hat, ist ganz was anderes, Herr Kollege Gahler.	Let us be honest, what Mr Severin meant was something quite different, Mr Gahler.
Reden Sie mit Timoschenko so, wie wir mit unseren Freunden in der Partei der Regionen reden, nämlich klar auf den europäischen Weg zuzugehen.	You should talk to Mrs Tymoshenko in the same way as we do to our friends in the Ukrainian Party of Regions, in other words, you should encourage her to take the European route.
Lassen wir die Oligarchen beiseite, gehen wir in Richtung Demokratie.	Let us leave the oligarchs behind us and move towards a democratic state.
Versuchen Sie nicht, die Arbeit des Parlaments zu stören, und wir werden sicherlich Druck ausüben, dass die Rechtsnormen nach dem europäischen Standard eingehalten werden.	Do not attempt to interrupt the work of Parliament and we will definitely exert pressure to ensure that European legal standards are met.
Frau Harms sitzt in der Mitte.	Mrs Harms is sitting in the middle.
Obwohl es nicht immer die Position der Grünen ist, in der Mitte zu sein, können wir uns einigen auf das, was Frau Harms gesagt hat.	Although this is not always the position taken by the Group of the Greens/European Free Alliance, we can agree on what Mrs Harms has said.
Helfen wir dem Land wirklich auf die Sprünge, im Sinne der europäischen Standards, im Sinne der europäischen Rechtsordnung.	Let us give this country a helping hand, on the basis of European standards and a European legal system.
Das ist wichtig von allen Seiten.	This is important on all sides.
Das ist unsere Politik, die werden wir verfolgen, ohne dass wir Nachsehen haben.	It is our policy and we will continue with it until we get somewhere.
Und so haben wir auch kritisiert, dass die Wahlen nicht gut gelaufen sind.	This is why we were critical of the fact that the elections did not go well.
Schauen Sie auch, dass Tymoschenko hilft, dass eine Opposition da ist, die konstruktiv ist.	Make sure that Mrs Tymoshenko helps to set up a constructive opposition.
Beraten Sie Frau Tymoschenko, so wie wir den Herrn Jannkowytsch beraten.	Advise Mrs Tymoshenko in the same way as we did Mr Yanukovych.
