Verfasserin. - Herr Präsident! Ich möchte nur eine Bemerkung zu Herrn Harbour machen.	Mr President, I have a comment that I would like to direct to Mr Harbour.
Das klingt zwar sehr schön, Herr Harbour, aber ich glaube trotzdem, dass wir auch einige Hausaufgaben selber machen müssen.	That sounds great, Mr Harbour, but I still think that we have some work to do on our side, too.
Es kann ja kein Zufall sein, dass wir jedes Mal vor Weihnachten, so auch dieses Jahr wieder, die Frage der Sicherheit von Kinderspielzeug hier im Parlament diskutieren.	It cannot be a coincidence that we debate the issue of toy safety in Parliament in the run-up to each Christmas, as we are doing again this year.
Schon im letzten Jahr waren es vor allem die krebserregenden Stoffe, die sogenannten Weichmacher in Kinderspielzeug.	Just last year, it was the carcinogenic substances in toys known as softening agents that we were debating.
Kommissar Verheugen hat uns im letzten Jahr ausdrücklich versprochen, dass es neue Studien geben wird und dass er gegebenenfalls Konsequenzen ziehen wird.	Commissioner Verheugen promised us specifically over the last year that there would be new studies and that he would take action where appropriate.
Diese Studien liegen nun seit Mitte dieses Jahres vor.	These studies have been on the table since the middle of this year.
Die Grenzwerte für die sogenannten PAK, also die krebserregenden Substanzen, sind laut der Studie von SCHER, dem wissenschaftlichen Ausschuss für Gesundheit und Umweltrisiken, zu hoch.	According to the study by SCHER, the Scientific Committee on Health and Environmental Risks, the limit values for the PAHs - the carcinogenic substances - are too high.
Aber auch die Testmethoden sind nicht verlässlich genug.	The methods of testing, too, are not reliable enough.
Darüber müssen wir nachdenken.	We need to give this some thought.
Meine Frage an den Herrn Kommissar ist, wie er dieses Erbe antreten wird, welche Konsequenzen er aus dieser Kritik ziehen wird und was er in diesem Bereich machen wird.	My questions to the Commissioner are, how will he deal with what he has inherited in this regard and what action will he take as a result of this criticism and in this field?
Auch die Grenzwerte für Schwermetalle, vor allem für Blei, sind - wie SCHER in einer anderen Studie festgestellt hat - "no longer appropriate".	The limit values for heavy metals, too, especially for lead, are 'no longer appropriate', to quote another SCHER study.
Was heißt das für uns?	What does that mean for us?
Passen wir die Schwermetalle an, werden wir im Komitologieverfahren hier andere Grenzwerte vorsehen?	If we make adjustments for the heavy metals, will we provide different limit values in the comitology procedure?
Ich fordere die Kommission auf, auch hier tätig zu werden.	I call on the Commission to take action in this area, too.
Wir warten außerdem immer noch auf die zugesagten Grenzwerte für gesundheitsschädigenden Lärm bei Kinderspielzeug.	In addition, we are also still awaiting the promised limit values for noise made by toys that is deleterious to health.
Das wurde uns damals bei der Verabschiedung in erster Lesung versprochen, das sollte bald vorgelegt werden.	We were promised these values when we passed the first reading; they should be presented to us soon.
Ich hoffe, dass es bald kommt.	I hope that we will have these values soon.
Und last but not least möchte auch ich noch einmal auf das Thema der Marktüberwachung hinweisen, denn die besten Richtlinien sind nur so viel wert wie die Marktüberwachung, die dann schließlich die Kontrolle der Einhaltung dieser Richtlinien gewährleistet, und natürlich auch auf die Frage des Zolls.	Last but not least, I would also like, once again, to come back to the issue of market supervision, as the best directives are only worth as much as their market supervision, which ultimately ensures the monitoring of compliance with the directives, and of course, to the tariff issue.
Herr Tajani weiß ja, dass wir in diesem Bereich gern mit ihm zusammenarbeiten werden.	Mr Tajani knows, of course, that we would be happy to collaborate with him in this area.
Wir haben mit Christel Schaldemose eine Berichterstatterin, die genau in diesem Bereich für weitere Schritte sorgen möchte.	In the shape of Mrs Schaldemose, we have a rapporteur who is looking to bring about further moves in this very area.
Da werden wir eng zusammenarbeiten.	We will work closely together on this.
Das wird der nächste wichtige Schritt sein neben der Frage der Grenzwerte für Schwermetalle und für krebserregende Stoffe.	This will be the next important step, alongside the issue of the limit value for heavy metals and for carcinogens.
