Herr Präsident! Wir haben hier gerade eine deutsche Schuldzuweisungstragödie erlebt.	Mr President, we have just seen a tragic accusation being made against Germany.
Das erinnert schon verhängnisvoll an die späten Zwanzigerjahre.	It is an ominous reminder of the late 1920s.
Als glühender Pro-Europäer und als hartnäckiger Verfechter des Euros rufe ich euch zu: Merkt Ihr denn nicht, wie Ihr jetzt gerade dieses großartige Friedens- und Wirtschaftsprojekt der Europäischen Union an die Wand fahrt?	As an enthusiastic pro-European and stubborn supporter of the Euro, I would like to ask you: Have you not noticed that you are driving the European Union, this great project for peace and economic prosperity, into the ground?
Zu Recht hat Daniel Cohn-Bendit davon gesprochen, dass hier immer zu spät reagiert wird und immer im Nachhinein.	Mr Cohn-Bendit has rightly said that we always react too late and always in retrospect.
Jetzt müssen wir nach vorne schauen!	Now we must look to the future.
Merkt Ihr nicht, was draußen los ist?	Have you not noticed what is going on outside?
Die Leute interessieren sich nicht mehr für diese rot-schwarzen Zänkereien, weder in meiner Heimat noch hier im Europäischen Parlament, sondern sie interessieren sich für Lösungen.	People are no longer interested in the squabbling between the socialists and the conservatives, either in my home country or here in the European Parliament.
Sie interessieren sich dafür, ob ihr Geld noch sicher ist.	They are interested in solutions and in whether their money is still safe.
Und man muss ihnen ehrlicherweise sagen: Das ist nicht mehr der Fall.	We have to say honestly to them that this is no longer the case.
Wir müssen den nächsten Schritt vorziehen und sagen: Jawohl, wir müssen den Mut zu einem Schuldenschnitt haben, wir müssen die Banken endlich zahlen lassen, auch wenn es unsere Lebensversicherungen mit betrifft, und wir müssen dann ein neues europäisches politisches Projekt errichten, das eben die Probleme des Lissabon-Vertrags nicht mehr hat.	We must bring forward the next step and admit that we need the courage to write off debts, we must finally make the banks pay, even if it affects our life insurance policies, and we must establish a new European political project which is not burdened with the problems of the Treaty of Lisbon.
Wir sitzen jetzt in der Falle.	We are caught in a trap.
Wenn jetzt diese Artikelergänzung kommt, werden wir es erleben, dass in Irland eine Volksabstimmung mit Nein ausgeht.	If we amend this article, we will find that Ireland will vote no in a referendum.
Das ist auch in meiner Heimat zu erwarten.	We can expect the same thing to happen in my home country.
Wir haben ein Riesenproblem in Großbritannien.	In addition, we have a huge problem in the United Kingdom.
Wacht endlich auf, Kolleginnen und Kollegen!	Ladies and gentlemen, you must wake up to what is happening.
