Frau Präsidentin! Martin Schulz hat Recht.	Madam President, Mr Schulz is right.
Wir stecken in einer massiven Vertrauenskrise, und die Ratsmitglieder streuen den Bürgern Sand in die Augen.	We are in the midst of a huge crisis of confidence and the members of the Council are pulling the wool over the citizens' eyes.
Sie sagen ihnen, alles sei unter Kontrolle, es bedürfe nur minimaler Vertragsänderungen unter Einführung eines permanenten Stabilisierungsmechanismus und dann sei die Sache in Ordnung.	They are telling them that everything is under control, we just need to make small changes to the treaty by introducing a permanent stability mechanism and then the problem will be resolved.
De facto ist die Situation nicht unter Kontrolle.	In fact, the situation is not under control.
Die Mitgliedstaaten reagieren anstatt zu agieren, sie springen von Feuer zu Feuer, aber sie können die Glut nicht löschen.	The Member States are reacting rather than actually taking action. They are desperately firefighting, but they cannot put out the flames.
Und die Märkte fragen sich: Wer führt eigentlich in Europa und in der Eurozone?	The markets are asking themselves: Who is actually in control in Europe and in the euro area?
Die EU ist an einer ganz kritischen Wendemarke.	The EU has reached a critical turning point.
Wenn wir jetzt nicht den richtigen Weg einschlagen, werden wir noch nicht einmal den Status quo verteidigen können, sondern wir werden einen Rückschritt erleben.	If we do not choose the right path now, we will not even be able to maintain the status quo. Instead we will take a step backwards.
Was wir brauchen, sind weitere Integrationsschritte.	What we need are further moves towards integration.
Wir brauchen mehr Europa, wir müssen den Binnenmarkt vollenden, einschließlich des Dienstleistungssektors.	We need more Europe. We must finish establishing the internal market, including the service sector.
Wir brauchen neben der Währungsunion auch eine Wirtschafts-, Budget- und Fiskalunion.	Alongside the monetary union, we need an economic, budgetary and fiscal union.
Und wir brauchen eine starke Kommission, die das Recht und die Kraft hat, diese Wirtschaftsunion tatsächlich zu steuern und zu überwachen und dann auch automatisch Sanktionen auszulösen, wenn diese gerechtfertigt sind.	We also need a strong Commission which has the right and the power to control and monitor this economic union and to impose sanctions automatically, in cases where this is justified.
Wenn wir diese Integrationsschritte haben, dann können wir auch über die Einführung von Eurobonds reden.	If we take these steps towards more integration, then we can talk about the introduction of eurobonds.
Dann ist die Voraussetzung dafür geschaffen.	Then we will have laid the foundations for them.
Wir müssen bei alledem auch sicherstellen, dass wir langfristig die Investitionsmittel haben, die wir brauchen, trotz aller berechtigten Sparbeschlüsse, um die Wettbewerbsfähigkeit der Europäischen Union mittel- und langfristig zu sichern.	However, during all of this we must ensure that we have the long-term investment funding that we need, despite all of the justifiable austerity measures, to secure the European Union's competitive ability in the medium and long term.
Wir müssen den Bürgern endlich die Wahrheit sagen.	We must finally tell the citizens the truth.
Wir brauchen Lösungen ohne Scheuklappen und müssen ideologiefrei diskutieren und aufhören, uns durchwursteln zu wollen.	We need solutions without blinkers, we must discuss the issues without bringing in ideologies and we must stop trying to muddle through.
Was gefragt ist, ist langfristig angelegtes Handeln und nicht kurzfristiges Reagieren.	What we require is action for the long term, rather than short-term reactions.
