Herr Präsident! Ich begrüße es sehr, dass diese Richtlinie nun endlich zum Tragen kommt.	Mr President, I very much welcome the fact that this directive is finally coming into force.
Ich möchte daran erinnern: Es schien ja einmal so, dass der ganze Gesetzgebungsprozess scheitert.	I would like to remind Parliament that at one point, it seemed as if the whole legislative process would fail.
Ich glaube, es ist dem Geschick der Berichterstatterin und dem Vermittlungsteam zu verdanken - und natürlich auch der belgischen Präsidentschaft -, dass nun ein Ergebnis vorliegt, mit dem wir sicher sehr zufrieden sein können.	I believe that it is due to the skill of the rapporteur and the negotiating team and, of course, the Belgian Presidency, that we have a result that we can be very satisfied with.
Ich begrüße besonders, dass das Recht der Mitgliedstaaten, die Behandlung in einem anderen Land einzuschränken, hier klarer definiert wurde.	I am particularly pleased that the right of Member States to put restrictions on treatment in another country has been more clearly defined.
Nach dem Vorschlag der Mitgliedstaaten war dies ja nicht der Fall.	This was not the case in the proposal put forward by the Member States.
Ich glaube, dass jetzt eine Entscheidung vorliegt, bei der die Nachvollziehbarkeit und die Überprüfbarkeit der Ablehnung einer Behandlung klar nachvollzogen werden können.	I think that we now have a decision that will allow the process of rejecting a request for treatment to be traced and verified.
Das ist ein richtiger und wichtiger Schritt.	This is an important step forward.
Wem helfen wir denn besonders?	Who are we helping, in particular?
Ich glaube, wir helfen zunächst den 60 000 Menschen, die auf den Wartelisten für Organtransplantationen stehen.	I believe that we are helping the 60 000 people who are on waiting lists for organ transplants.
Wir haben natürlich schon die Richtlinie zur Organtransplantation verabschiedet, aber hier ist ein weiterer Schritt erfolgt, um auch die Wartezeiten zu verkürzen.	We have, of course, already adopted the directive on organ transplants, but this is another measure which will reduce waiting times.
Wir helfen andererseits den Millionen Menschen, die an einer der 30 000 bekannten seltenen Krankheiten erkrankt sind.	We are also helping the millions of people suffering from one of the 30 000 rare diseases.
Diese können jetzt viel gezielter und qualitativ besser behandelt werden, wenn sie eine Behandlung in einem anderen Land suchen.	They will be able to receive more targeted and better quality treatment if they travel to another country.
Ich denke aber nicht, dass durch diese Richtlinie ein Patiententourismus in Europa entstehen wird.	However, I do not think that this directive will result in the development of health tourism in Europe.
Deswegen ist die Befürchtung, die von der linken Seite dieses Hauses kommt, völlig überflüssig.	I think that the fears expressed by those on the left of this House are totally unfounded.
Mit dieser Sache sollten wir uns nicht beschäftigen.	This is not an issue that we need to concern ourselves with.
