im Namen der GUE/NGL-Fraktion. - Herr Präsident!	Mr President, what is this all about?
Worum geht es hier? Um organisierte Kriminalität oder um politisch und/oder religiös organisierten Terrorismus?	Is it about organised crime or about political and/or religious terrorism?
Das ist eine wichtige Frage bei der Beurteilung der Situation.	This is an important question when it comes to assessing the situation.
Experten für die Region sind bis heute der Ansicht, dass es sich eher um Kriminalität als um religiös motivierten international ausgerichteten Terrorismus handelt.	Experts on this region are of the opinion that this is more to do with crime than with religiously motivated international terrorism.
Maßnahmen gegen Terrorismus haben oft eine fatale Auswirkung auf den Frieden und die Demokratie und können vorgeschoben werden, um andere Interessen durchzusetzen.	Measures against terrorism often have fatal consequences for peace and democracy and can be used as a pretext for promoting other interests.
Geht es vielleicht hier auch um Afrika als Interessengebiet Europas, in den Worten von Gilles de Kerchove als Koordinator für Terrorismusbekämpfung der EU "Afrika als Hinterhof Europas".	It may be that this is also about Africa as one of the areas in which Europe is interested. In the words of Gilles de Kerchove, the EU Counter-Terrorism Coordinator, it concerns Africa as Europe's backyard.
Ich spreche mich gegen eine Sicherheitspolitik aus, die zu einer Militarisierung Afrikas beiträgt.	I am opposed to security policies which will help to militarise Africa.
Die Sicherheit auch in dem Sahel kann nur durch eine Verbesserung der Lage der Bevölkerung erreicht werden.	The Sahel region can only be made secure by improving the situation of the population.
Erhöhung der Sicherheit und der Militärhaushalte sind gerade in Ländern, in denen es eine Hungerkrise gibt, fatal.	Increasing security and military budgets in countries where the population is suffering from an acute food shortage is a disastrous move.
Zum Schluss gebe ich noch zu bedenken: Entführungen und andere Verbrechen sind hier ein Geschäft, an dem viele in unübersichtlichen Konstellationen beteiligt sind.	Finally, I would like you to consider the fact that kidnapping and other crimes are a business in which many people are involved in a confusing array of organisations.
Zahlungen des Westens an Sicherheitsstrukturen können bei der Eindämmung der Kriminalität kontraproduktiv wirken und in Zukunft unschuldige Menschen weiterhin gefährden.	Western funding for security structures could have a counterproductive effect on efforts to combat crime and could continue putting innocent people at risk in future.
