Berichterstatterin. - Herr Präsident! Die Diskussion war sehr interessant und aufschlussreich.	Mr President, this debate was very interesting and illuminating.
Ich konnte aber auch eines feststellen: Es gibt immer noch Leute, die den alten Vorschlag von Herrn Bolkestein, in dem tatsächlich Liberalisierung und Deregulierung vorgesehen waren, immer noch im Kopfe haben, obwohl das wirklich Vergangenheit ist und es bei der Dienstleistungsrichtlinie, so wie wir sie heute haben, darum geht, dass Menschen mit ihrer Qualifikation ihre Dienstleistungen in der ganzen Europäischen Union anbieten dürfen.	There was one observation I have to make, though, and that was that there are still people who continue to have in their heads the old Bolkestein proposal, which actually provided for liberalisation and deregulation, despite the fact that that really is a thing of the past and that the Services Directive, as constituted at present, is about enabling people to use their qualifications to offer services across the European Union.
Darum geht es in der Dienstleistungsrichtlinie, und es ist wichtig, das immer wieder zu sagen!	That is what this Services Directive is about, and it is important to keep saying so.
Das möchte ich hier auch noch einmal betonen. Und das haben wir auch sehr klar geändert.	I would like to stress that once again and we have also made that change quite clear.
Außerdem möchte ich daran erinnern, dass wir in der Dienstleistungsrichtlinie durchaus eine Sozialklausel haben.	In addition, I would also like to remind you all that we absolutely do have a social clause in the Services Directive.
In Artikel 1 haben wir nämlich hineingeschrieben, dass das Arbeits- und Sozialrecht der Mitgliedstaaten durch die Anwendung der Dienstleistungsrichtlinie nicht in Frage gestellt werden kann.	This is because we have included, in Article 1, a clause whereby the labour and social law of the Member States cannot be jeopardised by the application of the Services Directive.
Und wenn so etwas in einem Mitgliedstaat geschieht - und das habe ich auch anfangs gesagt -, dann ist das eine falsche Umsetzung der Dienstleistungsrichtlinie.	Thus, if something like that were to happen in a Member State - and I did say this at the beginning - that would be an incorrect implementation of the Services Directive.
Wenn Sie von Rüffert und anderen Leuten sprechen, hat das nichts mit der Dienstleistungsrichtlinie zu tun.	If you want to speak of the Rüffert case and others, that has no relevance to the Services Directive.
Das hat mit der Entsenderichtlinie und ihrer Umsetzung zu tun. und das hat mit den Vergaberichtlinien zu tun.	Such cases relate to the Posting of Workers Directive and its implementation and to the public procurement directives.
Man sollte bitteschön nicht Äpfel und Birnen miteinander vergleichen!	Please do not fall into the trap of comparing apples and oranges.
Äpfel und Birnen geben vielleicht am Ende ein gutes Kompott, aber in der Politik ist das eine total falsche Anwendung.	While apples and oranges perhaps both produce a good fruit stew, that is completely the wrong approach to take in politics.
Deswegen sollten wir wirklich sehr genau aufpassen, was geschieht.	We therefore really need to very closely monitor what happens.
Ich wiederhole meinen Appell, dass wir dafür sorgen müssen, dass die Dienstleistungsrichtlinie in den Mitgliedstaaten korrekt umgesetzt wird und nicht dazu genutzt wird, um Rechte abzuschaffen, um zu deregulieren - das ist nicht Auftrag der Dienstleistungsrichtlinie!	I repeat my call for us to ensure that the Services Directive is correctly transposed in the Member States and not used to take rights away or to deregulate - that is not the job of the Services Directive.
Es bleibt natürlich für uns ganz klar eine Forderung, dass wir in der Europäischen Union auf jeden Fall einen gesetzlichen Rahmen zum Schutz der Dienste im allgemeinen wirtschaftlichen Interesse brauchen.	Of course, it remains a quite clear demand for us that we in the European Union in any case need a legal framework to protect services of general economic interest.
Ich bin sehr gespannt, was uns die Kommission in dieser Frage geben wird.	I am eager to see what the Commission will produce for us in this regard.
