Herr Präsident! Herr Farage, Sie haben nicht Recht.	Mr President, you are wrong, Mr Farage.
Ich sage deutlich Ja zu einer Finanztransaktionssteuer.	From me, it is a clear 'Yes' to a financial transaction tax.
Ich bin der Meinung, dass die Europäische Union sich in diesem Bereich beweisen kann.	In my opinion, this is an area in which the European Union can prove itself.
Ja, wir brauchen die Europäische Union genau für diese Themen!	Yes - we need the European Union precisely for such matters.
Und auch das Europäische Parlament kann sich hier beweisen.	The European Parliament can prove itself here, too.
Wenn wir morgen bei der Abstimmung alle dafür stimmen, kann das ein neuer solider Zwischenschritt in Richtung Finanztransaktionssteuer sein.	If we all vote in favour tomorrow, then this could represent a decisive new step towards a financial transaction tax.
Die Politik kann dadurch die richtige Antwort geben, um endlich die Ketten der Knechtschaft durch den Finanzsektor zu sprengen.	Politics could then provide the right answer that would once and for all free us from the chains of servitude to the financial sector.
Die Finanztransaktionssteuer soll aber nicht nur Anreize für den Finanzsektor setzen, um hier langfristige Investitionen zu tätigen, mit Mehrwert für die Realwirtschaft, nein, sie soll auch eine soziale Komponente haben, und es soll auch zu einer deutlichen Umschichtung der Steuerlast weg von den Arbeitnehmern kommen.	However, the financial transaction tax should not only provide incentives for the financial sector to make long-term investments here that provide added value for the real economy; no, it should also have a social component, and it should also result in the tax burden being clearly shifted away from workers.
Dafür braucht es jedoch Mut, auch in diesem Hause, und zwar bei der Festlegung des Steuersatzes.	To do this will take courage, even in this House, particularly when it comes to laying down the tax rate.
Ein Steuersatz von 0,03 % oder 0,05 % ist nicht ausreichend.	A tax rate of 0.03% or 0.05% is not sufficient.
Wir sollten uns mindestens oder bis zu 0,5 % als Ziel setzen.	We should set ourselves a target of at least or up to 0.5%.
Auch Ja, ein deutliches Bekenntnis zu einer europaweiten Finanztransaktionssteuer!	So yes - let us make a clear commitment to a Europe-wide financial transaction tax.
Ich werde morgen sicherlich für den Änderungsantrag 2 stimmen.	I will certainly be voting in favour of Amendment 2 tomorrow.
