im Namen der Verts/ALE-Fraktion. - Herr Präsident!	Mr President, Mr Oettinger, you already know that I do not trust your stress tests.
Herr Oettinger, Sie wissen ja bereits, dass ich Ihren Stresstests misstraue.	I would like to explain to you briefly why this is the case.
Ich will Ihnen ganz kurz sagen, warum. Ich glaube, dass es nicht gut ist, dass die Definition der Kriterien des Prüfkonzepts und der Bewertung der Ergebnisse in die Hand der nationalen Behörden und der Aufsichtsstellen gelegt werden, die bisher alleine für Aufsicht und Prüfung der Atomanlagen in der Europäischen Union zuständig waren.	I believe that it is not a good thing for the national authorities and the supervisory bodies to be given responsibility for defining the criteria for the test and evaluating the results. Until now, they have been solely responsible for supervising and testing the nuclear power plants in the European Union.
Es werden samt und sonders die bekannten Pappenheimer sein, die sich gegenseitig bescheinigen, dass ihre Atomanlagen sicher waren, sicher sind und sicher sein werden.	The members of these bodies will be part of the familiar old boys' network who are happy to certify that each others' nuclear power stations were safe, are safe and will continue to be safe.
Oder glauben Sie im Ernst, dass die nationalen Aufsichtsbehörden jetzt plötzlich zu dem Ergebnis kommen werden, dass sie bisher schlechte Arbeit gemacht haben und zu tolerant waren?	Do you really believe that the national regulatory authorities will suddenly realise that they have been doing a bad job up until now and have been too tolerant?
Ich glaube das nicht, Herr Oettinger, und Sie haben mir auch noch nicht gesagt, wie Sie gewährleisten wollen, dass jetzt plötzlich Unabhängigkeit in diesem ganzen Aufsichtswesen Einkehr hält.	I do not believe that, Mr Oettinger, and you have not yet explained to me how you plan to guarantee that this whole supervisory system will suddenly become independent.
Die Freiwilligkeit der Stresstests ist ein weiterer Beleg dafür, dass wir sie nicht so ernst nehmen können, wie wir eigentlich wollen und müssten.	The voluntary nature of the stress tests is further proof that we cannot take them as seriously as we would like to.
Aber Sie können nachliefern, Sie können garantieren, dass unabhängige Experten Zugang haben.	However, you still have time to change your plans and provide us with a guarantee that independent experts will be given access to the plants.
Sie können garantieren, dass tatsächlich alles überprüft wird und nicht nur Papierstudien stattfinden unter dem, was ich meiner Meinung nach zu Recht bereits als System der alten Pappenheimer bezeichnet habe, denn die Betreffenden sind alle seit Jahrzehnten miteinander bekannt und befreundet und haben immer höchste Risiken toleriert.	You can guarantee that everything will be tested and that we will not just see reports on paper from a system which I have rightly described as an old boys' network, because those people involved have all known each other and been friends for decades and have always accepted the highest levels of risk.
Ich möchte Ihnen sagen, dass wir Grünen erwarten, dass die Stresstests so angelegt werden, dass dabei rauskommt, welche Anlagen wirklich nicht mehr zu tolerieren sind und welche Anlagen zuerst vom Netz gehen.	I would like to explain to you that we in the Group of the Greens/European Free Alliance expect the stress tests to be designed in such a way that they show which nuclear power plants really are no longer acceptable and which should be disconnected from the grid first.
Wir sehen die Stresstests, wenn sie ernsthaft zu einer Zäsur in Europa beitragen sollen, als die Grundlage für einen Ausstiegsfahrplan, der jetzt beginnt und - wenn es gut läuft für Europa - etwa im Jahr 2025 auch beendet sein kann.	If the stress tests are genuinely to bring about a change of direction in Europe, we see them as the basis for an exit timetable which will start now and, if everything goes well in Europe, could come to an end in around 2025.
Ich möchte Sie noch um eine Sache ganz konkret bitten, Herr Oettinger: Sie haben in den letzten Tagen viele Interviews gegeben und haben z.B. in Deutschland erklärt, Sie wüssten jetzt schon, welche Atomkraftwerke diese Stresstests nicht überstehen bzw. bei einigen seien Sie sogar sicher.	I would like to ask you to do one specific thing, Mr Oettinger. Over the last few days, you have given a number of interviews and have explained in Germany, for example, that you know which nuclear power plants will not pass these stress tests and that you are certain about some of them.
Nennen Sie die beim Namen!	Please make the names of these power plants public.
Wenn es z.B. um Fessenheim geht, ein Kraftwerk, das weder gegen Hochwasser noch gegen Erdbeben, wie die französische Aufsicht sagt, "angemessen geschützt ist", dann nennen Sie diese Risikokandidaten endlich beim Namen!	For example, if one of them is Fessenheim, a power station which, as the French supervisory body has said, is not adequately protected against high water or earthquakes, then you should publicise the names of the sites which represent a risk.
Das würde Vertrauen in Ihre Politik wecken.	This would increase public confidence in your policies.
(Beifall)	(Applause)
