Herr Präsident! Ich möchte zunächst auch Guy Verhofstadt Recht geben.	Mr President, I would first like to agree with Mr Verhofstadt.
Es ist tatsächlich beschämend, dass diese Menschenrechtsdebatten, die eigentlich für uns Europäer, die wir an Werte glauben, sehr wichtig sind, immer am Donnerstagnachmittag stattfinden, wenn die meisten schon abgereist sind.	It is indeed shameful that these human rights debates, which are actually very important to us Europeans who believe in values, always take place on Thursday afternoons when most people have already left.
Das muss einfach noch einmal zu Protokoll gegeben werden, das müssen wir ändern.	I would like that noted in the record once more. It is something that we must change.
Jetzt geht es aber um China, und da sind wir mehr oder weniger machtlos, das ist schon gesagt worden.	Right now, however, we are talking about China and there we are more or less powerless, as has already been said.
Frau Lichtenberger sprach von einer Gummiwand.	Mrs Lichtenberger spoke of a brick wall.
Herr Posselt, ich glaube übrigens nicht, dass es - wie Sie gesagt haben - wirklich im chinesischen Interesse ist, den Menschenrechten zum Durchbruch zu verhelfen.	Mr Posselt, I do not believe by the way that it is really in the Chinese interest - as you said - to help bring about a breakthrough in human rights.
Anscheinend ist dies nicht im Interesse der chinesischen Regierung, mit Sicherheit aber im Interesse der Menschen in China.	It is apparently not in the interest of the Chinese Government, although it is undoubtedly in the interest of the Chinese people.
Es geht um viele Menschen heute: Ai WeiWei, Liu Xiaobo wurde auch schon angesprochen.	We are talking today about many people: Ai Weiwei and Liu Xiaobo have already been mentioned.
Wir haben schon sehr oft hier diskutiert, um den Menschenrechten zum Durchbruch zu verhelfen.	We have frequently debated in the past how we can bring about a human rights breakthrough.
Wir müssen nicht nur Baroness Ashton mit auf den Weg geben, dass sie an jeder Stelle in China gegen die Menschenrechtsverletzungen sprechen soll.	It is not just a matter of instructing Baroness Ashton to speak out against the human rights abuses in China at every opportunity.
Das müssen alle unsere Außenminister und Repräsentanten tun, und wir müssen zusammenhalten.	All our foreign ministers and representatives must do so, and we need to stick together.
Ich glaube, das ist die einzige Möglichkeit, wie man tatsächlich China ein bisschen beeindrucken kann.	I think that is the only way that we can actually have a small influence on China.
Sonst spielt uns China als starke Wirtschaftsmacht gegeneinander aus, und wir erreichen überhaupt nichts.	Otherwise, as a strong economic power, China will play us off against each other and we will achieve nothing whatsoever.
Und das wäre ganz schlimm, vor allem für die betroffenen Menschen.	That would be a very bad thing, especially for the people concerned.
