Herr Präsident! Herr Ulmer, ich bedanke mich bei Ihnen für einen ausgesprochen sachlichen Beitrag.	Mr President, I would like to thank Mr Ulmer for his noticeably factual contribution.
Das hebt sich angenehm ab von vielen Dingen, die ich heute Morgen hier über die Agenturen gehört habe.	It makes a pleasant contrast to many of the things that I have heard said about the agencies this morning.
Es bedrückt einen schon sehr, wenn vielen Kolleginnen und Kollegen aus den euroskeptischen Teilen dieses Hauses bei Einsparungen im Haushalt nichts anderes und immer wieder nichts anderes einfällt als die Agenturen.	It is extremely depressing that many of the Members from the Eurosceptic parts of this House can never think of anything else but the agencies when it comes to budget cuts.
Ich erinnere nur daran, dass in dem Moment, in dem die Agenturen vergeben worden sind, von den Ministerpräsidenten und Regierungen unserer Europäischen Union ein Verhalten an den Tag gelegt worden ist, als ob kein Mitgliedstaat genug dieser Agenturen in seinen Hoheitsbereich bekommen könnte.	May I remind you that when these agencies were allocated it seemed that the prime ministers and governments of the Member States of the European Union could not get enough of these agencies on their soil.
Und jetzt wird hier so getan, als sei das eine Heimsuchung für die Europäische Union.	Yet now people are acting as if they are the scourge of the European Union.
Ich freue mich sehr auf die angekündigte Studie des Europäischen Rechnungshofs über die Managementkosten der Agenturen.	I am very pleased at the announcement of a study by the European Court of Auditors into the management costs of the agencies.
Ich glaube, auf dieser Grundlage werden wir dann endlich zu einer sachlicheren Diskussion finden.	I believe it will provide us with a basis to at last have a more objective debate.
Ich freue mich - ich habe das in meinem ersten Beitrag schon gesagt - außerordentlich, dass die Vertreterinnen und Vertreter der ungarischen Ratspräsidentschaft heute Morgen bei uns sind.	I am delighted - as I said previously in my first contribution - that the representatives of the Hungarian Presidency are here with us this morning.
Das ist nicht selbstverständlich in einer Debatte, in der es auch um die Entlastung des Rates geht.	That is not something we can take for granted when there is a debate that includes the discharge of the Council.
Deswegen, Herr Minister Becsey, wende ich mich jetzt direkt an Sie.	I would therefore like to address you directly, Mr Becsey.
Ich freue mich über die Bereitschaft des Rates - ich habe das den Ausführungen Ihres Kollegen Deutsch entnommen -, anzuerkennen, dass das Haushaltsverfahren und das Entlastungsverfahren unterschiedlich zu handhaben sind.	I am pleased that the Council is prepared to recognise - as I took from the comments made by Mr Deutsch - that the budget proceedings and the discharge procedure must be dealt with differently.
Dieses Europäische Parlament ist die Volksvertretung und es verlangt Rechenschaft über die Verwendung der Steuergelder.	This European Parliament is the people's representation and it demands accountability for the use of taxpayers' money.
Insoweit rücken wir nicht davon ab, dass wir auch vom Rat Rechenschaft über die Gelder verlangen, die dem Rat aus dem Gemeinschaftshaushalt zur Finanzierung seiner Arbeit übergeben worden sind.	We will therefore not shirk from demanding that the Council be held accountable for the money given to the Council from the Community budget to finance its work.
Natürlich können wir über vieles miteinander verhandeln, etwa darüber, wie das Entlastungsverfahren in Zukunft aussehen kann.	Of course, there is plenty that we could negotiate on, such as what form the discharge procedure should take in the future.
Ich möchte Ihnen aber die Frage stellen, ob Sie ernsthaft vom Europäischen Parlament erwarten, dass wir über etwas verhandeln, was unser vertraglich zugestandenes Recht ist.	However, I should like to ask you whether you seriously expect the European Parliament to negotiate on something that is our right under the treaties.
Am Ende könnte ja nur eine Einschränkung dieses Rechts stehen.	After all, that could only result in this right being restricted.
Ich vermag nicht zu erkennen, warum ich als Vertreter des Europäischen Parlaments das tun sollte.	I fail to see why I, as a Member of the European Parliament, would do that.
Wir haben leider nicht oft die Gelegenheit zur Diskussion miteinander und ich würde mich freuen, wenn Sie diese Gelegenheit wahrnehmen, um uns einmal darzulegen, wer sich eigentlich im Rat gegen die notwendige Transparenz wehrt.	Unfortunately, we do not have many opportunities to discuss things together and I would be delighted if you would take this opportunity to make it clear to us for once who it is in the Council that is actually fighting against the necessary transparency.
