Herr Präsident!	Mr President,
(Zu Beginn spricht Herr Mann ohne Mikrofon.)	(Mr Mann begins to speak without a microphone.)
....	....
1986 und den Super-GAU eines veralteten Atomkraftwerks.	1986 and the nuclear meltdown of an outdated nuclear power plant.
Aus Sorge vor gefährlichen Strahlungen blieben wir wochenlang so oft wie möglich zuhause und gingen so wenig wie möglich nach draußen.	Fearing the danger from radiation, we stayed at home as much as possible for weeks on end, only venturing outside when absolutely necessary.
Am 11. März dieses Jahres wurde im Kernkraftwerk Fukushima der atomare Notfall ausgerufen.	A nuclear emergency was declared on 11 March of this year in the Fukushima nuclear power plant.
Selbst im hoch technologisierten Japan konnte die versprochene Sicherheit nicht im Entferntesten eingehalten werden.	Even in a high-tech country like Japan, the promised safety levels could not be even remotely achieved.
Verantwortliche Politik muss von vorschnellen Lösungen Abstand nehmen.	The responsible politicians need to distance themselves from over-hasty solutions.
Zur Nachhaltigkeit gehören obligatorische, knallharte Stresstests, welche die Auswirkungen von Naturkatastrophen auf AKW untersuchen, aber auch von Unfällen, Terrorangriffen und menschlichem Versagen.	Sustainability involves compulsory stringent stress tests that examine the impact on nuclear power plants of natural disasters, as well as accidents, terrorist attacks and human error.
Meinem Land wird the German Angst vorgeworfen - völlig zu Unrecht.	My country stands accused of 'typical German angst' - quite unfairly in this case.
Wir müssen die Befürchtungen der Bürger ernst nehmen.	We need to take the fears of our citizens seriously.
Ob unterschiedliche Laufzeiten, Stilllegungsszenarien oder qualifizierte Moratorien, alles gehört auf den Tisch - ohne falschen Zeitdruck, ohne Polemik, ohne Ideologie.	Everything needs to be on the table, from different timetables and decommissioning scenarios to qualified moratoriums - without false time pressures, polemics or ideologies.
Die Arbeit der deutschen Ethikkommission kann für die europäische Ebene beispielhaft sein.	The work of the German Ethics Commission should be a shining model for Europe.
Und die Arbeitnehmer in den Atomkraftwerken brauchen speziellen Schutz.	Workers in nuclear power plants need special protection.
Der Beschäftigungsausschuss fordert, die Rechtsgrundlage der Entsorgungsrichtlinie auf den Vertrag über die Arbeitsweise der EU auszudehnen.	The Committee on Employment and Social Affairs wants to expand the legal basis for the directive on disposal to the Treaty on the Functioning of the European Union.
Damit würden auch jene einbezogen werden, die mit radioaktiven Abfällen und abgebrannten Brennelementen befasst sind.	This would also include those workers who deal with radioactive waste and spent fuel rods.
Es müssen strengste Kriterien für Ausbildung und Arbeitsschutz gelten und gründliche Untersuchungen realisiert werden.	Stringent criteria must apply in the areas of training and occupational safety and thorough investigations are required.
Letzter Satz, Herr Präsident: Es darf nirgendwo zu Kompromissen in Sachen Sicherheit kommen.	On a final note, Mr President: we must never compromise on safety issues.
Das gilt für die EU und auch für unsere Nachbarstaaten, die unbedingt für gemeinsame Entscheidungen gewonnen werden müssen.	This is true for the EU and for our neighbours, who must be persuaded of the importance of joint decision-making.
