Frau Präsidentin! Verbraucherschutzpolitik ist ein zentrales Element der europäischen Politik.	Madam President, consumer protection policy is a central element of overall European policy.
Wenn wir es nicht schaffen, Verbraucherschutz konsequent umzusetzen, dann haben wir in diesem Punkt ein Totalversagen.	If we do not manage to provide consistent protection for consumers, then we will have totally failed in this respect.
Nicht nur die Mehrheit der Verbraucher will keine Klontechnik, sondern auch die Mehrheit der Bauern, das muss man hier auch festhalten.	It is important to explain that it is not just the majority of consumers who do not want cloning, it is also the majority of farmers.
Ich behaupte, dass einige Mitgliedstaaten die Verhandlungen sehr bewusst an die Wand gefahren haben.	I believe that some Member States have deliberately sabotaged the negotiations.
Sie haben sich schützend vor die Agrarindustrie gestellt und deren Interessen verteidigt.	They have decided to protect the agriculture industry and defend its interests.
Das Gerede von dem drohenden Handelskrieg - das wurde heute bereits mehrfach gesagt - war vorgeschoben.	All the talk of an imminent trade war, which has been mentioned several times today, was simply a pretext.
Alleine aus Gründen der europäischen Tierschutzpolitik müssten ja schon Maßnahmen gegen das Klonen ergriffen werden, Herr Kommissar, und wir hoffen, dass Sie schnellstmöglich eine Regelung auf den Tisch legen.	For reasons of European animal welfare policy alone, we should be taking measures against cloning, Mr Dalli, and we hope that you will draw up a regulation as quickly as possible.
Es gibt Handlungsbedarf.	There is a need for action.
Wir appellieren an Sie, nicht noch monatelang zu warten, sondern die Sache jetzt schnell wieder in die Hand zu nehmen.	We are calling on you not to wait for months, but to come to grips with this issue straight away.
Das Klonverbot kann nur ein Schritt sein.	The ban on cloning is simply one step in the process.
Wir müssen darauf beharren, dass es letztendlich auch eine Regelung gibt für die Nachkommen. Sonst ist das Ganze im Grunde genommen unwirksam.	We must insist on a regulation being introduced which covers the descendants of cloned animals, otherwise the whole thing will be fundamentally ineffective.
