im Namen der Verts/ALE-Fraktion. - Frau Präsidentin, liebe Kolleginnen und Kollegen!	Madam President, ladies and gentlemen, this is a very serious issue.
Das Thema ist sehr ernst. Es hat große Bedeutung nicht nur für die zukünftige Tierhaltung, sondern vor allem für die menschliche Gesundheit.	It is of great importance not only for animal husbandry in future, but also primarily for human health.
Darauf müssen wir immer wieder hinweisen.	We must not forget this.
Das ist letztendlich kein Problem des Ausschusses für Landwirtschaft und ländliche Entwicklung.	This is ultimately not a problem for the Committee on Agriculture and Rural Development.
Was uns aber fehlt - und das ist wieder deutlich geworden -, sind genügend Datengrundlagen.	However, as has once again become clear, we do not have enough data.
Wenn also nur zehn Mitgliedstaaten eine Rückmeldung geben, ist das zu wenig.	Only 10 Member States have provided information and that is too few.
Das Thema muss ein bisschen schneller behandelt werden. Und uns fehlt eine genaue Kontrolle.	We need to deal with this subject rather more quickly and we need accurate controls.
Einem Aspekt wird in diesem Zusammenhang zu wenig Beachtung geschenkt, das ist die intensive Tierhaltung, sowohl in großen Stallanlagen als auch in bestimmten Regionen.	We are paying too little attention to one factor in this context and that is intensive farming, both in large-scale buildings and in certain regions.
Darauf müssen wir ein Auge haben. Wir können ja etwas dagegen tun.	We need to look at this and we can do something to prevent it.
Bei einer Neugestaltung der Agrarpolitik können wir darauf achten, dass artgerechte Tierhaltung gefördert wird, dass den Tieren biologische Bedingungen gewährt werden, die artgerecht sind, und dass wir Tierhaltung mit robusten Tieren betreiben, nach dem Motto "Vorbeugen ist besser als heilen".	By restructuring our agricultural policy, we can make sure that the focus is on good animal welfare, that animals live in conditions suitable for their species, and that the animals are strong and robust, on the principle that prevention is better than cure.
Was wir aber auch brauchen - und das muss die Kommission leisten -, das ist ein langfristiger Plan, um den Antibiotikaeinsatz in der Landwirtschaft zu senken.	What we also need, and this is a job for the Commission, is a long-term plan to reduce the use of antibiotics in agriculture.
Die Hauptbetroffenen von Antibiotikaresistenzen sind im Übrigen die in der Landwirtschaft Beschäftigten, also letztlich die Tierhalter oder deren Angestellte.	The main impact of antibiotic resistance is on workers in the agriculture industry, in other words, farmers and their employees.
Dieser Personenkreis hat bereits enorme Probleme mit dem Thema.	These people already have huge problems in this area.
Was in diesem Zusammenhang auch Sorge bereitet, ist der Verdacht, dass Antibiotikaresistenzen direkt über Lebensmittel übertragen werden.	Another cause for concern is the suspicion that antibiotic resistance is being transferred directly via foodstuffs.
Auch darauf müssen wir im Interesse der Gesundheit der europäischen Bevölkerung unser Augenmerk richten.	We need to look carefully at this in the interests of the health of the European population.
Es besteht also dringender Handlungsbedarf.	There is an urgent need for action here.
Um es ganz klar zu sagen: Dass 50 % aller Antibiotika in der Tierhaltung eingesetzt werden, das ist entschieden zu viel!	It is important to make it clear that 50% of all antibiotics are used in animal husbandry, which is far too much.
Wir müssen deshalb hier langfristig im Interesse der Landwirtschaft, aber auch der öffentlichen Gesundheit eine Senkung herbeiführen.	Therefore, we must ensure that this figure is reduced in the long-term interests of agriculture and of public health.
