Berichterstatter. - Frau Präsidentin, liebe Kolleginnen und Kollegen!	Madam President, ladies and gentlemen, thank you for the debate.
Ich danke für die Debatte und sehe eine weitgehende Unterstützung für die Erstellung von Umweltbilanzen in der Europäischen Union.	I see broad support for the creation of environmental balance sheets in the European Union.
Bis auf wenige Ausnahmen wird das hier befürwortet.	With a few exceptions, this has found favour here.
Ich kann auch die Aussage der Kollegin Karin Kadenbach teilen.	I also agree with Mrs Kadenbach's statement.
Viele von uns dachten, das gäbe es schon, und wir stellen dann mit Verwunderung fest, dass es viele Daten gar nicht gibt und dass wir deshalb bei den Aussagen, die wir zum Zustand der Umwelt in der Europäischen Union treffen, auch recht blind sind.	Many of us thought that this was already in place, and we were surprised to find that a lot of data does not exist at all, and that in the statements we make with regard to the state of the environment in the European Union, we are therefore actually completely blind.
Ein Kollege, Herr Gerbrandy, hat gesagt, messen heißt wissen.	One Member, Mr Gerbrandy, said that measurement brings knowledge.
Wir wissen dann etwas, und Wissen ist die Grundlage für Maßnahmen, für alle unsere Programme.	We then know something, and knowledge is the basis for taking measures and for all of our programmes.
Wir brauchen einfach bessere Grundlagen für die Entscheidungen, die wir treffen.	We quite simply need a better basis for the decisions that we take.
Diese Umweltbilanzen können uns dabei helfen.	These environmental accounts can help us in this regard.
Wir haben ja die EU-2020-Strategie, in der die Nachhaltigkeit als Planziel fungiert.	Of course, we have the EU 2020 strategy, in which sustainability is a planning goal.
Ich hoffe, dass wir in den nächsten Jahren doch noch diese Grundlage bekommen, so dass wir 2020 feststellen können, ob wir erfolgreich waren oder nicht.	I hope that in the next few years, we will also have this basis so that in 2020, we will be able to see whether we were successful or not.
Wir wissen, dass uns das Bruttosozialprodukt keine Auskunft über den Zustand der Natur, der Umwelt, über die Ressourcen, die wir verbraucht haben, und die ganze Nachhaltigkeitsproblematik gibt.	We know that gross domestic product provides no information on the state of the natural world and the environment, on resources that we have used, or on the whole sustainability problem.
Von daher ist das nun notwendig.	That is why this is now necessary.
Wir gehen auch stufenweise heran.	We are also tackling this in stages.
Frau Klaß, es ist keine Überforderung, sondern die Module sollen nach und nach erarbeitet werden.	Mrs Klaß, we are not making excessive demands; rather, the modules are to be expanded gradually.
Der Kommissar hat ja gesagt, dass in den einzelnen Gesetzen - den Wassergesetzen, den Abfallgesetzen, den Luftreinhaltegesetzen - schon die Forderung steht, solche Daten zu erheben.	After all, as the Commissioner said, the individual pieces of legislation - the water legislation, waste legislation and clean air legislation - already contain the requirement to collect this data.
Europa steht auch weltweit in der Pflicht, Herr Nuttall.	Europe is also under a global obligation, Mr Nuttall.
Wenn wir bei der Biodiversitätskonvention, bei der Klimakonvention, bei anderen Konventionen die Unterschrift leisten, dann müssen wir anderen Teilen der Welt sagen können, ob wir gut oder schlecht waren.	If we sign the Convention on Biological Diversity, the Convention on Climate Change or any other convention, we must be able to tell the rest of the world whether we have done well or badly.
Also alles in allem: Dank an die Schattenberichterstatter, Dank auch an Eurostat, das die Arbeit dann durchführen muss.	Thus, all in all, I would like to thank the shadow rapporteurs and also Eurostat, which will subsequently have to carry out the work.
Ich hoffe, dass die nötigen Ressourcen in Luxemburg vorhanden sind, denn ohne Geld, ohne Ressourcen kann diese Bilanz natürlich nicht erstellt werden.	I hope that the necessary resources will be available in Luxembourg, because without funds, without resources, this balance sheet cannot, of course, be produced.
Da sollte das Parlament auch helfen.	Parliament should also help out in this regard.
Vielen Dank.	Thank you very much.
Das ist ein wichtiges politisches Thema - das haben einige richtig erkannt -, und ein neues Kapitel in der Betrachtung dessen, was wir Jahr für Jahr in Europa veranstalten.	This is an important political matter - as some people have rightly recognised - and it is a new chapter in the consideration of what we do in Europe year in year out.
