Herr Präsident, meine Damen und Herren! Fünf Fragen haben wir uns zu stellen:	Mr President, ladies and gentlemen, there are five questions we need to ask ourselves:
Erstens: Welches Budget braucht die Wachstums- und Beschäftigungsstrategie 2020?	The first is: what budget is required for the 2020 growth and employment strategy?
Zweitens: Welches Budget braucht eine Währungsunion?	Secondly: what budget is required by a currency union?
Drittens: Welches Einsparungspotenzial haben wir?	Thirdly: what potential is open to us to make savings?
Viertens: Welches Budget brauchen die Vereinigten Staaten von Europa?	Fourthly: what budget is required by the United States of Europe?
Fünftens: Welche Rolle muss Europa 2020 spielen?	Fifthly: what role is Europe 2020 to play?
Wollen wir überhaupt eine Rolle spielen?	Do we want to play a role at all?
Wir - das Europäische Parlament - nehmen unsere Verantwortung wahr.	We, the European Parliament, take our responsibilities seriously.
Wir sagen, was Sache ist.	We deal in plain speaking.
In Österreich würde ich sagen: Ohne Geld keine Musik.	In Austria, we have a saying: if you do not pay up, the band does not play.
Wir wollen unsere Ziele umsetzen, Verpflichtungen erfüllen, Herausforderungen annehmen, Versprechen einhalten.	We want to achieve our goals, meet our obligations, accept the challenges and keep our promises.
Mehr Aufgaben, die Erhöhung der Wettbewerbsfähigkeit, mehr nachhaltiges Wachstum, mehr Beschäftigung, mehr Forschung und weitere Integrationsschritte lassen sich nicht mit weniger Geld, ohne Kassensturz, ohne Evaluierung der bestehenden Mittelverwendung, ohne Eigenmittel erreichen.	More functions, greater competitiveness, more sustainable growth, more jobs, more research and further integration cannot be achieved with less money, without a financial review, without an evaluation of existing disbursement of funds and without our own resources.
Mehr Europa schafft auch Einsparungspotenziale in den Mitgliedstaaten.	More Europe will also create a potential for savings in the Member States.
Mehr Europa schafft auch mehr Effizienz und ist unsere Antwort auf die Globalisierung, auf die Zukunft, auf die Staatsverschuldung.	More Europe will also create more efficiency and is our response to globalisation, to the future and to sovereign debt.
Was wollen wir?	What is it that we want?
Wir wollen nicht das Budget einfrieren.	We do not want to freeze the budget.
Wer das Budget einfriert, schadet Europa und schwächt uns bei der Erfüllung unserer Aufgaben für die Bürgerinnen und Bürger.	Anyone seeking to freeze the budget will damage Europe and weaken our ability to fulfil our duties to our citizens.
Wir wollen die Transaktionsabgabe als Eigenmittel einführen, die Herausforderungen annehmen, den Vertrag einhalten, nicht den Kopf in den Sand stecken.	We want to introduce a transaction levy as a resource of our own, accepting the challenges and adhering to the Treaty rather than burying our heads in the sand.
Das ist unser Programm.	That is our strategy.
Geben wir ihm einen richtigen Stoß und stimmen wir dem Bericht zu!	Let us really set the ball rolling and vote in favour of this report.
