Frau Präsidentin! Zuerst möchte ich dem Kommissar gratulieren.	Madam President, firstly, I would like to congratulate Mr Oettinger.
Er ist jetzt der dritte Kommissar, der sich um die Agenda nukleare Sicherheit, Abfall, Dekommissionierung bemüht.	He is now the third commissioner who is responsible for the area of nuclear safety, waste and decommissioning.
Das Parlament hat die Kommission immer unterstützt, und wir haben immer dahinter gestanden, dass hier Kompetenz auf europäische Ebene verlagert wird.	Parliament has always supported the Commission and has always called for the authority in this area to be moved to a European level.
Leider war im allgemeinen Rat in der Nuklear-Working-Group nicht die Einsicht da, dass diese Fragen auf die Tagesordnung gehören.	Unfortunately, the Council's nuclear working group did not believe that these were issues which had a place on the agenda.
Ich bin eigentlich stolz darauf, dass es jetzt schon langsam gelingt, diese Dinge ernsthaft miteinander zu diskutieren, und dass auch vom Rat eine echte Bemühung vorhanden ist, hier den europäischen Mehrwert klar herauszuheben und auf der anderen Seite die Subsidiarität einzuhalten.	I am proud of the fact that we are slowly succeeding in having serious discussions with one another on these subjects and that the Council is making a genuine effort to highlight the European added value and, on the other hand, to adhere to the principle of subsidiarity.
Aber ich glaube, es geht ganz einfach auch darum, dass wir sehen, was wir im achten Rahmenforschungsprogramm für dieses so sensible Thema leisten können. Deshalb ist die Wissenschaft und die Frage: Was unterstellen wir in Zukunft der Harmonisierung?	However, I believe this is also simply about realising what we can achieve in this highly sensitive area in the Eighth Framework Programme for Research.
Wo wollen wir gegenseitige Anerkennung? Das ist in diesem Bereich besonders wichtig.	This is why the scientific side and the question of what we assume will come from harmonisation in future and of whether we want to see mutual recognition are particularly important in this area.
Ich glaube, dass wir auch schauen sollten, welche Schwerpunkte wir in den nächsten Tagen und Stunden setzen können.	I believe that we should also think about the subjects that we want to focus on in the immediate future.
Ich kann mich noch gut erinnern, die Kommissarin Palacio hat einmal gesagt, das Thema wird erst dann zu bewegen sein, wenn der nächste Supergau kommt.	I remember well that Mrs Palacio once said that the issue would only appear on the agenda again when the next nuclear disaster happened.
Sie hat leider Recht behalten.	Unfortunately, she was right.
Es ist eine späte Einsicht, aber es ist an der Zeit, darüber nachzudenken, welche Schritte auf europäischer Ebene gesetzt werden müssen.	It is rather late to be considering this, but it is high time that we thought about the measures that need to be taken at a European level.
Das ist nicht genug.	However, that is not enough.
Europa muss eine Vorreiterrolle haben, insbesondere auf dem internationalen Parkett.	Europe must play a pioneering role, in particular in the international arena.
Wir sollten gemeinsam mit der internationalen Atomenergiebehörde auch hier Standards setzen.	We should be establishing standards in this area together with the International Atomic Energy Agency (IAEA).
Standards, die ganz einfach das höchstmögliche Sicherheitsniveau garantieren und die uns letztlich auch die Chance geben, dass die Gefährdung der Bevölkerung soweit wie möglich hinten angehalten wird.	We need standards which quite simply guarantee the highest possible level of safety and which ultimately give us the opportunity to avoid putting the population at risk as far as possible.
Herr Kommissar, ich möchte Ihnen gratulieren.	Mr Oettinger, I would like to congratulate you.
Sie haben das richtig angepackt, und wir werden sehen, dass das Parlament mit der Kommission einen großen Erfolg haben wird.	You have taken the right approach and we can be sure that Parliament and the Commission will be highly successful.
