Herr Präsident, haben wir denn nichts gelernt in den zehn Jahren?	Mr President, have we not learned anything in the last ten years?
Wissenschaftlich nachweisbar sind bereits 60.000 Personen direkt an den Folgen der Tschernobylkatastrophe gestorben und nicht 30. Die sind vielleicht sofort gestorben.	Scientific evidence shows that 60 000 deaths were directly caused by the after-effects of the Chernobyl accident and not 30. Perhaps they were the ones who died immediately.
Unzählige sind erkrankt.	Innumerable people became ill.
600.000 Personen mußten evakuiert werden.	Six hundred thousand people had to be evacuated.
Die EBRD will jetzt 1 Mrd. Dollar für die Fertigstellung von zwei Reaktoren in der Ukraine zur Verfügung stellen.	The EBRD now wants to make one billion dollars available for the completion of two reactors in Ukraine.
Das ist die Bedingung, um Tschernobyl zu schließen.	That is the price for the closure of Chernobyl.
Wie lange werden wir noch diese höchst bedenkliche Technologie mit erschreckend schlechten Sicherheitsvorkehrungen unterstützen?	How long shall we continue to support this extremely hazardous technology with its frighteningly inadequate safeguards?
Seit zwei Tagen wissen wir, daß Mochovce mit russischen und tschechischen Geldern gebaut wird.	Two days ago we learned that Mochovce is to be built with Russian and Czech money.
Mich wundert es überhaupt, wofür Rußland alles Geld hat!	I just marvel at all the things for which Russia has money.
Französische und deutsche Firmen wie Siemens werden diese gefährliche Nuklearzentrale mitbauen.	French and German companies such as Siemens will help to build this dangerous nuclear centre.
Das ist skandalös!	That is scandalous!
In Deutschland hat so ein Reaktor keine Betriebsgenehmigung bekommen.	In Germany the same sort of reactor did not receive an operating licence.
Das ist wirklich skandalös!	It is truly scandalous!
Mochovce ist ein Horror!	Mochovce is a nightmare!
Es gefährdet ganz Zentraleuropa.	It endangers the whole of central Europe.
Wien ist fast in Sichtweite.	Vienna is almost within sight of it.
Wieviel Millionen Tote braucht die EU, bis sie einverstanden ist, ihre Energiepolitik zu ändern?	How many million deaths does the EU need before it will agree to change its energy policy?
Wir brauchen andere Lösungen in der Ukraine, und wir brauchen andere Lösungen in ganz Zentraleuropa!	We need different solutions in Ukraine, and we need different solutions throughout central Europe.
Ich will auch in der EU kein Land haben, das die Gesundheit und Sicherheit der Bürger eines anderen Landes gefährdet!	I do not want membership of the EU to be conferred on any country that jeopardizes the health and safety of the people of another country.
Ich frage jetzt den Rat, ob sich die Politik des Rates gegenüber der Slowakei in bezug auf die Gespräche über die Unionsmitgliedschaft ändert!	I now ask the Council whether its policy on Slovakia is changing as regards the talks on Union membership.
