Frau Präsident, Herr Kommissar, meine Damen und Herren!	Madam President, Commissioner, ladies and gentlemen, how many people are unemployed in Europe?
Wie viele Menschen sind arbeitslos in Europa? 18 Millionen, 20 Millionen?	Eighteen million? Twenty million?
Der Streit über Statistiken bringt keinen neuen Arbeitsplatz.	The battle over statistics will not create a single new job.
Die Klagelieder über Strukturschwächen und Fehler der Vergangenheit sind nur noch Lamento.	All this moaning about structural weaknesses and past mistakes, that is nothing more than a lament now.
Vorwürfe -auf der einen Seite Mißmanagement und Freisetzungstherapien, auf der anderen Seite Flexibilitätsmängel und Qualifikationsdefizite -, diese gegenseitigen Schuldzuweisungen füllen Schlagzeilen, aber nicht die Mägen der Menschen.	Accusations of mismanagement and redundancy therapies on the one hand, and a lack of flexibility or quality deficit on the other, this reciprocal mud-slinging may well fill the newspapers but it will not fill people's stomachs.
Wir müssen deutlich konkret werden und Veränderungen vor Ort erreichen.	It is clear that we need to take practical action, and achieve changes at local level.
Lokale Beschäftigungsinitiativen ermöglichen bessere Lebens- und Arbeitsbedingungen.	Local employment initiatives make it possible to improve living and working conditions.
Local work for local people using local resources meint in erster Linie Dienstleistungen.	Local work for local people using local resources means, in the first place, services.
Zum Beispiel den Umweltsektor, von der Abfallwirtschaft bis zum Erhalt der Naturgebiete; den Wohnbereich, von der Sicherheit bis zur Revitalisierung der Städte; den Alltag, von der Gesundheitsvorsorge bis zur Kinderbetreuung; den Freizeitbereich, vom Fremdenverkehr bis zur Kulturinitiative.	For example, there is the environmental sector, from waste management to the maintenance of natural areas; there is the housing sector, from security to urban renewal; the everyday-life sector, from health protection to child care; and finally the leisure sector, from tourism to cultural initiatives.
Das Potential, das am Ort erreichbar ist, jedoch zu selten genutzt oder gar umgesetzt wird, muß ausgeschöpft werden.	The potential which can be achieved at local level, but which is all too seldom used, or is even transferred elsewhere, must be exploited to the full.
Diese räumliche Nähe ermöglicht präzise Kenntnis spezifischer Gegebenheiten, Angebote und Bedürfnisse.	This spatial proximity makes it possible to have a precise knowledge of special circumstances, supplies and needs.
Die Zielgruppen sind überschaubar, von Frauen über Jugendliche mit Problemen bis zu älteren, schwer vermittelbaren und anderen benachteiligten Arbeitnehmern.	We can see who the target groups are, from women to young people with problems to the elderly, those who are difficult to employ, and other disadvantaged workers.
Auch die Rahmenbedingungen sind überschaubar.	We can also see what the framework conditions are.
Private Anbieter und öffentliche Träger sollen Schluß damit machen, sich ständig zu blockieren.	Private job providers and public agencies should stop blocking each other's initiatives all the time.
Sie sollen zusammenarbeiten, sich abstimmen, Mut zu Kreativität und neuen Wegen entwickeln.	They should cooperate, and agree to have the courage be creative and develop in new directions.
Machen wir uns nichts vor, noch sind die Hemmnisse groß.	Let us not deceive ourselves: the obstacles are still enormous.
Der Berichterstatter Schiedermeier, der im Ausschuß für soziale Angelegenheiten und Beschäftigung einstimmig unterstützt wurde, hat dargelegt, woran es fehlt: An der Kooperationsfähigkeit staatlicher Stellen, an öffentlichen Mitteln zur Finanzierung von Aufträgen und Startkapital sowie an Qualifikationen bei möglichen Beteiligten.	The rapporteur, Mr Schiedermeier, who received the unanimous support of the Committee on Social Affairs and Employment, has shown us what is missing: a willingness to cooperate on the part of government bodies, public resources to finance orders and start-up capital, and qualifications for those who might be involved in these initiatives.
Wir brauchen einen zusammenhängenden Aktionsrahmen, dazu finanzielle Anreize für Entwicklungen, den Abbau von verwaltungstechnischen und juristischen Hemmnissen und eine maßgeschneiderte Beratung.	We need a coherent framework for action, plus financial incentives for development, the removal of administrative and legal obstructions, and target-specific consultation.
Es ist an der Zeit, daß das Zusammenspiel von konkreten Maßnahmen der Gemeinschaft mit denen der Mitgliedstaaten, die Förderung der kleinen und mittleren Unternehmen, die effektivere Nutzung der Strukturfonds und die konsequente Umsetzung der Bildungsprogramme von LEONARDO bis LIFE LONG LEARNING um ein wichtiges Feld erweitert wird, nämlich die lokalen Beschäftigungsinitiativen.	It is high time that the coordination of specific measures by the Community and specific measures by the Member States, the encouragement of small and medium-sized enterprises, the more effective use of the structural funds, and the effective implementation of educational programmes, from LEONARDO to LIFELONG LEARNING, were expanded so as to include an important area, namely that of local development initiatives.
