Ja, Sie mögen durchaus recht haben.	Yes, you may well be right.
Was das Unglück in Spanien angeht, haben wir jedenfalls keine hinreichenden Informationen, ob es durch einen Mangel an Vorschriften oder durch eine mangelnde Befolgung und Kontrolle von bestehenden Vorschriften ausgelöst wurde.	As far as the accident in Spain is concerned, we do not have enough information as to whether it was caused by a lack of rules or by failure to observe existing rules and carry out checks.
Denn leider ist es ja so: Vorschriften allein garantieren noch keinen Erfolg, sondern nur ihre entsprechende Kontrolle und Umsetzung kann dafür sorgen, daß solche Katastrophen, so weit es geht, verhütet werden.	Unfortunately, the fact is that rules alone are no guarantee of success: only by monitoring how they are observed and implementing them can we ensure, as far as possible, that disasters like this are prevented.
Was Sie zur Dringlichkeit sagen, kann ich nur unterstreichen.	I can only support what you said concerning the urgency of the matter.
Leider ist das Problem in der Politik häufig, daß, wenn man etwas regeln will, solange noch nichts vorgefallen ist, die Leute unwillig reagieren.	Unfortunately, it is often a problem in politics that attempts at regulation are met with reluctance until an incident occurs.
Besonders in Ihrem Mitgliedsland findet man nicht besonders großen Zuspruch, wenn man etwas regeln will zu einer Zeit, wenn noch nichts passiert ist.	In your own country in particular, there is little support for attempts at regulation before there has been an incident.
Es muß immer erst etwas passieren, und dann kommt jeder und sagt: Nun haben wir eine besondere Dringlichkeit.	Something always has to happen first, and then everyone comes and says that the situation is particularly urgent.
Ich denke etwa an die Sicherheitsgurte in Autobussen.	I am thinking, for example, of seat belts in buses.
Wenn ich zu einer Zeit, als ich für den Binnenmarkt zuständig war, Vorschriften zur Sicherheit in Autobussen gemacht hätte, wäre ich sicherlich in manchen Mitgliedsländern, auch in Ihrem, auf heftige Kritik gestoßen.	If I had introduced rules on safety in buses at the time when I was responsible for the internal market, there is no doubt that I would have been heavily criticized in quite a few Member States, including your own.
In dem Moment, wo etwas passiert, sagen alle Leute: Warum hat die Kommission nicht schon längst diese Vorschriften vorgelegt?	Then, as soon as something happens, everyone asks why the Commission did not introduce these rules long ago.
Dieser Umstand muß also mitberücksichtigt werden, aber in der Sache gibt es zwischen uns keinerlei Meinungsverschiedenheiten.	So this is also something that we have to bear in mind, but on the point at issue there is absolutely no dispute between us.
Wir behandeln die Sache als dringlich.	We are treating this as an urgent matter.
