Herr Präsident! AIDS ist eine ernsthafte Gefahr für die Dritte Welt.	Mr President, AIDS poses a serious threat to the third world.
Die Infektionszahlen steigen nicht nur in Afrika, sondern auch in Asien und in Lateinamerika.	The number of cases is rising not only in Africa, but in Asia and Latin America as well.
Neben dem Leiden der Betroffenen haben wir das Problem, daß es vermehrt Waisen gibt, daß das Gesundheitssystem blockiert wird und daß die sexuell aktive Generation, die gleichzeitig die wirtschaftlich aktive Generation ist, besonders betroffen ist.	Besides the suffering of those affected, there are other problems involved: rising numbers of orphans, the strain on the health care system, and the fact that the impact of AIDS is felt particularly by the sexually active generation, which is also the economically active one.
Der Gemeinsame Standpunkt des Rates ist so, wie er uns vorliegt, nicht akzeptabel.	We cannot accept the Council's common position as it stands.
Er enthält zwar ein verbales Bekenntnis zum Kampf gegen AIDS, aber an entscheidenden Stellen weicht der Rat vor der Realität zurück.	Although the text includes a verbal acknowledgement of the efforts that are being made to combat AIDS, there are crucial points where the Council shies away from reality.
Was heißt das?	What do I mean by that?
Erstens: Die vorgesehenen Haushaltsmittel - indikativ 45 Mio ECU für drei Jahre - sind kurzsichtig niedrig angesetzt.	Firstly, the proposed budget - the indicative amount is ECU 45 million over three years - has been set very low, and that is short-sighted.
Jeder, der etwas davon versteht, weiß, daß wir einen zehnmal so hohen Betrag bräuchten.	Anyone with an understanding of the problem knows that we could use ten times as much.
Alle geben zu wenig, auch die USA, die Golfstaaten und Japan, aber es wird nicht besser, wenn wir mit schlechtem Beispiel vorangehen.	No one is giving enough - and that goes for the USA, the Gulf States and Japan too - but we shall not help the situation by setting a bad example.
Zweitens: Das Parlament hat verlangt, daß den Massenmedien und der Aufklärung durch die Massenmedien ein besonderes Gewicht beigemessen wird.	Secondly, Parliament called for special emphasis to be placed on the role of the mass media, and on using the mass media to raise awareness.
Dies ist in Ländern mit hohen Analphabetenquoten und einem begrenzten Personalstock für Aufklärungsaktionen besonders wichtig.	This is particularly important in countries with a high level of illiteracy, and with limited personnel available for awareness-raising measures.
Der Rat hat dies bedauerlicherweise zurückgewiesen. Dies ist nicht akzeptabel.	Unfortunately, the Council has rejected our proposal - and that is unacceptable.
Drittens: Dieses Parlament hat in einem Kompromiß zwischen Sozialisten und Christdemokraten eine Formel gefunden, die man so beschreiben kann: Wir wollen, daß die Europäische Union einen Dialog mit den Religionsgemeinschaften aufnimmt, die bisher den Gebrauch von Kondomen aus religiösen Gründen zurückweisen.	Thirdly, in a compromise between the socialists and Christian Democrats, Parliament came up with a formula on the following lines: we wish to see the European Union entering into a dialogue with the religious communities which continue, for religious reasons, to reject the use of condoms.
Dies ist gestrichen worden.	This has been deleted.
Ich hätte es verstanden, wenn der Rat gesagt hätte, daß dies nichts in einer Rechtsverordnung zu suchen hat, aber gleichzeitig beschlossen hätte, dies zu tun.	I could have understood it if the Council had said that a regulation was the wrong place for expressing such an intention but, at the same time, had decided to pursue it.
Aber er hat die Stelle ersatzlos gestrichen, und dies geht an der Wirklichkeit völlig vorbei.	But it simply deleted the proposal without putting anything in its place, and that is a failure to face reality.
Wenn in Afrika ein Bauarbeiter für drei Monate von seiner Familie weg ist, fällt ihm irgendwann noch etwas anderes ein als der Rosenkranz und der Gottesdienst.	When an African miner is away from his family for three months, saying the rosary and going to church are not the only things that he misses.
Dann kommt er zurück, steckt seine Frau an, und die Krankheit ist im Dorf.	Then when he comes home, he infects his wife and brings the disease into the village.
Das Streichen dieser Passage ist realitätsfern.	In deleting this paragraph, the Council is out of touch with reality.
Ich gehöre diesem Haus seit siebzehn Jahren an.	I have been a Member of this House for 17 years.
Ich habe nie beobachtet, daß sich alle Kollegen dieses Hauses, obwohl wir hier nur fünf Tage von den Familien weg sind, abends allein mit dem Nachtgebet in ihr Bett zurückziehen.	Although we are away from our families for only five days at a time, I have never found it to be the case that all my fellow Members are happy to say their prayers and go to bed alone.
