Herr Präsident, die Klonierung des Schafes Dolly öffnet die Büchse der Pandora.	Mr President, the cloning of Dolly the sheep has opened a Pandora's Box.
Was praktisch an Säugetieren möglich ist, wird bald auch am Menschen gemacht.	What can in practice be done with mammals will soon be done to humans.
Der Alptraum vom Menschen als Ersatzteillager und als Kindesreserve in der Kühlbox scheint nun Realität zu werden.	It seems that the nightmare of human beings as a stock of spare parts and a reserve of children stored in the cold box is becoming a reality.
Mit der Klonierung von Säugetieren tun wir den ersten Schritt in Huxleys schöne neue Welt.	In cloning mammals we are taking the first step into Huxley's Brave New World.
Die Klonierung des Menschen wäre ein Horror, eine Verletzung der Menschenwürde, ein Angriff auf die Individualität und Integrität des Menschen.	To clone people would be horrific, a violation of human dignity, an attack on the individuality and integrity of man.
Der Mensch würde zum Objekt, zum biologischen Material degradiert.	Man would be degraded into an object, into biological material.
Der ethische Dammbruch muß verhindert werden.	This breach of ethics must be prevented.
Doch die Ethik darf nicht erst bei der eigenen Spezies beginnen.	But ethics cannot just begin with our own species.
Auch das Klonieren von Tieren ist verwerflich.	Cloning animals is also reprehensible.
Tiere werden degradiert zu Massenprodukten, zu lebenden Fließbändern.	It degrades animals into mass products, living conveyor belts.
Lebende Tiere werden wie Massenware, wie Maschinen betrachtet, und die tierquälerische Massentierhaltung erhält neue Schubkraft.	Live animals are regarded as mass-produced goods, as machines, which will give a boost to the intensive stock-farming that is so cruel to animals.
Heute reden wir alle von der Ethik und der Gefahr der Menschenzüchtung.	Today we are all talking about ethics and the risk of breeding humans.
Doch die Eigen- und Einzigartigkeit des Lebens beginnt nicht erst beim Menschen.	But the individual and unique quality of life does not just begin with humans.
Auch Dolly, auch Tiere gehören zum Leben.	Dolly and other animals are also living beings.
Einig sind wir uns in der Forderung nach einem Verbot der Klonierung von Menschen.	We agree on calling for a ban on cloning humans.
Doch wie stehen wir als Europäisches Parlament zur Klonierung von Tieren?	But how do we as the European Parliament stand on the cloning of animals?
Auch die Klonierung von Tieren müssen wir verbieten.	We must ban that too.
Wir dürfen uns nicht an die Pest gewöhnen und vor der Cholera warnen.	We must not simply become accustomed to the plague and warn against cholera.
Die Klonierung von Säugetieren ist bereits eine ethische Grenzverschiebung.	The cloning of mammals already represents a shift of ethical boundaries.
Die Klonierung von Tier und Mensch muß ein Tabu sein.	The cloning of animals and humans must be taboo.
Ein schleichender ethischer Dammbruch ist auch ein Schritt in eine Zukunft, die uns mit Grausen erfüllt.	This insidious ethical breach is a step into a future that fills us with horror.
Bereits 1993 nach den Klonierungsexperimenten von Jerry Hall mit menschlichen Embrionen hat das Europäische Parlament einstimmig ein Klonierungsverbot gefordert.	In 1993, following Jerry Hall's experiments in cloning human embryos, the European Parliament called unanimously for a ban on cloning.
Doch passiert ist nichts.	Yet nothing happened.
Die Rede der Kommissarin und die Position der EU-Kommission sind erbärmlich.	The statement by the Commissioner and the position of the EU Commission are pitiful.
Sie hat auf umfassende politische Aktionen verzichtet.	It has refrained from taking comprehensive political measures.
Die Kommissarin hat heute lediglich davon gesprochen, daß man erwägt, Aktionen zu machen.	Today the Commissioner merely said that it was considering taking action.
Weiterhin fließen EU-Gelder direkt oder indirekt in ethisch fragwürdige Projekte.	EU money continues to flow directly or indirectly into ethically dubious projects.
Obwohl die Klonierung den ethischen Grundkonsens in unserer Gesellschaft verletzt, delegiert die EU-Kommission die Frage der Klonierung von Tieren an die Ethikberatergruppe.	Although cloning infringes a basic ethical consensus in our society, the EU Commission delegates the question of cloning animals to the Biotechnology Advisory Group.
Ein politisches Armutszeugnis und Augenwischerei!	What a demonstration of political impoverishment and eyewash!
Die Beratergruppe hat sogar von der Kommission den Auftrag, für die Akzeptanz der Gentechnik zu sorgen.	The advisory group has even been instructed by the Commission to ensure that gene technology gains acceptance.
Die Gesellschaft muß der Wissenschaft ethische Grenzen setzen und nicht umgekehrt.	Society must set ethical limits for science and not the reverse.
Die Verlagerung der ethischen Diskussion in nicht demokratisch legitimierte Ethikkommissionen ist lediglich eine Beruhigungspille für die Öffentlichkeit.	Shifting the ethical discussion to committees that have no democratic legitimacy is merely at attempt to tranquillize the public.
Wir dürfen auch nicht schweigen, wenn es um die ökonomischen Grundlagen geht.	We must not remain silent on the matter of the economic basis for this either.
Die Klonierung zu verbieten und gleichzeitig ein Patent auf die Klonierung und die klonierten Lebewesen auszusprechen, ist absurd!	To ban cloning while at the same time permitting cloning and cloned living beings is absurd!
