Herr Präsident, Europa nimmt zu, was das Alter der Menschen betrifft.	Mr President, Europe is increasing as far as the age of its people is concerned.
Europa nimmt ab, was die Anzahl der Menschen betrifft.	Europe is decreasing as far as the number of its people is concerned.
Ist unser Standort in Gefahr?	Is our position in danger?
Sind die Grunddaten für diese Entwicklungen bereits aussagefähig?	Are the data on which these developments are based even meaningful?
Lassen sich aus ihnen Strategien entwickeln?	Can they be used to develop strategies?
Im zweiten Jahresbericht der Kommission zu den demographischen Grundlagen wird deutlich, daß zu den bisherigen drei Generationen - Auszubildende, Erwerbstätige, Rentner - eine vierte hinzugekommen ist, die der über 75jährigen.	In the Commission's second annual Report on the Demographic Situation it is clear that, in addition to the three generations that we have been familiar with up to now - young people in eduction, people of working age, and pensioners - a new generation is emerging, that of the over seventy-fives.
Ihr Anteil wächst erheblich.	Their numbers are growing considerably.
Es ist erfreulich, daß die Menschen dank medizinischer Fortschritte, dank besserer Gesundheitsvorsorge länger aktiv sind.	It is a good thing that people are remaining active longer, thanks to medical progress and better health care provision.
Auf einem anderen Blatt jedoch steht der Mangel an Betreuung, an Pflege, Integration und Solidarität.	On the other hand, however, there is a shortage of care, integration and solidarity.
Die Zunahme des Alters hat gravierende Auswirkungen auf die sozialen Sicherheitssysteme.	This increase in age has serious consequences for our social security systems.
Die Meinungs- und Verteilungskämpfe in unseren Mitgliedstaaten sind heftig.	There are considerable differences of opinion between Member States, as well as considerable differences in distribution.
Es geht um die Höhe des Rentenniveaus, hier die Grundsicherung, dort die unverzichtbare Leistungsbezogenheit, hier die Verlängerung der Lebensarbeitszeit, dort die unfreiwillige Vorruhestandsregelung mit hohen Kosten für die Allgemeinheit, die kaum zu Mehreinstellungen von jüngeren Mitarbeitern geführt hat.	Matters at issue include the level of pensions, in one country basic protection, in another the essential performance-related element, here the lengthening of people's working lives, there the forced early retirement scheme, which operates at great cost to the tax-payer but which has led to hardly any additional jobs for young people.
Nach wie vor kommen Frauen bei der Rentenberechnung zu kurz.	As ever, women get less than their fair share when it comes to calculating pensions.
Natürlich müssen Maßnahmen finanzierbar sein, also heißt es Ja zum Umbau der Sozialpolitik, aber genauso Nein zum Abbau der Sozialpolitik.	Of course measures have to be fundable, and so we have to say yes to the reform of social policy, but at the same time we must say no to the dismantling of social policy.
Frau Boogerd-Quaak ist zu beglückwünschen zu ihrem Bericht, der präzise Schwerpunkte setzt.	Mrs Boogerd-Quaak is to be congratulated on her report, which sets out specific priorities.
Wir stimmen ihr zu, wenn es um mehr Differenzierung geht angesichts der vitalen regionalen Unterschiede zwischen dichtbesiedelten Städten und ausgedünnten Dörfern.	We agree with her about greater differentiation in the light of the vital regional differences between densely populated towns and isolated villages.
Die Auswirkungen auf Verkehrsplanung, Raumordnung, Wohnpolitik, Sozialpolitik, auch auf unsere europäischen Strukturfonds sind gravierend.	The effects on traffic planning, regional planning, housing policy and social policy are very grave, as are the effects on our European structural funds.
Die von uns, der Europäischen Volkspartei, eingereichten Anträge wurden fast ausnahmslos integriert, etwa im Bereich der Arbeitswelt.	The amendments proposed by my group, the Group of the European People's Party, have been included almost without exception, and relate to the world of work.
Hier sind immer weniger Menschen beschäftigt, allerdings hochproduktiv.	Fewer and fewer people are employed here, though those that are employed are highly productive.
Speziell Großunternehmen verzichten leider auf den Faktor Erfahrung.	Bigger companies, in particular, are unfortunately sacrificing the experience factor.
Er wird zu einem Handicap.	Experience is becoming a handicap.
Menschen werden als angeblich zu alt ausgegrenzt oder entlassen, anstatt ihre Kenntnisse, ihre Arbeitsgenauigkeit, ihre Verläßlichkeit zu nutzen, und sehr wohl ihr hohes Innovationspotential völlig unterschätzt.	People are excluded or dismissed, instead of taking advantage of their knowledge, their meticulous work, and their reliability, and it is quite likely that their innovative potential is being totally underestimated.
Die Teilhabe am Arbeitsmarkt muß ausgeweitet werden.	Participation in the labour market must be extended.
Das gilt für die Jüngeren, deren Anteil drastisch abnimmt, was noch lange keine Berechtigung dafür ist, Bildungsmaßnahmen etwa herunterzufahren, im Gegenteil.	This applies to younger people, the proportion of whom, in the total population, is declining drastically, though this is no excuse for 'running down' educational measures.
Zukunftschancen wachsen mit breiter Grundbildung, mit vielfältigen Qualifikationen und Sprachkenntnissen.	On the contrary, future opportunities are increased by a more broadly based basic education system, with many different qualifications and language skills.
Das gilt auch für Frauen, deren Benachteiligungen vom Entgelt bis zur Arbeitszeit nicht geringer geworden sind.	The same applies to women, who are still just as disadvantaged as ever, in everything from pay to working hours.
Was tun wir eigentlich politisch für eine kinderfreundlichere Gesellschaft, auch angesichts der geschilderten demographischen Daten?	What are we actually doing, in policy terms, to achieve a more child-friendly society, again in the light of the demographic data that have been described to us?
Hier ist ein weites Feld für den europäischen Mehrwert, um nationale Politiken zu koordinieren, zu ergänzen und - um im Bild zu bleiben - zu befruchten.	This is a broad field for European 'added value' , which could be used to coordinate national policies, to supplement them and - to stay with the metaphor - to fertilize them.
