Herr Präsident, liebe Kolleginnen und Kollegen! Wir haben schon eine ganze Weile den Binnenmarkt.	Mr President, ladies and gentlemen, we have had the single market for quite some time.
Wir haben auch eine langsam wachsende, grenzübergreifende Mobilität, aber die Freizügigkeit der ArbeitnehmerInnen ist immer noch unzureichend durch soziale Sicherung, durch Sicherung und Zugang zu Gesundheitssystemen abgefüttert.	We also have gradually increasing cross-border mobility, but the free movement of workers is still inadequately underpinned by social security provisions and access to health care.
Da ist in der Tat der Bericht von Frau Oomen-Ruijten und die Grundlage der Kommission ein allererster Schritt, um überhaupt erst ein Minimum herzustellen, das wir brauchen, damit soziale Grundrechte auch wirksam sind im Kontext der real sich ausbreitenden grenzübergreifenden Mobilität von ArbeitnehmerInnen.	The Commission proposal and Mrs Oomen-Ruijten's report therefore represent the very first steps towards creating the minimum that is necessary to ensure that basic social rights continue to be guaranteed in the context of the growing cross-border mobility of workers.
Es ist wichtig, daß es auch für ArbeitnehmerInnen in der Ausbildung gilt, und daß Studenten einbezogen werden, denn in der Tat geht es um einen Bereich, in dem sich die Mobilität zu Recht auch als Beitrag zur Festigung und Entwicklung des Binnenmarktes für die abhängige Arbeit besonders entwickelt.	It is important that the provisions will also apply to students and workers on vocational training courses, since this an area in which mobility is particularly increasing, thereby contributing to the consolidation and development of the internal market in paid employment.
Ich unterstreiche auch die Notwendigkeit, dafür zu sorgen, daß BürgerInnen aus Drittstaaten nicht wie gegenwärtig weiter diskriminiert werden.	I would also stress the importance of ensuring that third-country nationals are no longer discriminated against, as at present.
In diese Richtung müssen wir weitergehen.	We must continue to take steps in this direction.
Es gibt auch noch andere Wünsche, die offen bleiben.	There are other wishes that remain unfulfilled.
Weil wir natürlich ein Interesse daran haben, daß die Migration, die grenzübergreifende Mobilität sich in der Europäischen Union entwickelt, haben wir auch ein Interesse daran zu ermöglichen, daß vorteilhafte Regelungen aus dem eigenen Staat mitgenommen werden können, wenn es sich um einen vorübergehenden Aufenthalt in einem anderen Staat der Union handelt.	Since we are interested in ensuring the development of cross-border mobility within the European Union, we are also interested in making it possible for workers to take benefits from their own Member State with them when they go to reside temporarily in another Member State.
Hier bleibt der Bericht in der realistischen Einschätzung der Möglichkeiten hinter dem zurück, was notwendig wäre.	In its assessment of the possibilities here, the report falls short of what is required.
Wir können eigentlich insgesamt die Bilanz ziehen, daß wir in den Bereichen, in denen wir als Parlament etwas zu sagen haben, offensichtlich ganz große Schwierigkeiten haben, auch kleine Fortschritte durchzudrücken.	To sum up, it can be said that in those areas where Parliament has a say, it clearly has difficulties securing even small advances.
Nur da, wo wir nichts zu sagen haben, können wir große Prinzipien formulieren.	Only in areas in which it has no say can it formulate broad principles.
Diese Diskrepanz müssen wir endlich überwinden.	We must finally overcome this discrepancy.
Wir müssen zu einer echten, prinzipiengeleiteten, durchgreifenden Politik in unseren Gesetzgebungsverfahren kommen.	We must introduce genuinely principled and radical policies in our legislative processes.
