Herr Kommissar, ich glaube, Haushaltsprobleme sind es nicht, die Sie bewegen.	Commissioner, I believe that budgetary problems are not the main issue as far as you are concerned.
Das war vor einem halben Jahr so.	That was the case six months ago.
Die Argumente haben sich geändert.	But the arguments have changed.
Aber selbst wenn es Haushaltsprobleme wären, gibt es ja auch andere Möglichkeiten, Einsparungen vorzunehmen.	Even if budgetary problems were your main concern, though, there are other ways of achieving savings.
Ich habe schon im Ausschuß für Landwirtschaft und ländliche Entwicklung darauf hingewiesen, daß eine lineare Kürzung wenig phantasievoll ist.	I have already pointed out to the Committee on Agriculture and Rural Development that a linear reduction is somewhat unimaginative.
Sie ist auch nicht ökologisch.	It is also ecologically unsound.
Sie ist auch nicht sozial.	And socially unsound.
Sie wollen die Prämien ökologisch und sozial ausgestalten, lautet immer wieder Ihre Aussage im Ausschuß für Landwirtschaft und ländliche Entwicklung.	You keep telling the Committee on Agriculture and Rural Development that you want the premiums to be both ecologically and socially beneficial.
Warum fangen Sie dann nicht bei diesem Vorschlag, wenn es denn um Kürzung und Einsparung geht, damit an?	So why not start with this proposal, if it's cuts and savings you want?
Sie haben ohnehin heute eine ganz besondere Logik offenbart, wenn Sie sagen: Weil wir den Flachs gekürzt haben, müssen wir den Hanf kürzen, sonst ist der im Vorteil, und die Ölsaaten sind im Vorteil, weil wir beim Getreide kürzen.	Incidentally, you displayed a very curious turn of logic today in saying that because we've cut back on flax we must also cut back on hemp, otherwise hemp will have an advantage and the oilseeds have an advantage because we cut back on cereals.
Was dahinter steckt, ist ja, daß Sie die Preissenkung immer als die selbstverständlich vorgegebene Linie betrachten.	The fact of the matter is that you always regard price cuts as the automatic line to follow.
Herr Funk, Ihnen muß ich natürlich sagen, wir als Fraktion tragen Ihren Bericht.	Mr Funk, I must inform you that we, as a group, naturally support your report.
Nur machen Sie es uns nicht einfach.	But you don't make it easy for us.
Wir haben ja versucht, durch einen Änderungsantrag - er liegt wieder vor, und ich bin gespannt, wie Ihre Fraktion ihn bewerten und abstimmen wird - diese Sache zu Fall zu bringen, aber mit der Maßgabe, daß wir zu einer Reform der Ausgleichszahlungen kommen, die sozial-ökologische Kriterien berücksichtigt, bei der es eine Degression gibt, also eine Abstaffelung, und eine stärkere Hinwendung zu ökologischen Anbaumethoden.	After all, we tabled an amendment - it's still on the table, and I can hardly wait to see how your group will view it and vote on it - to try to shoot down this idea, but with the proviso that we arrive at a reform of the compensatory payments in a way that takes account of social and ecological criteria, with a gradual reduction, a staggered reduction, and more of a shift towards ecological methods of farming.
Dies haben Sie im Ausschuß für Landwirtschaft und ländliche Entwicklung immer glatt abgelehnt.	You always flatly refused this in the Committee for Agriculture and Rural Development.
Gleiche Änderungsanträge kamen von der Fraktion der Sozialdemokratischen Partei Europas.	Similar amendments were tabled by the Group of the Party of European Socialists.
Sie machen es uns da schwer.	So you are making it difficult for us.
Sie sind ja als Fraktion - nicht Sie persönlich, Sie müssen das ja vertreten - genauso bockbeinig wie die Kommission, die sagt "Kürzung" , und Sie sagen "Nein" ! Aber dazwischen müssen ja Möglichkeiten gefunden werden, zumindest für die Zukunft.	You as a group - not you personally, but you have to answer for the others - are just as contrary as the Commission: they say 'Cut it!' and you say 'No!' but there must be possibilities somewhere in between, at least for the future.
Das gleiche gilt für die Flächenstillegung.	The same applies to set-aside.
