Die Berichterstatterin hat schon über die bildungspolitische Bedeutung von SOKRATES gesprochen.	The rapporteur spoke about the importance of Socrates as an instrument of education policy.
Ich möchte aber auch diesen politischen Aspekt, der schon angeschnitten wurde, unterstreichen.	But I should like to reemphasize this political aspect that has already been touched upon.
Wir klagen doch überall über das Wiedererwachen von nationalistischen Tendenzen, vor allem unter den Jugendlichen.	We lament, do we not, the ubiquitous reawakening of nationalist tendencies, especially among young people.
Dann schafft die Europäische Union ein wirklich exzellentes Mittel, um dem entgegenzutreten, indem sie für Hunderttausende Studierende Europa wirklich erlebbar macht, und dann streichen wir womöglich diese Programme zusammen und bringen sie um ihre Wirkung.	Then the European Union creates an excellent means of combating these inclinations by making the idea of Europe come alive for hundreds of thousands of students, whereupon we start trying to curtail this programme right, left and centre, thereby rendering it ineffectual.
Es dürfen zwei Dinge nicht passieren.	There are two things that must not happen.
Erstens, daß durch diese finanziellen Restriktionen nur noch begüterte Studentinnen und Studenten sich diese Programme leisten können.	First of all, these financial restrictions must not mean that only students from wealthy backgrounds can afford to engage in such programmes.
Schon jetzt ist es für einen Studenten schwierig, mit diesen Zuschüssen die tatsächlichen Lebenshaltungskosten in einer auswärtigen Studienstadt zu tragen.	Even now it is difficult for students to survive on these grants in a foreign university city.
Zweitens wäre es ein politischer Schildbürgerstreich, wenn wir dieses Programm auf Osteuropa ausdehnen und dann nicht die Mittel dafür zur Verfügung stellen können.	Secondly, it would be an act of political folly to extend this programme to Eastern Europe and then be unable to fund it.
Das wäre wirklich politischer Unfug.	That would be absolute political madness.
Deshalb unterstütze ich diese Aufstockung der Mittel und halte es im übrigen für wichtig, daß die gesamte Förderungsproblematik in der EU durchgearbeitet wird.	For that reason, I support the bid for replenishment and, incidentally, consider it essential that the whole issue of EU assistance be thoroughly reviewed.
Wir sehen, daß hier falsche Schwerpunkte vorherrschen.	We can see in the present case that the Union is getting its priorities wrong.
Bildung ist ein ganz wichtiges Ziel, und ich hoffe, daß wir das erreichen.	Education is a very important aim, and I hope it is an aim that we shall achieve.
