Herr Präsident, verehrte Kolleginnen und Kollegen!	Mr President, ladies and gentlemen.
Was lange währt, wird endlich gut!	Slowly but surely is a German maxim.
Das ist eine Spruchweisheit aus Deutschland. Ich möchte diesen Spruch mit Vorbehalt auf die Diskussion zur Postrichtlinie übertragen.	I should like to apply this saying to the discussion about the postal services guidelines, for this really has been a slow process.
Lange gedauert hat es nun wirklich. Ob die vorgeschlagene Richtlinie gut ist, versehe ich mit einem Fragezeichen.	Whether or not the guideline is a good one, I take leave to doubt.
Die Richtlinie könnte wesentlich besser aussehen, vor allem fehlt die Festschreibung des Sozialschutzes für Arbeitnehmer und Arbeitnehmerinnen bei Umstrukturierungsmaßnahmen.	It could be much more satisfactory - in particular, a definite reference to protection for employees as a result of restructuring is missing.
Trotzdem, die PSE-Fraktion wird diesen Vorschlag des Rates akzeptieren.	Nevertheless, the Group of the Party of European Socialists will accept this proposal by the Council.
Wir wissen, wie schwierig die Einigung im Rat war, und wir wollen diesen Kompromiß nicht in Gefahr bringen.	We are aware how difficult it has been to obtain agreement in the Council, and we should not wish to endanger this compromise.
Unsere Vorstellung von einem guten und wettbewerbsfähigen Postdienst in der Union war weitergehend; allerdings hat die Kommission leider nur wenige Änderungsanträge von uns übernommen, der Ratsvorschlag hingegen hat in der Tendenz unseren Beschluß berücksichtigt.	Our concept of a good and commercially viable postal service within the Union went further; and although the Commission regrettably adopted only a few of our amendments, the Council proposal did reflect the tenor of our resolution.
Es ist für die gesamte Union wichtig, endlich einen Regelungsrahmen für die Postdienste zu haben, nach dem sich die Mitgliedstaaten mit ihrer Gesetzgebung richten können.	It is important for the whole Union that a regulatory framework should at last be in place for the postal services, upon which the member states can base their legislation.
Leider enthalten die Formulierungen in der Richtlinie zu oft das Wort "kann" anstelle von "muß" , und ich befürchte, daß diese Kann-Formulierung von einigen Mitgliedstaaten als Schlupfloch genutzt wird, um die europäischen Vorschriften zu umgehen.	Unfortunately, the wording of the guideline too often contains the word "can' , instead of "must' , and I fear that this "can' will be exploited by some Member States as a means of avoiding the European regulations.
Wirklich positiv ist die klare Festlegung des Universaldienstes und des reservierten Bereichs.	The clear definition of universal service and the reserved sectors is really positive.
Das wird die Versorgung der Endverbraucher zu einem vernünftigen Preis bis in alle Regionen hinein garantieren können.	That will guarantee the consumer a service at a reasonable price in every region.
Das wird auch bei der Diskussion in der Bundesrepublik über das neue Postgesetz hilfreich sein.	It will also be helpful during the debate in the Federal Republic on the new postal services law.
Ich hoffe, daß diese Richtlinie ohne dritte Lesung schnell in Kraft treten kann. Dann nämlich ist die verlogene Diskussion bei uns zu Hause vom Tisch, in der behauptet wird, Europa zwinge uns, zum Beispiel kleine Postämter aufzulösen oder zu schließen, nur noch zweimal pro Woche die Briefkästen zu leeren oder Ähnliches.	I trust that this guideline will quickly become effective without a third reading, for that will nullify the mendacious rumours in my country, which maintain that Europe is, for example, forcing us to close sub-post offices, make collections only twice a week, and so forth.
Die Änderungen, die Herr Simpson eingebracht hat, unterstütze ich voll und freue mich, daß mit der Änderung Nr. 4 die Post für blinde und sehbehinderte Personen genauer definiert wird.	I fully support Mr Simpson's amendments, and I am pleased that the postal service for blind and partially-sighted people has been more precisely defined by Amendment No 4.
Den beiden Änderungen von Herrn Ferber zu den Endvergütungen, also zum Remailing, werden wir nicht zustimmen.	We shall not support Mr Ferber's amendments on the subject of redirection.
Die Anträge würden, so gut und sinnvoll sie mir persönlich auch erscheinen mögen, im Rat nicht akzeptiert und somit den fragilen Kompromiß gefährden.	However reasonable and beneficial these may actually seem to me personally, they would not be accepted by the Council, and would therefore endanger the fragile compromise.
Für das Problem des Remailings muß eine Lösung gefunden werden, und zwar klarer definiert, als jetzt im Artikel 13 festgeschrieben, denn sonst bleiben Wettbewerbsverzerrungen an der Tagesordnung.	A solution will have to be found to the problem of redirection, and it will have to be more clearly defined than at present in article 13, otherwise distortions of competitiveness will remain.
Ich fordere die Kommission daher auf, einen separaten Richtlinienvorschlag zu den Endvergütungen vorzulegen, allerspätestens im Dezember 2000, wenn sie den Bericht über die neue Postrichtlinie und ihre Funktionsweise abgibt.	I ask the Commission, therefore, to present a separate guideline proposal on the final payments, and for this to be December 2000 at the very latest when it reports on the new postal services guidelines and their implementation.
