Frau Präsidentin!	Madam President.
Es tut mir wirklich leid, meinen beiden Vorrednern und guten Freunden widersprechen zu müssen.	I am truly sorry to have to contradict my good friends, the previous two speakers.
Ich bin mehr als einmal in Bahrain gewesen.	I have been to Bahrain on more than one occasion.
Ich kenne ein bißchen die Geschichte von Bahrain, bis zurück in die vierziger Jahre.	I know a bit about the history of Bahrain, back into the Forties.
Es zeigt nur, daß diese Berichte über Bahrain mit der Realität in Bahrain überhaupt nichts zu tun haben.	It shows that these reports on Bahrain had nothing whatever to do with realities there.
Wir dürfen etwas nicht vergessen: Es gibt dort zwar zweifelsohne wie in allen arabischen Staaten gewisse Exzesse, gegen die wir nicht massiv genug auftreten können.	We must not forget one thing: there is no doubt that certain excesses exist there, as in all Arab countries, which we cannot oppose sufficiently strongly.
Auf der anderen Seite ist Bahrain jedoch äußerst bedroht durch die iranischen Kräfte.	On the other hand, however, Bahrain is under extreme threat from Iranian forces.
Für die Unruhen, die man in Bahrain weitgehend beobachten konnte, sind schiitischen Extremisten verantwortlich, die durch die iranischen Autoritäten geleitet werden.	Shiite extremists, guided by the Iranian authorities, are responsible for the unrest one has seen in Bahrain generally.
Natürlich sind sie gegen die Regierung.	Naturally they are anti-Government.
Sie wollen auch die Regierung von Bahrain aus einem einfachen Grund stürzen.	There is also a simple reason why they want to overthrow the Bahrain Government.
Man muß nur auf die Karte schauen.	One merely needs to look at a map.
Bahrain hat eine Schlüsselstellung, wenn nicht überhaupt die Schlüsselstellung in der ganzen Region.	Bahrain has a, if not the, key position in the whole region.
Wenn es extremistischen Kräften jemals gelänge, dieses Bahrain zu übernehmen, würde das die gesamte Ruhe in der Region nicht nur stören, sondern effektiv große Gewalt herbeiführen.	If extremist forces were able to take Bahrain they would destabilize not just the region, but effectively create great violence.
Ich muß Ihnen leider sagen, wenn es uns gelänge, die Regierung von Bahrain jetzt zu stürzen, würden wir dann erst sehen, was Gewalt, Repression, Unterdrückung und Folter wirklich bedeuten.	I have to say that if we were successful in overthrowing the Government of Bahrain we would then really see what is meant by violence, oppression, repression and torture.
Ich bin daher der Ansicht, man soll wohl mit den Bahrainis freundschaftlich sprechen.	It is my view that one should certainly speak gently to the Bahrainis.
Sie sind nicht unsere Gegner.	They are not our enemies.
Aber man soll ihnen auch ganz klar machen, daß man sie gegen diese Gefahr, die Ihnen heute noch aus dem Iran droht, verteidigt, daß man zu ihnen steht und daß wir insbesondere alles unternehmen werden, damit größere Freiheit in Bahrain entsteht, aber um Gottes willen nicht, indem man jetzt die innere Ordnung dort zerstört.	But one should make quite clear to them that we would defend them against this threat from Iran, that we would support them, and that we would do everything possible to ensure that greater freedom is created in Bahrain, but that, in God's name, internal order there should not now be destroyed.
Daher werden wir gegen diese Entschließung stimmen.	For that reason we shall vote against this resolution.
Kolumbien	Columbia
