Frau Präsidentin! Manche haben eine Minute und reden zwei Minuten.	Madam President, some people have one minute worth and speak for two.
Ich werde versuchen, mich an die zwei Minuten zu halten.	I shall endeavour to keep to the two minutes.
Ich möchte an das anschließen, was Herr Bertens gesagt hat.	I should like to concur with what Mr Bertens has said.
Wir brauchen eine einheitliche Haltung, eine einheitliche Meinung.	We need to have a common approach, a common opinion.
Wenn das schon die Staaten der EU nicht zustande gebracht haben, dann sollten wir das jedenfalls im Europäischen Parlament tun.	Although the European states have been unable to achieve that, at least we should do so in the European Parliament.
Wir haben heute einen Entschließungsantrag, der aus meiner Sicht eine einheitliche Meinung möglich macht.	Today we have a resolution which in my view makes a common opinion possible.
Sie wissen, daß wir schon eine Reihe von Entschließungsanträgen hatten, wo ich gerade im Namen meiner Fraktion die Zustimmung nicht geben konnte, weil man hier Menschenrechtsfragen mit einer Reihe von politischen Fragen - bei denen man durchaus unterschiedlicher Meinung sein kann - verbunden hat.	You are aware that we have had a series of resolutions to which I, on behalf of my party, was unable to give consent. This was because human rights have been bound up here with a series of political questions on which one may legitimately have a variety of opinions.
Ich meine, daß die Menschenrechtsfrage als solche in China so dringend ist - und zwar nicht nur für das Prinzip der Einhaltung der Menschenrechte, sondern auch für eine gesunde wirtschaftliche und soziale Entwicklung in China selbst -, daß es richtig ist, diese Initiative zu ergreifen.	I believe that the human rights question in China is so urgent - and not just for the principle of maintaining human rights, but also for the healthy economic and social development of China itself - that it is right for us to take this initiative.
Es ist unsere Aufgabe - und dazu brauchen wir den Dialog mit China -, auch die chinesischen Partner zu überzeugen, daß es, solange Menschenrechte nicht in einem größeren Ausmaß anerkannt werden, solange es hier keine Fortschritte gibt, auch im wirtschaftlichen und sozialen System nicht jenes Ausmaß an Fortschritten geben kann, das notwendig ist.	It must be our obligation - and for this we need a dialogue with China - to convince the Chinese side that as long as human rights are not widely recognized, as long as there is no progress in this respect, there cannot be the necessary advances in economic and social systems.
Denn eine Gesellschaft, die die Menschenrechte nicht anerkennt, die sie mit Füßen tritt, kann keine Gesellschaft sein, die auf breite Akzeptanz stößt, und sie kann nicht wirklich alle menschlichen Ressourcen organisieren, um die Wirtschaft voranzutreiben.	A society which does to acknowledge human rights, in which they are spurned, cannot be a society that meets with broad acceptance and it simply cannot organize all human resources to achieve economic progress.
Natürlich geht die wirtschaftliche Entwicklung in China schnell vor sich, aber das stößt bald an Grenzen, wenn es im Zuge der wirtschaftlichen Entwicklung nicht zu einer besseren Situation kommt.	Of course, economic progress in China continues apace, but that will soon meet limits if the process of economic development does not give rise to better conditions.
In diesem Sinne sind die von uns aufgestellten Forderungen voll zu unterstreichen, und ich hoffe, daß wenigstens in diesem Haus eine einheitliche, kritische, aber offene und solidarische Haltung zur Menschenrechtsfrage in China eingenommen werden kann.	For these reasons the proposals we have produced should be fully supported, and I hope that at least in this House a unified and critical, though frank and solid, front can be presented to China.
