Herr Präsident, ich gratuliere Frau Kollegin Ghilardotti zu ihrer Arbeit.	Mr President, I congratulate the honourable Member, Mrs Ghilardotti, on her work.
Mit ihrer Empfehlung zur Richtlinie zur Beweislastumkehr aufgrund des Geschlechts faßt sie hervorragend die Entscheidungen des Ausschusses für die Rechte der Frau zusammen.	With her recommendation for a directive on shifting the burden of proof in cases of discrimination on grounds of sex, she sums up admirably the resolutions of the Committee on Women's Rights.
Mit den Änderungsanträgen wird ein wichtiger Baustein zur Verwirklichung des sozialen Europa vorgelegt.	The amendments constitute an important element in achieving a social Europe.
Wir Sozialdemokratinnen wollen eine starke Richtlinie, die es Frauen erleichtert, ihr Recht auch durchzusetzen.	We Social Democrats want to see a clear directive that assists women in asserting their rights.
Ich hoffe, die Kommission, die bisher sehr kooperativ mit dem Parlament zusammengearbeitet hat, wird in diese Richtung weitergehen.	I trust the Commission, which has been so far very cooperative with Parliament, will continue to take this line.
Wir wollen die Position für Arbeitnehmerinnen in Fällen von Diskriminierung bei der Einstellung, Beförderung und Entlohnung verbessern.	We would like to see the position of female employees in cases of job discrimination, promotion and remuneration improved.
Der seit 15 Jahren diskutierte Entwurf muß unserer Meinung nach die drei Kernbereiche aufnehmen, die Frau Ghilardotti bereits vorgelegt hat und die nach der ersten Lesung nicht vollständig vom Rat übernommen wurden.	The draft under discussion for the last 15 years must, in our view, include the three key elements which Mrs Ghilardotti has already presented and which were not fully accepted by the Council after first reading.
Die Verschiebung der Beweislast, weg von der Klägerin zum Arbeitgeber, muß definitiv wie in Änderungsantrag 8 als Ergänzung gefordert werden, die verbleibenden Zweifel müssen zu Lasten des Beklagten gehen.	The shifting of the burden of proof from plaintiff to employer as in Amendment No 8 must definitely be insisted on, and the burden of residual doubt must lie with the accused.
Das ist eine Kernforderung von uns.	We regard this as an essential requirement.
Die zweite klare Definition von mittelbarer Diskriminierung, wie sie der EuGH mit seiner Rechtsprechung bereits eingeschlagen hat, muß deutlich gemacht werden.	The second clear definition of indirect discrimination, which the European Court has already embarked on in its judgement, must be clarified.
Auch der Vertragsentwurf von Amsterdam geht ja in diese Richtung.	Indeed the draft Amsterdam Treaty takes the same approach.
Drittens wollen wir den Anwendungsbereich der Richtlinie auch auf Mutterschutz und soziale Sicherheitsrichtlinien ausgedehnt wissen, um in den Mitgliedstaaten nicht wieder Schlupflöcher aufzureißen, die die Klägerinnen wieder daran hindern, ihr Recht auf Gleichbehandlung auch zivilrechtlich einzuklagen.	Thirdly, we want to see the directive extended to the protection of expectant and nursing mothers and social security provisions, so as to avoid loopholes in Member States which may prevent female plaintiffs from asserting their rights to equality of treatment in the civil courts.
Für die Sozialdemokratische Fraktion fordere ich deshalb alle Kolleginnen und Kollegen auf, die vorgeschlagenen Änderungen mit der Kernaussage auch des Änderungsantrags 8 zu übernehmen, und ich hoffe, daß wir die Mehrheit dafür bekommen und der Kommissar diese Änderungen mitträgt.	So on behalf of the Group of the Party of European Socialists, I would ask all colleagues to accept the proposed amendments including the key contents of Amendment No 8, and I trust we will get a majority and that the Commissioner will accept these amendments.
