Herr Präsident, wir Grünen sind keineswegs grundsätzlich gegen Betriebsverlagerungen, im Gegenteil!	Mr President, we Greens are by no means against relocation, on the contrary!
Sie können unter den richtigen Umständen ein wichtiger Beitrag zur regionalen Entwicklung sein. Dazu gehört in erster Linie Kohärenz mit entwicklungspolitischen, humanen und sozialen Grundsätzen.	In the right circumstances it can make an important contribution to regional development as long as it is done with regard for the political environment in the developing country, and along humane and socially positive lines.
Mercedes sollte also durchaus in Brasilien produzieren.	Mercedes should by all means manufacture in Brazil.
Aber ein Arbeiter in der dortigen Niederlassung muß dasselbe Recht auf gewerkschaftliche Organisation haben wie sein Kollege hier.	But a worker in a subsidiary there must have the same rights to trade union membership there as his colleague here.
Eine französische Firma soll ohne weiteres Radios in Südostasien herstellen, aber die Gesundheit der Arbeiterinnen dort ist genauso wichtig wie die einer Arbeiterin in der ersten Welt.	A French firm should certainly be able to manufacture radios in south-east Asia, but the health of the female employees there is just as important as that of a female employee in the first world.
Doch das neoliberale Projekt der freien Fahrt für freies Kapital zwingt vor allem Drittwelt- und Schwellenländer in eine horrende Standortkonkurrenz um die größte Steuerbefreiung, den schlechtesten Arbeitsschutz und die miesesten Löhne.	The trouble is the neo-liberal project of free movement of free capital forces third world and threshold countries in particular into a horrendous competition to attract the investment with maximum tax exemption, the worst job protection and the lowest wages.
Dabei wissen wir doch längst, daß niedrige Lohnkosten für das Gros der Betriebsverlagerungen nicht ausschlaggebend sind.	We have long since known that low wage costs are not the critical factor for the majority of industrial relocations.
Aber Unternehmer glauben offenbar, sie könnten nicht nur neue Märkte erobern, sondern in einem Aufwasch auch noch unbehelligt aus menschenunwürdigen Bedingungen Profit schlagen.	But some people clearly think they can not only conquer new markets, but profit unobtrusively from disgraceful conditions and cover up the operation.
Genau deswegen brauchen global players verbindliche Spielregeln.	This is precisely why global players need binding rules .
Freiwillige codes of conduct reichen nicht.	Voluntary codes of conduct will not do.
Es ist unsere Aufgabe, unsere Firmen in die Pflicht zu nehmen.	It is our responsibility to get our firms to make a commitment.
Hiesige Unternehmen, die auswärts europäische Standards unterlaufen, müssen von allen EU-Subventionen ausgeschlossen werden.	European companies which duck European standards abroad must be excluded from all EU grants.
Prämien für Hungerlöhne und Umweltverschmutzung, das ist mehr als zynisch!	Bonuses for starvation wages and environmental pollution? That is ironic to say the least!
In diesem Sinne bitten wir auch um Unterstützung für unsere Änderungsanträge.	In view of this we would also ask for support for our amendments.
Der Bericht Sainjon ist längst überfällig, denn längst wird in der OECD ein multilaterales Investitionsabkommen ausgehandelt, das staatliche Regelungen und politische Einflußnahme aushebelt.	The Sainjon report is long since overdue, because the OECD negotiated a multilateral investment agreement ages ago which tackles national agreements and political influence.
Wir werden natürlich morgen dafür stimmen, daß über den Bericht abgestimmt wird.	Tomorrow we shall of course vote for agreement on this report.
Wir hatten eine sehr gute Anhörung dazu. Wir haben ausführlich diskutiert.	We have had a very good hearing and a thorough discussion.
Zu Frau Plooij van Gorsel kann ich nur einen Satz aus dem Fußballspiel sagen: Knapp daneben ist auch vorbei!	To Mrs Plooij-van Gorsel can only quote a saying from football: a miss is as good as mile!
