Herr Präsident! Die wesentlichen Punkte sind eigentlich schon gesagt worden.	Mr President, the main points have actually been covered already.
Ich möchte mich deshalb nur auf einige Fakten und auf eine Situationsbeschreibung beschränken, die eigentlich gar nicht so schön ist.	I should like to restrict myself, therefore, merely to a few facts and to a description of the situation, which is none too rosy.
In der Sache sind wir uns alle einig: Wir müssen etwas dafür tun, damit unser Klima sich verbessert, damit unsere CO2 -Emissionen sich reduzieren.	We all agree on the facts. We must do something to improve the climate and see that our CO2 emissions are reduced.
Wir sind uns uneinig in den Zielen.	We disagree on the objectives.
Um wieviel Prozent wollen wir eigentlich versuchen zu reduzieren?	What percentage reduction do we actually want to try to achieve?
Wie schnell soll es gehen?	How fast should it progress?
Es besteht eine vollkommene Verwirrung in den Methoden, mit denen wir diese Ziele, die noch nicht einmal richtig definiert sind, erreichen wollen.	There is complete disarray about the methods for achieving our goals, themselves as yet not even properly defined.
Ich muß sagen, Frau Bloch von Blottnitz, was erwarten wir denn eigentlich von der Kommission?	I must ask, Mrs Bloch von Blottnitz, what do we actually expect of the Commission?
Die Europäische Union ist angesichts dieses globalen Problems zu klein, um allein an Lösungen zu arbeiten.	The European Union is too small, faced by this global problem, to work out solutions on its own.
Wir brauchen wenigstens die Vereinigten Staaten mit in diesem Boot.	We at least need to have the USA on board.
Wir müssen als Industriestaaten hier Geschlossenheit zeigen und mit Beispielen vorangehen.	We need to show all industrial nations our determination and to lead by example.
Wir haben die Pflicht, Beispiele zu geben, wir haben die Pflicht, den Staaten, die sich noch in der industriellen Entwicklung befinden, zu zeigen, daß es noch andere Wege gibt als die, die wie beschritten haben.	It is our duty to provide an example. It is our duty to show states which are still undergoing industrial development that there are other ways than the ones we have taken.
Diese Staaten müssen nicht alle unsere Fehler wiederholen.	These states do not all have to repeat our mistakes.
Wir brauchen freiwillige Vereinbarungen, auf die meine Fraktion und ich setzen, die dann aber auch eingehalten werden.	We need voluntary agreements - my group and I would support that - which would then have to be kept.
Nach optimistischen Schätzungen werden im Jahre 2050 acht Milliarden Menschen auf dieser Welt leben.	According to optimistic assessments eight thousand million people will inhabit this planet in 2050.
Andere Schätzungen sagen uns eine noch größere Zahl voraus.	Other calculations forecast even higher figures.
Wenn diese acht Milliarden sich so benehmen wie die fünf von heute, dann ist unserer Planet wirklich fast am Ende.	If those eight behave then as five do today, our planet is really close to its end.
Jetzt müssen wir handeln!	We have got to act now!
