Herr Präsident, die Frage wurde nur noch einmal wiederholt.	Mr President, the question has just been repeated again.
Ich habe es ja schon gesagt: Wenn Sie in der Spalte ganz links nachsehen, da steht Länderkennzahl heute, und dann kommt in der Tat 350.	I have already said: If you look at the column on the far left, there is country code today, and then indeed comes 350.
In der Spalte rechts, wo die Vorschläge stehen, heißt es ganz deutlich: Regionalkennzahl.	In the column on the right, where the proposals are, it says quite clearly: regional code.
Aus diesem Grunde haben wir davon abgesehen, das zu ändern, denn das wäre dann eine politische Erklärung gewesen.	For this reason, we refrained from changing it, because that would have been a political declaration.
Ich möchte Sie doch bitten, das, was ich gesagt habe, zu berücksichtigen.	But I would like to ask you to take account of what I have said.
Das ist dasselbe, was im Brief steht.	It is the same as what is in the letter.
Gut, der Brief betrifft Sie nicht, aber es ist ja vielleicht interessant für Sie, daß wir auch in einem Brief an die spanische Regierung eindeutig gesagt haben, daß das keine politische Stellungnahme ist.	Fine, the letter does not concern you, but it may interest you that we also said clearly in this letter to the Spanish government that this is not a political statement.
Das bedeutet nicht, daß wir Gibraltar als ein eigenständiges Land anerkennen.	It does not mean that we recognize Gibraltar as an independent country.
Die Tatsache, daß die Nummer Gibraltar zugeteilt wurde, geht nicht auf uns zurück, sondern das ist eine Entscheidung der ITU.	The fact that the number was assigned to Gibraltar has nothing to do with us, but is a decision of the ITU.
Ich habe in der Debatte schon gesagt, wir verbinden damit keine politische Motivation, und ich sage es jetzt noch einmal als Antwort auf Ihre Frage: Wir nehmen dadurch nicht Stellung zu dem einen oder anderen Anspruch eines der beiden Länder, die sich in dieser Frage nicht einigen können.	I have already said in the debate that we do not associate any political motivation with it, and I say once again as the answer to your question: We do not take any position in this way to one or the other claim of one of the two countries which cannot agree about this question.
Ich meine, das muß doch ausreichen!	I think that must be enough!
