Herr Präsident! Auf die erste Teilfrage kann ich eigentlich auch nur mit Hoffnungen antworten.	Mr President, I can really only answer the first part of the question with hope.
Ich weiß auch nicht hundertprozentig, wie das bei uns ablaufen wird, aber ich denke, daß sich die Zuständigen darüber genauso Gedanken gemacht haben wie wir.	I do not know 100 % how things will turn out, but I think that the responsible people have thought about it just as we have.
Vielleicht ist es bei uns etwas einfacher, und das ist, wenn man so will, ein Vorteil eines Versäumnisses.	Perhaps it is easier for us, and that is, if you like, an advantage of neglect.
Alles hat zwei Seiten.	Everything has two sides.
Wir haben in der Vergangenheit versäumt - wir versuchen, das jetzt zu ändern -, die Möglichkeiten elektronischer Datenverarbeitung hundertprozentig zu nutzen, und insofern sitzen wir jetzt nicht in dieser Klemme, weil wir sicherlich über Datenmaterial verfügen, das man auch auf andere Weise über das Jahr 2000 hinwegbringen kann.	In the past, we neglected to make 100 % use of the possibilities of electronic data processing - we are now trying to change that - and to that extent we are not now in this fix, because we certainly have available data material which can be brought past the year 2000 in other ways.
Das ist nur eine vorläufige Antwort.	That is only a provisional answer.
Wenn der Herr Abgeordnete daran interessiert ist, werden wir ihm gerne sagen, was wir in der Kommission selber gemacht haben, um dieses Problem zu lösen.	If the MEP is interested, we will willingly tell him what we ourselves in the Commission have done to solve this problem.
Was die anderen angeht, so hat man sie darauf aufmerksam gemacht; wir haben übrigens auch gewisse Forschungsprogramme aufgelegt, um dabei zu helfen, Lösungen zu finden.	As far as others are concerned, they have been made aware of it. We have also set up certain research programmes to help to find solutions.
Die Lösungen sind inzwischen da.	The solutions are there now.
Es gibt zwei Probleme dabei.	There are two problems.
Einmal sind sie teuer.	For one thing, they are expensive.
Die Software-Hersteller lassen sich teuer bezahlen, was sie da anbieten, und zum anderen ist in manchen Fällen die Heranziehung von Experten auch bei der Anwendung von Software notwendig, und die Experten sind nicht sehr zahlreich, so daß es Engpässe gibt, und ich kann nicht ausschließen, daß einige Firmen trotz unserer Bemühungen und ihrer eigenen Bemühungen mit dem Problem nicht fertig werden.	The software producers expect to be well paid for what they are offering. For another thing, even if software is used, in some cases experts still have to be involved, and there are not many experts, so that there are bottlenecks, and I must say that it is possible that some companies will not sort out the problem, despite our efforts and their efforts.
Dann gibt es eine dritte Gruppe, auf die Sie sich in Ihrer zweiten Frage beziehen.	Then there is a third group, to which you refer in your second question.
Es gibt in der Tat Firmen, die sagen: Das geht immer noch, auch heute noch. Das geht uns alles nichts an, und das werden wir schon irgendwie hinkriegen, das heißt, es gibt immer noch Firmen, die die Probleme nicht entdeckt haben, und das ist allerdings alarmierend.	Indeed there are companies, even today, which think it will be all right: it does not affect us, we will get round it somehow. And that means that there are still companies which have not discovered the problem, and that is alarming.
