Herr Präsident, Frau Kommissarin, meine sehr verehrten Damen und Herren!	Mr President, Madam Commissioner, ladies and gentlemen.
Der vorliegende Bericht von Herrn Izquierdo Collado ist ein ungemein umfangreiches Papier, das den vorgesehenen Rahmen einer kritischen Analyse der Ergebnisse der Strukturfonds über drei Jahre hinsichtlich des wirtschaftlichen und sozialen Zusammenhalts und daraus resultierender Schlußfolgerungen bei weitem überschreitet.	The report which has been presented by Mr Izquierdo Collado is very comprehensive indeed and goes far beyond the remit for a critical analysis of the achievements of the structural fund over a period of three years, in respect of economic and social cohesion, and the resulting conclusions.
Wir wissen uns in vielen Punkten einig mit dem Berichterstatter, wenn es um Forderungen nach einer stärkeren Konzentration der Mittel, einer besseren Koordinierung der Gemeinschaftspolitiken, der Verbesserung der Wettbewerbsfähigkeit der Wirtschaft, der nachhaltigen Entwicklung und der Schaffung wettbewerbsfähiger Arbeitsplätze geht, denn dieses sind in der Tat Prioritäten der Strukturpolitik der Union.	We are in full agreement with the rapporteur on a number of points, namely the call for a greater concentration of resources, better coordination of community policies, improved economic competitiveness, sustained development and the creation of competitive jobs, since these are in fact priorities in the Union's structural policy.
Doch gehören Detailregelungen im Bereich Landwirtschaft, im Bereich Finanzierung der Union im gesamten nächsten Planungszeitraum und die in diesen Zeitraum fallende Erweiterung nicht unmittelbar in den Entschließungsantrag des Izquierdo-Berichts.	However, detail regulations pertaining to agriculture, Union financing for the whole of the next planning period, and the enlargement process due to take place during this period, do not belong directly to the motion for a resolution contained in Mr Izquierdo Collado's report.
Da diese nun einmal drinstehen, zum Teil trotz erheblicher Gegenstimmen im Ausschuß, gilt es nun, sich im Plenum damit auseinanderzusetzen, wobei die Streichung dieser Artikel immer noch die beste Lösung wäre.	Now that these items are included, in spite of considerable opposition to some of them in the Committee, we are now obliged to examine them in this House, whereas the best solution would still be to delete them altogether.
Der Berichterstatter verwickelt sich dadurch in Widersprüche.	Here the rapporteur is becoming entangled in his own contradictions.
Auf der einen Seite wird richtigerweise gesagt, daß es notwendig ist, die begrenzten Instrumente und Mittel mit Bedacht, gezielt und vor allem dort einzusetzen, wo die zu verringernden Unterschiede im wirtschaftlichen Entwicklungsstand dies erfordern.	On one hand it is said quite correctly that the limited instruments and resources should be deployed deliberately and purposively to reduce inequalities in economic development in those areas which require them most.
Gleichzeitig wird mit Beharren auf Besitzständen, Kohäsionsfonds oder der Infragestellung der Eigenmittelobergrenze und eventueller prophylaktischer Korrekturen nach oben ein Grundsatz der Kohäsion zu wenig beachtet. Dieser heißt, die Entwicklung rückständiger Regionen zu fördern, damit diese möglichst rasch eine derartige Unterstützung nicht mehr benötigen.	At the same time we are focusing too much on ownership, the cohesion funds, the questioning of the upper limit for own resources and precautionary adjustments upwards, and paying too little attention to one of the fundamental principles of cohesion - namely the promotion of less-developed regions to the point where support of this kind is no longer needed.
Aus der Konzeption der europäischen Strukturpolitik wird also deutlich, daß es sich bei den zur Verfügung stehenden Hilfen immer um temporäre Unterstützung handelt, mit der mittel- oder langfristig Unabhängigkeit von solchen Zuwendungen erreicht werden soll.	From the conception of the European structural policy it therefore becomes clear that the available aid is always to be of a temporary nature and is intended to make the recipient region independent of financial support of this kind in the medium and long term.
Übergangsinstrumentarien sind dabei eine gute Brücke zum Verlassen der Förderkulisse.	Here, transitional instruments can serve as an effective bridge for those who are emerging from the benefit stage.
Wirtschaftlicher und sozialer Zusammenhalt darf keine Einbahnstraße sein!	Economic and social cohesion should not be a one way street.
Geben und Empfangen kann nicht einseitig überstrapaziert werden, sonst kehrt sich Solidarität leicht ins Gegenteil um.	Giving and receiving cannot become too much of a one-sided arrangement, otherwise solidarity can all too easily become just the reverse.
Oder anders gesagt: Finanzielle Vereinbarungen werden richtigerweise immer nur für einen bestimmten Planungszeitraum geschaffen.	Put another way, financial agreements are always set-up for a specific period of time, and correctly so.
Danach werden die Karten entsprechend der neuen wirtschaftlichen Situation in den Ländern der Europäischen Union neu gemischt, sowohl für die Geber als auch für die Empfänger.	At the end of this period the cards can be reshuffled to correspond with the new economic situation in the countries of the Union, this applying to both givers and receivers alike.
Zu Recht fordert der Berichterstatter Kriterien für die Förderziele, aber es müssen objektive, klar abrechenbare Kriterien sein, wie zum Beispiel richtigerweise bei Ziel-1-Gebieten 75 % des Bruttoinlandsprodukts im Rahmen von NUTS II. Der Bericht ist zwar strittig, obwohl im Vorfeld dieser und jener Kompromiß gefunden wurde.	The rapporteur quite justifiably calls for criteria for the promotion targets, but these criteria must be objective and easy-to-calculate, such as objective 1 regions receiving 75 % of GDP under the NUTS II scheme. Though the report may be controversial, various compromises have been reached in the preliminary debate.
Es wird von der Annahme wichtiger Änderungsanträge abhängen, ob er die Mehrheit des Hauses finden wird.	Its acceptance by the majority of the House will depend on the adoption of important amendments.
