Herr Präsident! Vielen Dank, Herr Santer!	Mr President, Mr President of the Commission, thank you!
Das, was Sie heute gesagt haben, stimmt in vielem mit dem überein, was wir geäußert haben, und heute noch über Unterschiede zwischen Ihnen und uns oder zwischen Ihnen und dem Ausschuß zu diskutieren, halte ich für überflüssig.	What you have said today agrees to a large extent with what we have said, and I think it is unnecessary today to discuss differences between you and us or between you and the committee.
Ich mache nur eine kurze Anmerkung zu dem, was Sie gesagt haben: Daß Herr Cunningham als Landwirtschaftsminister Großbritanniens und Herr Boden als Ratspräsident vor dem Ausschuß erschienen sind, ist nichts, was ich als hervorhebenswert bezeichnen möchte, so angenehm es war.	I will only make one short remark about what you said: the fact that Mr Cunningham, as British Minister for Agriculture, and Mr Boden, as President of the Council, appeared before the committee is not something I would call remarkable, however pleasant it was.
Es ist eine Selbstverständlichkeit, entschuldigen Sie bitte, Herr Santer, daß die Herren Minister vor einem parlamentarischen Gremium erscheinen.	It should be taken for granted - excuse me, Mr President of the Commission - that ministers appear before a parliamentary body.
An dieser Stelle möchte ich dann auch sofort übergehen und mich an den Rat wenden, denn mit der Kommission habe ich oft genug in den letzten Monaten verhandeln dürfen, und ich mache deutlich, daß ich nicht mehr als Vorsitzende des Ausschusses spreche, sondern für meine Fraktion, für die Sozialdemokraten in Europa.	At this point, I would like to pass on immediately, and turn to the Council, because I have been able to negotiate with the Commission often enough in the last few months, and I make it clear that I am no longer speaking as chairperson of the committee, but on behalf of my group, the Party of European Socialists.
Herr Boden, ich habe Ihnen gut zugehört, und ich bin davon überzeugt, daß Sie das meinen, was Sie sagen.	Mr Boden, I listened to you carefully, and I am convinced that you mean what you say.
Das Problem ist nur, daß Sie ein Landwirtschaftsminister unter 15 sind, und ich bin nicht sicher, ob Sie mit Ihrem guten Willen die Mehrheit in dem Kollegium finden.	The only problem is that you are one minister for agriculture out of 15, and I am not sure that with all your goodwill you will find a majority in the Council.
Ich habe Ihnen zugehört, als Sie sagten, der Rat habe bisher keine Zeit gehabt, über viele Fragen, die zum Beispiel auch in unseren mündlichen Anfragen behandelt werden, zu beraten.	I listened to you when you said that until now the Council has had no time to discuss many questions which were dealt with, for instance, in our oral questions.
Es verwundert mich etwas, denn nichts anderes haben wir jetzt im Kontrollausschuß gesagt, als wir auch zuvor im Untersuchungsausschuß gesagt haben, und ich hätte erwartet, daß der Rat auf jeder einzelnen Ratstagung, die Sie oder ein anderer Ratspräsident ansetzt, als allerersten Tagesordnungspunkt behandelt: BSE, Bekämpfung, Konsequenzen und was haben wir falsch gemacht!	This amazed me somewhat, because we have said nothing in the Temporary Committee that we had not said before in the Committee of Inquiry, and I would have expected that the Council, at each of its meetings, whether started by you or another President of the Council, would have as the first item on its agenda: BSE, the fight, consequences and what we have done wrong!
Ich höre von Ihnen nicht - und ich sage das jetzt stellvertretend an Sie, es tut mir leid, Herr Boden -, ich höre von Ihnen nicht: Was haben wir falsch gemacht?	I do not hear you asking - and I am now saying this to you as a representative, I am sorry, Mr Boden - I do not hear you asking: what have we done wrong?
Sie sagen, Verbraucher- und Gesundheitsschutz müssen berücksichtigt werden, schön.	You say that consumer and health protection must be considered, fine.
