Herr Präsident, ich will versuchen, mich kurz zu fassen.	Mr President, I will try to be brief.
Ich will mich auf das einlassen, was der Ratspräsident hier gesagt hat.	I want to concern myself with what the President-in-Office said here.
Das scheint mir doch sehr neben der Wirklichkeit zu liegen.	That seems to me to be very near the truth.
Herr Boden, Sie nehmen überhaupt keine Notiz davon, daß es ein sehr wenig ausgeprägtes Rechtsbewußtsein der Mitgliedstaaten betreffend die gemeinschaftliche Rechtsgrundlage gibt, besonders in diesem BSE-Fall.	Mr Boden, you ignore the fact that the Member States have a very poorly developed awareness of Community law, particularly in the case of BSE.
Hier können Staaten erklären, daß sie die Norm, die zum Beispiel bei Tiermehl anzuwenden ist, nicht anzuwenden gedenken.	States can declare that they do not think about applying the standard which should be applied to animal meal, for instance.
Die Kommission ist auf ein langwieriges Vertragsverletzungsverfahren verwiesen.	The Commission has to fall back on lengthy breach of treaty proceedings.
Hier kommt es darauf an, daß wir vom Parlament die Kommission in die Lage versetzen, schneller zu reagieren, um für die Volksgesundheit hier die entsprechenden Maßnahmen durchzusetzen.	What matters here is that we in Parliament enable the Commission to react faster, to take the appropriate actions for people's health.
Desweiteren ist es notwendig, und dazu haben Sie auch nichts gesagt, daß die Veterinärkontrollen innerhalb der Staaten effektiviert werden.	It is also necessary, and you said nothing about this, for the veterinary controls within states to be made effective.
In Deutschland müssen sie z. B. unabhängig werden.	In Germany, for instance, they must become independent.
Da gibt es nämlich eine Anbindung entweder durch ein Angestelltenverhältnis oder ein Honorarverhältnis von Prüfern, die dann von den Schlachthöfen abhängig sind.	Inspectors have a link there, either an employee relationship or a fee relationship, so that they depend on the slaughterhouses.
Hier kommt es darauf an, daß wir eine unabhängige Veterinärkontrolle beschließen, und auch das muß von dem Parlament und von der Kommission durchgesetzt werden.	What matters here is that we should decide on independent veterinary control, and that must also be put through by Parliament and the Commission.
Ich hätte noch viel Kritik an der Kommission geübt, wenn ich Ihre Rede eben nicht gehört hätte.	I would have criticized the Commission much more if I had not heard your speech.
Sie haben zum Beispiel die Etikettierung erwähnt: Der einzige Punkt, in dem bei Ihnen Einstimmigkeit herrschte, war die Zurückweisung von Parlament und Kommission!	For instance, you mentioned labelling. The only point on which you were unanimous was the rejection of Parliament and the Commission!
In der Sache haben Sie Kompromiß an Kompromiß gereiht und das, was dabei herausgekommen ist, ist auch das, was die Kommission vorgelegt und was das Parlament dann an Verbesserungsvorschlägen gemacht hat!	In this matter you have made compromise after compromise, and what came out of it was what the Commission submitted and Parliament's proposals for improvement!
Das alles ist ein Skandal!	That is a scandal!
Entschuldigen Sie, Herr Präsident, ich hätte gerne noch zehn Minuten gesprochen, um dem Rat endlich mal ordentlich den Marsch zu blasen!	Excuse me, Mr President, I would love to speak for ten more minutes, to give the Council a real rocket at last!
