Herr Präsident! Was haben wir aus dem BSE-Skandal gelernt?	Mr President, what have we learned from the BSE scandal?
Wir haben gelernt, und es war ein bitteres Lernen, daß der verliert, der den Markt über die Gesundheitsvorsorge stellt.	We have learned, and the learning was bitter, that he who puts the market before health precautions loses.
Wir haben gelernt, daß Politik hinter verschlossenen Türen vertuschen, das Nichtzugeben von Fehlern dazu führt, daß die Menschen das Vertrauen verlieren und daß ein großer Schaden entsteht, ein Schaden, von dem wir heute noch gar nicht genau sagen können, wie groß er ist und wie lange wir brauchen werden, um ihn wieder gutzumachen.	We have learned that keeping policies secret behind closed doors or failing to admit mistakes results in people losing trust, and that great damage results, damage of which we can still not say exactly how great it is and how long we shall need to make it good.
Wir haben aber auch gelernt, daß Veränderung einen Gewinn bedeuten kann, daß Transparenz, wie wir sie zum Beispiel jetzt im Bereich der wissenschaftlichen Beratung haben, wie wir sie uns bei der Entstehung und beim Beschluß von Gesetzgebung noch viel stärker wünschen, den Menschen wieder Vertrauen einflößen kann.	But we have also learned that to change can mean to win, that transparency, as we now have it, for instance, in the field of scientific advice, as we want to have much more of it in the initiation of legislation and the decisionmaking process, can instil trust back into people.
Wir haben gelernt, wenn wir dem vorbeugenden Gesundheits- und Verbraucherschutz den Vorrang geben und wenn wir die nachhaltige Landwirtschaft ernsthaft betreiben und nicht nur in Sonntagsreden, daß diese Veränderung uns wieder das Vertrauen der Menschen zurückgewinnen kann.	We have learned that if we give priority to precautionary health and consumer protection, and if we practise sustainable agriculture in earnest and not just in Sunday speeches, this change can regain people's trust for us.
Ich möchte hier insbesondere Frau Kommissarin Bonino danken, und auch natürlich ihren Mitarbeitern.	I would like to thank Commissioner Bonino in particular, and of course her staff.
Frau Bonino, Sie haben gezeigt, was die rechte Frau am rechten Platz an wirklich Richtigem und Wichtigem leisten kann!	Mrs Bonino, you have demonstrated just how much really good and important work the right woman in the right place can achieve!
Wir haben sehr viel gelernt.	We have learned a great deal.
Wir werden sehen, wie es weitergeht.	We shall see how it goes.
Wir werden die halbjährlichen Fortschrittsberichte, die wir in den Ausschüssen diskutieren, sehr genau anschauen, und wir werden auch sehr genau prüfen, Herr Präsident Santer, wie der Vorschlag für ein neues interinstitutionelles Abkommen aussehen wird, das im nächsten Frühjahr vorgelegt wird, über das wir debattieren müssen, und das sehr wichtig ist.	We shall look very carefully at the half-yearly progress reports which we discuss in the committees, and we shall check very carefully, Mr President of the Commission, on how the proposal for a new interinstitutional agreement is shaping. This will be submitted early next year, and we must debate it. It is very important.
Wer meiner Meinung zu wenig gelernt hat, sind die Mitgliedstaaten, und der Herr Ratspräsident hat das bedauerlicherweise heute wieder gezeigt.	In my opinion, it is the Member States which have learned too little, and the President-in-Office has regrettably shown that again today.
Willy Brandt hat vor mehr als 25 Jahren eine Wahl mit dem Motto gewonnen "Mehr Demokratie wagen" .	Over 25 years ago, Willy Brandt won an election with the slogan 'Dare more democracy' .
Auch wir müssen mehr Demokratie in diesem Parlament wagen.	We too must dare more democracy in this Parliament.
