Frau Präsidentin, ich danke Ihnen, daß der Antrag von Herrn Dupuis zurückgewiesen wurde.	Madam President, thank you for rejecting the amendment by Mr Dupuis.
Die Anträge der Fraktion der Radikalen Europäischen Allianz gingen ohnehin in eine völlig andere Richtung als die von Herrn Orlando.	The amendments by the Group of the European Radical Alliance in any case follow a completely different path from Mr Orlando's.
Aber die Frage, warum es so viele sprachliche Korrigenda gibt, möchte ich doch noch einmal aufgreifen, bevor wir abstimmen.	But before we vote I would again like to raise the question of the many linguistic corrections.
Das hat nämlich seinen Grund.	There is a reason for this.
Der Rat hat uns freundlicherweise diese Texte zur Konsultation im Vorgriff auf den Amsterdamer Vertrag zugeleitet, in einer sehr kurzen Frist, was bei den vielen Übersetzungen zeitlich ein großes Problem ist.	The Council was kind enough to send us these texts for consultation in advance of the Amsterdam Treaty, but with a very short deadline, which posed a considerable time problem for the numerous translations.
Wenn der Rat aber dann folgendes tut, geht es überhaupt nicht mehr: Er schickt uns einen Text.	But when the Council then did what followed, there was no way of coping. First, it sent us a text.
Wir betreiben unser Konsultationsverfahren sehr sorgfältig, und zwischenzeitlich verändert der Rat seinen eigenen Text, ohne uns zu konsultieren und ohne unsere Stellungnahmen abzuwarten.	We are very thorough in our consultation procedure, but in the meantime the Council amended its own text without consulting us or waiting for our views.
Das ist ein unmögliches Verfahren.	That is an impossible procedure.
So kann man nicht mit dem Parlament umgehen!	Parliament really cannot be treated like that.
Ich bitte deshalb die Präsidentin, dem Rat den tosenden Beifall des Hauses zu übermitteln.	I must ask therefore ask the President to report to the thunderous applause of this House to the Council.
Vielen Dank!	Thank you very much.
(Beifall)	(Applause)
