Herr Präsident, im Dezember 1997 werden die Weichen für die Zukunft Europas gestellt.	Mr President, in December 1997 the future of Europe will begin.
Letztlich ist dies nur eine Chance, auch in Zukunft in Frieden, Wohlstand und Sicherheit leben zu dürfen.	Ultimately this is only an opportunity to be allowed to live in the future in peace, prosperity and security.
Wir sehen, daß die Ostöffnung die Wirtschaft beflügelt hat, daß die gegenseitigen Beziehungen sich sehr intensiviert haben, daß der Handel profitiert, daß beide Seiten profitieren von der Öffnung.	We see that opening up of the east has accelerated the economy, that mutual relationships have become very much closer, that trade will profit, that both sides are profiting from this opening up.
Meine erste Sorge - und ich komme aus einem Schmiedebetrieb in Österreich - bei der Ostöffnung war, was kommt da auf uns zu?	My first concern - and I come from a blacksmith's forge in Austria - about the opening up of the east was, what does the future hold for us?
Ich bin hinübergefahren in diese Länder und habe mir angesehen, welche Chancen es dort gibt.	I went over to these countries and saw for myself the opportunities which exist there.
Wenn man sieht, was dort noch an Bedarf herrscht, an Produkten, an Dienstleistungen, was die für uns alles liefern können, dann ist das eine Chance mal zwei.	If one sees the demand which prevails there for products, for services, what all these things can do for us, then that is twice the opportunity.
Ich glaube, wir müssen die Chancen in den Mittelpunkt stellen, die diese Osterweiterung für uns bringt, obwohl wir auch die Risiken nicht vergessen dürfen.	I believe we must place these opportunities which this eastward enlargement gives us at the centre of our policy, although we must also not forget the risks.
Aber es ist vor allem die Chance, weil natürlich Markthemmnisse wegfallen und die Globalisierung positiv wirkt.	But it is above all an opportunity because of course market restrictions disappear and globalization has a positive effect.
Wir können nicht am Sonntag über Arbeitsplätze sprechen und am Montag gegen die Osterweiterung sein.	We cannot on Sunday talk about jobs and on Monday be against eastward enlargement.
Ich glaube, die Osterweiterung schafft Arbeitsplätze auf beiden Seiten.	I believe that eastward enlargement will create jobs on both sides.
Das ist eine Chance, die wir wahrnehmen müssen!	This is a chance we must take!
Insbesondere auch Sicherheitsanliegen wie Schengen, Atomsicherheit, sind für uns ganz zentrale Themen, und ich glaube, in Zukunft werden wir auch in diesem Bereich noch viel zu tun haben.	In particular, security considerations such as Schengen, nuclear safety, are also absolutely central issues for us and I believe that in future we shall also in this sphere still have a great deal to do.
Als Vizepräsident der Slowakeidelegation ist es mir ein Anliegen zu sagen, daß sehr wohl enorme Fortschritte erzielt wurden, und insbesondere sollten wir sehen, daß die Opposition intensiver beteiligt wurde, daß aber auch auf der anderen Seite der Fall Gaulider noch nicht gelöst ist, der aber spätestens nächstes Jahr mit den Wahlen gelöst sein wird.	As vice-chairman of the Delegation for Slovakia, it is my concern to say that very probably enormous progress has been made and in particular we should see that the opposition became more deeply involved, but that also on the other hand the Gaulieder case is not yet solved, but will be solved next year at the latest with the Elections.
Deshalb ist hier nicht die Formel minus 1 sondern plus 1 zu wählen.	Therefore we should not here choose the formula minus one but plus one.
Das ist ein ganz wichtiger Aspekt.	That is a very important aspect.
Ich möchte sagen: Die Tür steht offen, aber wir drängen nicht!	I would like to say: the door is open, but we are not forcing our way in!
