Herr Präsident, die Sehnsucht nach Demokratie brachte die Berliner Mauer zu Fall.	Mr President, it was yearning for democracy that brought down the Berlin Wall.
Die Väter und Lehre dieser Demokratiebewegungen kamen aus Prag und Gdansk.	The impetus for this democracy movement came from Prague and Gdansk.
Jetzt existiert die einmalige Chance für ein Gesamteuropa des Friedens, der Demokratie und der Freiheit.	Now we have a unique opportunity to create an entire Europe of peace, of democracy and freedom.
Der Kommissionsentwurf ist aber nicht gerade eine Einladung, sondern eher eine Hürde für die, die Jahrzehnte vorher unter persönlicher Entbehrung den Gedanken eines demokratischen Europas im Osten trugen.	The Commission's plan is however not exactly an invitation, but rather an obstacle for those who in previous decades, at the cost of great personal privation, supported the idea of a democratic Europe in the east.
Der Grundsatzbeschluß von Kopenhagen zur Aufnahme der mittel- und osteuropäischen Staaten war die logische politische Konsequenz aus der historischen Situation.	The basic decision of Copenhagen to accept the central and eastern European states was the logical political consequence stemming from the historical situation.
Die Agenda 2000 bleibt weit hinter dem zurück.	Agenda 2000 lags far behind that.
Eine überzeugende Erweiterungsstrategie ist darin nicht zu finden.	It contains no convincing strategy for enlargement.
Auf der einen Seite lassen sich hochrangige Politiker aus den Mitgliedstaaten in östlichen Hauptstädten für Aussagen über zeitliche Perspektiven feiern.	On the one hand high ranking politicians from the Member States bask in praise in eastern capitals for their statements about future prospects.
Auf der anderen Seite konnten sie sich in Amsterdam nicht auf eine Reform einigen, die die EU demokratisch und erweiterungsfähig gestaltet.	On the other hand they could not agree in Amsterdam on reforms which would make the EU democratic and capable of enlargement.
Zentrale institutionelle Fragen wurden aufgeschoben.	Germane institutional questions were deferred.
Als Konsequenz stehen wir im Europäischen Erweiterungsprozeß jetzt vor dem Desaster, daß die Vorarbeiten zur Aufnahme neuer Beitrittskandidaten begonnen haben, es aber für die Herstellung der Erweiterungsfähigkeit weder eine inhaltliche Strategie noch einen Zeitplan gibt.	As a consequence the European enlargement process now faces disaster, since the preparatory work for the acceptance of new applicants has begun but there is as yet neither a substantial strategy nor a timetable.
Nun versucht man, sich mit Reförmchen über die Zeit zu mogeln.	Now we are trying, by means of petty reforms, to cheat on the timetable.
Deswegen korrespondiert der Vorschlag der Kommission zur Aufnahme von Verhandlungen nur mit 5+1 mit der Bereitschaft im Rat, von den 20 Kommissaren künftig je einen pro EU-Mitgliedstaat vorzusehen.	Therefore the Commission's proposal to begin negotiations only with five plus one corresponds to the readiness in the Council to provide in future the 20 Commissioners equivalent to one per EU Member State.
In der Agenda 2000 gibt es für eine mögliche zweite Beitrittswelle keine konkreten Vorschläge oder Lösungsansätze.	In Agenda 2000 there are no concrete proposals or ideas to solve the problems associated with a possible second wave of applicants.
So entsteht der Eindruck, daß mit der Erweiterung 5+1 die Tür zur EU nur einen Spalt geöffnet wird, bevor sie für lange Zeit wieder zufällt.	The impression is thus created that the five plus one enlargement merely opens the door to the EU a crack and it will then close again for a long time.
