Frau Präsidentin, im Grunde wurde in der Debatte schon alles gesagt.	Madam President, basically everything has been said in the debate.
Wir alle wollen, daß elf osteuropäische Staaten und Zypern am Ende eines Prozesses Mitglied der Europäischen Union sind, und wir wissen, daß nicht alle zum gleichen Zeitpunkt beitreten werden.	We all wish that at the end of a process eleven eastern European states and Cyprus will be members of the European Union, and we know that not all will enter at the same point in time.
Wir haben einen Kompromiß gefunden zwischen Regattamodell und 5+1. Also, ich will das einmal so zusammenfassen: Wenn Unklarheit ein Merkmal für gute Politik ist, dann werden wir mit dem, was wir morgen beschließen, einen Preis in guter Politik gewinnen!	We have found a compromise between the regatta model and five plus one. Therefore, I would summarize it as follows: if lack of clarity is a feature of good policy then we shall win a prize for good policy with what we decide tomorrow!
Sie hören die Ironie, ich hoffe, sie kommt auch durch die Übersetzung.	You notice the irony; I hope it also comes across in the translation.
Wenn allerdings das neue Testament zur Richtschnur genommen werden soll, wo es heißt, Eure Rede sei ja ja, nein nein, dann werden wir morgen versagen!	If of course the New Testament is to be taken as a guideline when it says your words should be yes and no, then tomorrow we shall fail!
Nun gut, so ist Politik nun mal.	Well, that is politics.
Was mir in der Debatte gefehlt hat, ist der Hinweis darauf, daß der Europäische Rat einen Prozeß in Gang setzen wird, in dessen Verlauf wir die Antwort auf drei Fragen noch suchen müssen.	What I found lacking in the debate is a reference to the fact that the European Council will set in motion a process in the course of which we must find the answers to three questions.
Suchen müssen, sage ich!	We must find those answers, I tell you!
Die erste Frage lautet: Wie groß kann Europa werden?	The first question is: how big can Europe become?
Die Europäische Union kann sich nicht grenzenlos erweitern.	The European Union cannot be extended to infinity.
Wir tun aber so, als ob sie das könnte, unabhängig davon, ob das im Interesse der Union oder im Interesse anderer Staaten ist.	We are however acting as if it could irrespective of whether or not that is in the interest of the Union or in the interest of other states.
Wir reden davon, beim Beginn der Verhandlungen nicht auszugrenzen, und wir verschweigen, daß im Verlauf des Prozesses, wenn der eine beitritt und der andere nicht, eine sehr viel stärkere Ausgrenzung stattfinden wird.	We talk of not putting up barriers at the start of negotiations, and we do not mention that during the process, when one joins and the other does not, much higher barriers will be erected.
Darüber reden wir nicht!	We do not talk about that!
Die zweite Frage ist: Wie teuer darf Europa werden?	The second question is how expensive may Europe become?
Wir schmeißen hier mit Milliarden und mit Prozentsätzen rum!	We are here throwing around billions and percentages!
Wir wissen auch, daß wir nicht kleinkariert rechnen dürfen, daß wir nicht nur ausrechnen dürfen, was der Beitritt kostet, sondern daß wir auch ausrechnen müssen, was der Nichtbeitritt kostet.	We also know that we must not calculate small-mindedly, that we must not only add up what entry costs but we must also add up what non-entry costs.
Das ist alles wahr.	All that is true.
Aber wir müssen auch klarer als bisher wissen, daß es Grenzen der Belastbarkeit gibt der Mitgliedstaaten und der Bevölkerung in den Mitgliedstaaten.	But we must also know more clearly than hitherto that there are limits to the loads which can be borne by the Member States and by the population of the Member States.
Ich sage uns allen vorher: Wenn es darum gehen wird, Verzicht zu leisten im Bereich der Agrarpolitik, wenn es darum gehen wird, im Bereich der Strukturfonds zu verzichten, dann werden alle Mitgliedstaaten und auch die Kolleginnen und Kollegen aus den entsprechenden Mitgliedstaaten hier eine ganz andere Sprache sprechen, als sie heute in vielen Debattenbeiträgen zum Ausdruck gekommen ist!	I say to everyone in advance: if it is a question of making sacrifices in the sphere of agricultural policy, if it is a question of making sacrifices in the sphere of the structural funds then all the Member States and all our colleagues from the corresponding Member States here will speak a completely different language than that being used in many contributions to today's debate!
Die dritte prinzipielle Frage ist: Wie stark wird Europa?	The third question of principle is: how strong is Europe becoming?
Oder, wie stark muß Europa werden, um die Erweiterung zu verkraften?	Or, how strong must Europe become in order to cope with enlargement?
Da sage ich Ihnen, das, was da im Vertrag von Amsterdam beschrieben ist, ist sowieso zu wenig, das wissen wir alle.	On this point, I tell you, what is described in the Treaty of Amsterdam is in any case too little, as we all know.
Mit den Konsequenzen dessen, was wir in unseren Entschließungen zur Vertragsreform beschließen, sind wir auch längst noch nicht so weit, wie wir eigentlich sein müßten, wenn wir über eine stärkere Union reden.	With the consequences of what we decide in our resolutions on the reform of the treaty, we are nowhere near as advanced as we really ought to be if we are talking about a stronger Union.
Wo waren denn die Mitgliedstaaten in der Vergangenheit?	Where were the Member States in the past?
Wo waren die Kolleginnen und Kollegen, die jetzt davon reden, die Union müsse stärker und vertieft werden?	Where were our colleagues who now talk about the Union having to become stronger and deeper?
Wo waren die denn in der Vergangenheit, als es darum ging, dafür zu sorgen, konkret Fortschritte zu machen, in Maastricht zum Beispiel?	Where were they in the past, when it was a question of making sure that concrete progress was made, in Maastricht for example?
Ich habe sie da nicht erlebt und nicht gesehen!	I did not see them there!
Die Staaten im Osten Europas haben es im Grunde einfacher als wir.	The states in eastern Europe basically have an easier task than ours.
Die gehen von einer aus ihrer Sicht sehr schlechten Situation aus und wollen sich zur Europäischen Union hinentwickeln.	They start from a position which from their point of view is very bad and they want to develop into members of the European Union.
Alles, was sie tun, ist im Grunde ein Fortschritt dorthin.	Everything they do is basically a step in that direction.
Unsere Situation ist viel schwerer.	Our situation is much more difficult.
Wir müssen dafür sorgen, daß sie uns beitreten können, und zugleich dafür sorgen, daß das, was wir in den vergangenen 40 Jahren geschaffen haben, erhalten bleibt.	We must ensure that they can join us and at the same time ensure that what we have achieved in the past 40 years is preserved.
Beides zusammenzufassen, ist ein sehr viel schwieriger Prozeß, als sich nur auf den Beitritt zu konzentrieren.	To combine both things is a much more difficult process than just concentrating on entry.
Ein letzter Punkt, den ich einmal sehr allgemein fassen will: Die Politikergeneration der 50er Jahre hatte den Mut und die Weitsicht, den tausend Jahre alten Gegensatz zwischen Frankreich und Deutschland in einer Europäischen Gemeinschaft aufzuheben.	A final point which I shall phrase in very general terms: the generation of politicians of the 1950's had the courage and the foresight to remove the thousand-year-old antagonism between France and Germany in a European Community.
