Herr Juncker, Sie haben recht.	Mr Juncker, you are right.
Die wichtigste Entscheidung des Gipfels war es, keine Verschiebung des Euro zu beschließen.	The most important decision of the summit was to decide on no postponement of the euro.
Das hat aber Konsequenzen.	But that has consequences.
Auch Intelligenz, Umsicht und rastloses Engagement müssen sich an den Anforderungen messen lassen, die mit der Einführung des Euro gesetzt sind.	Even intelligence, prudence and tireless commitment must be measured against the requirements which are set by the introduction of the euro.
Wir brauchen als Gegengewicht, als Gegenpartie, eine wirksame, gemeinsam koordinierte Politik gegen die Massenerwerbslosigkeit.	We need as a counterweight an effective, jointly coordinated policy against mass unemployment.
Man kann sagen, in Essen hat es ein Lippenspitzen gegeben.	You might say that in Essen there was a pursing of the lips.
In Luxemburg immerhin ein Probepfeifen.	In Luxembourg there was a trial whistle.
Ein erster Probelauf wird vielleicht nützlich sein, aber nicht reichen, um das Problem in den Griff zu kriegen.	A first test run may be useful, but not enough to get a grip on the problem.
Die Ziele haben noch allzu viele Hintertürchen. Das wissen Sie auch.	The aims have too many loopholes, and you know that.
Zweitens: Was die Einbettung der Europäischen Zentralbank und Euro-X angeht, so ist wirklich die weichste mögliche Form gefunden worden: informell, vage Aufgabenbeschreibung, unklare Abgrenzung gegenüber den optouts.	Second: regarding the setting up of the European central bank and Euro-X, really the softest possible form has been found: informal, vague task description, unclear definition of the opt-outs.
Drittens: Was die Steuerharmonisierung angeht, ist es weitgehend bei der Absicht geblieben.	Third: regarding tax harmonization, to a large extent it has remained as intended.
Selbst der Verhaltenskodex ist so mit Ausnahmeerklärungen überzogen, wie ein Schweizer Käse Löcher hat, daß da noch erhebliche Arbeit zu tun bleibt.	Even the code of conduct has as many explanations of exceptions as a Swiss cheese has holes, so considerable work remains to be done there.
Wir sollten uns nichts vormachen.	We should not fool ourselves.
Gramsci hat gesagt, man braucht den Optimismus des Willens, um etwas zu tun.	Gramsci said that optimism of the will is needed to do anything.
Man braucht aber auch den Pessimismus des Intellekts.	But pessimism of the intellect is also needed.
Es bleibt sehr viel, allzu viel zu tun.	Very much remains to be done, too much.
Startlinie und Laufbahn sind immerhin skizziert, und das ist der luxemburgischen Präsidentschaft sicherlich zu danken.	At least the starting line and course are sketched out, and the Luxembourg Presidency must surely be thanked for that.
Wenn wir es in Deutschland auch noch schaffen, einen politischen Kurswechsel durchzusetzen, dann können wir in Europa wahrscheinlich lernen, tatsächlich gemeinsam in eine richtige - produktivere, beschäftigungswirksamere - Richtung zu gehen.	When we in Germany manage to make a political change of course, we in Europe can probably learn to go actually together in a correct - more productive and with more effect on employment - direction.
