Herr Präsident! Ich möchte nur auf den Bericht von Herrn Stevens eingehen.	Mr President, my comments are limited to Mr Stevens' report.
Die Initiative, die dieser Bericht darstellt, halte ich für äußerst wertvoll. Er ist aber nicht unbedingt nur im Zusammenhang mit der Einführung des Euro zu sehen.	I consider the initiative underlying this report to be extremely valuable, but it should not be viewed simply in connection with introducing the euro.
Tatsache ist, daß Europa auf dem Gebiet der Smartcard-Technologie führend ist. Es liegt auf der Hand, diese Situation auszunutzen.	Europe is a leader in the field of smart-card technology, and we must exploit that situation.
Eine verstärkte Nutzung von elektronischem Geld wäre ein weiterer Schritt in die Informationsgesellschaft und im Sinne des Lebensstandards der Bürger positiv zu sehen.	Increased use of electronic money would be a further step in the information society, and would have a positive impact on our citizens' lives.
Angesichts der Funktionsvielfalt der SmartcardTechnologie könnten gleichzeitig Verwaltungsaufgaben im Bereich der öffentlichen Dienstleistungen rationalisiert werden, also mittelfristig wesentliche budgetäre Einsparungen erzielt werden.	The versatility of smart-card technology could also be used to rationalize administration in the public services sector, allowing substantial budget savings to be made in the medium term.
Es wäre tatsächlich äußerst wichtig, wenn diese Initiative des Parlaments die Kooperationsbereitschaft im Rat fördern würde und die verschiedenen nationalen Initiativen auf dem Gebiet der Smartcard-Technologie zumindest kompatibel würden.	It would have extremely important consequences if this Parliament initiative boosted willingness to cooperate within the Council, and if the various national initiatives in the field of smart-card technology at least became compatible.
Die Förderung des elektronischen Geldes ist eine Investition in eine Entwicklung, die dem Zeitgeist entspricht.	Promoting electronic money is an investment in development in tune with the spirit of the times.
Um so erstaunlicher ist, daß dieser Prozeß der technologischen Umwälzung des Zahlungsverkehrs der Bürger bei der wesentlichen gesamten Strategie für die Einführung des Euro bisher kaum eine Rolle spielt.	So it is even more amazing that this technological revolution in the payment systems our citizens use has so far scarcely featured in the overall strategy for introducing the euro.
Die Entwicklung der Informations- und Kommunikationstechnologie wird sich auch rasch auf die Art des Umgangs mit dem Geld auswirken.	Developments in information and communications technology will also soon have an impact on the way we use money.
Die Entwicklung elektronischer Zahlungsmittel berührt ja den Begriff des Geldes schlechthin. Den sich daraus ergebenden Herausforderungen steuerlicher, rechtlicher, wirtschaftlicher, ja politischer Natur müssen wir uns stellen.	Progress in electronic payment systems affects the very idea of money, and we shall have to face up to the consequent fiscal, legal, economic and even political challenges.
In diesem Sinne begrüße ich den Bericht von Herrn Stevens.	I accordingly welcome Mr Stevens' report.
Es wäre aber wertvoll, wenn zumindest ein Teil des Budgets, das für die Eurowerbung ausgegeben wird, dafür eingesetzt würde, die Bürger auf die technologischen Änderungen des Geldwesens vorzubereiten.	However, it would be helpful if at least part of the budget set aside for advertising the euro could be used to prepare our citizens for the imminent technological change in our money system.
