Herr Präsident! Erneut kann ich zu einem Bericht Stellung nehmen, der von Sue Waddington stammt.	Mr President, once again I can comment on a report which originates from Sue Waddington.
Ich unterstütze wiederum ihre präzise Arbeit und ausdrücklich ihre konstruktive Kritik an den Schwachstellen im Dokument der Kommission.	I again applaud her precise work and expressly her constructive criticism of the weak spots in the Commission's document.
Dabei ist der Ansatz, Frau Kommissarin, begrüßenswert, als erster Versuch Fortschritte in der beruflichen Bildung in Union und Mitgliedstaaten zu analysieren.	The approach, Madam Commissioner, is to be welcomed as an initial attempt to analyze progress in vocational training in the Union and Member States.
Daß es Defizite gibt, wenn Systeme und Maßnahmen in Qualität und Quantität zu unterschiedlich sind, ist verständlich.	It is understandable that there are shortcomings wherever systems and measures vary too greatly in quality and quantity.
Nicht akzeptabel jedoch ist, daß eine klare Trennung nach Unternehmensbranchen und nach Zielgruppen fehlt - von aktiv Beschäftigten bis zu den Älteren.	However, it is not acceptable that there is no clear distinction between business sectors and between target groups - from those actively employed to older people.
CEDEFOP und AEROSTAT müssen hier sehr viel stärker eingebunden werden.	In this connection CEDEFOP and EUROSTAT must be incorporated to a much greater extent.
Besonders darzustellen ist die Situation der Frauen.	The situation of women should be particularly emphasized.
Angesichts ihrer Teilzeit - und Saisontätigkeiten sind sie vom Erlernen von neuen Technologien und neuem Wissen oft ausgeschlossen, obwohl sie über das intellektuelle Potential ebenso verfügen wie über hohe Flexibilität.	As a result of their employment often being part-time and seasonal, they are often excluded from learning about new technologies and acquiring new knowledge, although they have just as much intellectual potential as well as a high degree of flexibility.
Im Kommissionsbericht fehlt die Bilanz der gemeinschaftlichen Programme, also europäisches Jahr, lifelong learning , oder die Initiative ADAPT.	In the Commission's report there is no review of the joint programmes, i.e. European Year, LLL lifelong learning , or the ADAPT initiative.
Einige Kolleginnen und Kollegen haben schon darauf hingewiesen.	Various colleagues have already pointed this out.
Die Abstimmung der Bildungsprogramme - wie LEONARDO DA VINCI - auf die Programme in den Strukturfonds steht auch noch aus.	The coordination of the training programmes - such as LEONARDO DA VINCI - with the programmes in the structural funds is also still outstanding.
Weitere wichtige Akteure sind die Sozialpartner.	Further important actors are the social partners.
Sie sind einig in der speziellen Förderung der KMU, einig über neue Schulungsmethoden und die bessere gegenseitige Anerkennung von Abschlüssen, aber nicht einig über die Entscheidungsebenen.	They are in agreement about special support for SMEs, in agreement about new training methods and the better mutual recognition of diplomas, but not in agreement about the decision-making levels.
Ganz oben auf der Tagesordnung muß eine Rahmenvereinbarung stehen, die auf die Anforderungen moderner Arbeitsorganisation ausgerichtet ist.	Right at the top of the agenda must be a framework agreement geared towards the demands of modern work organization.
Berufliche Weiterbildung wird auch im öffentlichen Sektor in Krisenzeiten als am ehesten entbehrlich bewertet, ein folgenschwerer Irrtum.	At times of crisis further vocational training is judged to be the most dispensable area in the public sector as well, a grave error.
Wie kann die Facharbeiterlücke in Unternehmen denn anders geschlossen werden?	For how can the shortage of specialist workers in companies otherwise be remedied?
Wie können Mitarbeiter angesichts immer geringerer Produktzyklen, veränderter Produktionen und höherer Marktanforderungen mithalten, um fit zu sein für das 21. Jahrhundert?	Given increasingly shorter product cycles, changes in production and higher market demands, how can employees keep up to be prepared for the 21st century?
Im globalen Wettbewerb ist konsequente Förderung der wichtigsten, nämlich der Humanressourcen, durch Weiterbildung wesentlich.	In the global competitive environment the consistent promotion of the most important resources - human resources - through further training is essential.
Darüber hinaus ist sie unersetzlich für die geistige und physische Mobilität und die persönliche Entfaltung des Einzelnen!	In addition, it is indispensable for intellectual and physical mobility and the personal development of the individual!
