Herr Präsident, Frau Kommissarin, sehr geehrte Kolleginnen und Kollegen!	Mr President, Madam Commissioner, ladies and gentlemen.
Betriebsverlagerungen sind unternehmerische Instrumente, die innerhalb der sozialen Marktwirtschaft bestimmte Standortbedingungen berücksichtigen; sie sind an sich nichts Tadelnswertes.	Industrial relocations are instruments which business uses to take account of certain local conditions within the social market economy. They are not in themselves reprehensible.
Sie werden aber dann problematisch, wenn die Bedingungen am neuen Standort gegen gesetzliche Bedingungen verstoßen, wie z.B. in Extremfällen bei Kinderarbeit oder Zwangsarbeit, und wenn Frauen in den verlagerten Betrieben beruflich diskriminiert werden oder wenn z.B. Geldwäsche mit im Spiel ist.	However, problems do arise when the conditions which apply at the new location contravene legal requirements, such as in the extreme case of child labour and forced labour, when women are subject to job discrimination in the relocated companies and when, for example, money laundering is involved.
Betriebsverlagerungen können aber teilweise notwendig werden, um Märkte auf anderen Kontinenten verbrauchernäher zu erschließen und auch verbrauchernahe zu produzieren.	But industrial relocations can in some circumstances be necessary in order to open up markets, or produce goods, in new continents which are closer to the point of consumption.
Der Standort Europa insgesamt, und auch der der meisten Mitgliedsländer der Europäischen Union, auch der meines Landes, verbessert sich wieder und wird mit dem Ebro und bestimmten Reformen in der nächsten Zeit noch attraktiver werden.	Europe's overall position, as well as that of most of its Member States - including my own country -, continues to improve and the introduction of the euro and other reforms will soon make the EU an even more attractive proposition.
Mittel- und langfristig sollten sich die Unternehmen in ihrem eigenen Interesse überlegen, ob Betriebsverlagerungen außerhalb Europas geeignete Mittel sind, um von einer gewissen geographischen Entfernung aus den europäischen Markt beliefern zu können.	In the medium and long term, companies should in their own interest consider whether relocation outside Europe is an appropriate way of being able to supply the European market from a certain geographical distance.
Es sprechen viele - auch logistische - Gründe gegen ein solches Verhalten.	There are many reasons, including logistical ones, for resisting such a move.
Einige Unternehmen haben daraus die Konsequenzen gezogen und beginnen jetzt, Teile ihrer Betriebe aus Asien nach Europa zurückzuverlagern.	Some companies have already begun to realize the consequences of this and are now starting to relocate some of their business operations from Asia back to Europe.
Wir sind also für eine differenzierte marktwirtschaftliche Analyse der sehr verschiedenartigen Faktoren, die für Verlagerungen von Produktionsaktivitäten verantwortlich sind, und auch gegen interventionistische Bestimmungen, die für Unternehmen Belastungen darstellen.	We support a discriminating free-market analysis of the wide-ranging factors which are responsible for the relocation of industrial production, and we oppose interventionist regulations which would impose a burden on companies.
So sollten alle Maßnahmen gegen Verlagerungen sorgfältig geprüft werden, um im Ergebnis für die Wirtschaft nachteilige Interventionen zu vermeiden.	All measures which seek to restrict industrial relocations should therefore be carefully looked at to ensure that we avoid interventions whose impact would be disadvantageous for the economy.
Bestimmte Rahmenbedingungen und eine gewisse Selbstbindung der Wirtschaft für Betriebsverlagerungen können aber wünschenswert sein, um nach den Regeln der Europäischen Union gewährte Subventionen der öffentlichen Hand sinnvoll einzusetzen oder aber um Betrügereien zu verhindern.	Specific framework conditions and a certain commitment on the part of the economy for company relocations can, however, be desirable for the rational deployment of public subsidies awarded in accordance with EU rules, or indeed for the prevention of fraud.
