Herr Präsident, meine Fragen beziehen sich auf Birma.	My questions relate to Burma.
Wir haben hier im Hause verschiedene Entschließungen zu Birma vorgelegt, diskutiert und waren uns in der Regel mit Kommission und Rat einig, daß wir alles tun müssen, damit der Demokratisierungsprozeß vorangetrieben wird.	We have presented and discussed various resolutions on Burma and we were usually in agreement with the Commission and the Council that we must do everything to push forward the democratization process.
Dies ist aber nach wie vor nicht geschehen.	This, however, has just not happened.
Meine Frage ist daher, wie die britische Präsidentschaft gedenkt, hier doch Birma gegenüber eine gemeinsame außenpolitische Haltung an den Tag zu legen und diesen Prozeß vielleicht anzukurbeln.	My question is therefore how the British Presidency intends to present a common foreign policy position on Burma and perhaps to get this process in motion.
Insbesondere bezieht die Frage sich darauf, wie die Präsidentschaft gedenkt, mit der Einhaltung der ILO-Konvention umzugehen, was Zwangsarbeit betrifft.	The question relates in particular to how the Presidency intends to deal with adherence to the ILO Convention on slave labour.
Wir wissen, daß in Birma Zwangsarbeit vorherrscht.	We know that slave labour prevails in Burma.
Wie kann erreicht werden, daß diese Richtlinie eingehalten wird?	How can we ensure this directive is successfully implemented?
Dann habe ich eine konkrete Frage zur Ölgesellschaft Premier Oil, die im September 1997 die Absicht bekundet hat, die Anteile der US-Firma Texaco an einem Erdgasvorhaben zu kaufen.	I also have a specific question concerning the oil company Premier Oil, which in September 1997 announced its intention to buy the shares of the US firm Texaco from a natural gas company.
Wird die britische Präsidentschaft das befürworten oder raten Sie ihnen, aufgrund der Entschließungen, die hier bisher verabschiedet wurden, davon Abstand zu nehmen?	Will the British Presidency support that or do you advise them, on the basis of resolutions passed here to desist from doing so?
Der dritte Punkt ist, daß wir gesagt haben, solange die Verhältnisse in Birma so sind, wie sie sind, sind wir aufgrund der Vertragslage zwischen der Europäischen Union und den ASEM-Staaten dagegen, daß Birma hier miteinbezogen wird, weil wir ja immer wieder betonen, daß die Menschenrechte eingehalten werden müssen, und dies auch Bedingung oder Teil der Verträge ist.	The third point is that, as we have said, whilst the circumstances in Burma remain as they are, we will be against Burma being included here, on the basis of the treaty arrangements between the European Union and the ASEAN countries. This is because, as we of course repeatedly emphasize, human rights must be respected and this is also a condition or a part of the treaties.
Wie wird sich die britische Präsidentschaft bei der Fortführung der Beziehungen zwischen EU und ASEM verhalten?	What will be the attitude of the British Presidency in the continuation of relations between the EU and ASEAN?
