Herr Präsident! Die vorliegende Entschließung war längst überfällig.	Mr President, the resolution before us is long overdue.
Sie war lange abgesprochen und ist ein Kompromiß.	It was discussed for a long time and is a compromise..
Viele Vorschläge und Änderungen verschiedener Fraktionen dieses Hauses wurden eingearbeitet, bevor sie eingereicht wurde.	Many suggestions and alterations from various groups in the House were incorporated into it before it was submitted.
Ich nehme also nicht in Anspruch, daß es eine grüne Entschließung ist, sondern ich meine, daß es eine Entschließung dieses Hauses ist.	Therefore I do not claim that it is a green resolution but I believe that it is a resolution of this House.
Die Nachrichten über willkürliche Festnahmen und Freiheitsberaubung, über Repressionen gegenüber der freien Presse - z.B. ist der Filmemacher Saschewatzki in seiner Wohnung überfallen worden, weil er einen kritischen Film im deutschen Fernsehen gezeigt hat - verlangen nach einer Antwort des Europäischen Parlaments.	The news about arbitrary arrests and deprivation of freedom, about repression of the free press - for example the film maker Saschewatzki was attacked in his apartment because he showed a critical film on German television - requires a response from the European Parliament.
Wir sind schon lange den Fragen ausgesetzt, warum schweigt das Europäische Parlament angesichts der Tatsache, daß praktisch ein Krieg gegen die Medien in Belarus herrscht?	We have been exposed for a long time now to the questions; why is the European Parliament silent when faced with the fact that there is practically a war against the media in Belarus?
Sind uns etwa die Schicksale der Menschen egal?	Is it perhaps that we do not care about the fate of people?
Gibt es etwa eine schleichende Akzeptanz der Politik Lukaschenkos?	Is there maybe a creeping acceptance of Lukaschenko's policies?
Ich hoffe, daß wir mit dieser Entschließung eine klare Antwort geben.	I hope that with this resolution we give a clear answer.
Lukaschenko hat nämlich längst erkannt, in welche Isolierung er sein Land und die Menschen getrieben hat, und an internationaler Anerkennung ist er sehr interessiert.	Lukaschenko has long recognizedd the isolation into which he has driven his country and its people, and he is very interested in international recognition.
Aber er ist nicht bereit, Konzessionen in Richtung Demokratisierung zu machen.	But he is not prepared to make concessions in the direction of democratisation.
Deshalb ist jedes Einfordern internationaler Menschenrechte eine Voraussetzung für die Anerkennung.	Therefore any demand for international human rights is a precondition of recognition.
Ich hoffe, daß wir das Vertrauen der belarussischen Bevölkerung nicht enttäuschen und daß der Entschließungsantrag die breite Zustimmung dieses Hauses findet.	I hope that we do not betray the trust of the Belarus people and that the resolution receives the broad agreement of this House.
