Herr Präsident, meine Damen und Herren! Erst einmal herzlichen Glückwunsch an Frau Graenitz.	Mr President, ladies and gentlemen, first of all congratulations to Mrs Graenitz.
Sie hat ein sehr umfangreiches Gebiet sehr gut bearbeitet, denn es ist klar, die Lebensmittelgesetzgebung der Europäischen Union hat mit der Verwirklichung des Binnenmarktes und der Verfolgung einer aktiven Verbraucherschutzpolitik erheblich an Bedeutung gewonnen.	She has handled an extremely wide-reaching area very well, because it is clear that food law in the European Union has gained considerably in importance with the realization of the Single Market and the pursuit of an active consumer policy.
Angesichts der Vielzahl von Regelungen und geänderter Bedingungen, zum Beispiel auch durch BSE, wie auch geänderter Erwartungen kommen wir nicht umhin, über eine Vereinfachung und Rationalisierung des Lebensmittelrechts nachzudenken, eine Überprüfung der bestehenden Vorschriften vorzunehmen.	In view of the large number of regulations and amended provisions, as in relation to BSE, to say nothing of changed expectations, we cannot avoid thinking about simplifying and rationalizing food law, of reviewing the existing provisions.
Einige Grundziele, so denke ich, müssen Ausgangspunkt der Diskussion sein.	Certain basic aims, I think, need to be taken as the starting point of the discussion.
Die Sicherheit und die gesundheitliche Unbedenklichkeit aller Lebensmittel müssen gewährleistet sein.	All foods must be guaranteed to be both safe and harmless.
Die Verbraucher müssen auf diese Sicherheit und Unbedenklichkeit vertrauen können, und das bei Wahrung der Vielfalt und Qualität der Lebensmittel in den europäischen Regionen.	The consumers must be able to rely on foods being safe and harmless, and do so in the full knowledge that the diversity and quality of foods in the European regions has been preserved.
Dazu gehört eine gesunde und wettbewerbsfähige Landwirtschaft und Ernährungsindustrie.	This involves both a healthy and competitive agriculture and food industry.
Zu den Stichworten Vereinfachung und Rationalisierung einige Anmerkungen.	A few points about the key words 'simplification' and 'rationalization'.
Es sollte das selbstverständliche Ziel europäischer Politik sein, und darum kämpfen wir schon länger, das europäische Recht klarer und übersichtlicher zu machen.	It should be the obvious aim of European policy -and we have been fighting for this for some time now - to make European law clearer and easier to understand.
Widersprüche müssen abgebaut, und besonders die Verständlichkeit des Rechtstextes muß vor allem im Interesse der Verbraucher verbessert werden.	Inconsistencies need to be eliminated, and above all the comprehensibility of the legal text needs to be improved in the interest of consumers.
Es geht hier auch um mehr Transparenz für den Bürger.	It is also a question of greater transparency for the citizen.
Das ist nicht neu, aber im Bereich des Lebensmittelrechts geht es darum, beim Bürger Vertrauen zu schaffen.	This is not anything new, but in the area of food law the creation of confidence is vital for people.
Er muß schon verstehen, was er liest.	They need to understand what they read.
Dazu ist eine Lebensmittelrahmenrichtlinie notwendig, die eine einheitliche Definition zentraler Begriffe sowie die Regelung allgemeiner Grundsätze des Lebensmittelrechts in einem Rahmentext einschließt.	Hence a framework food directive is necessary here, which includes both a unified definition of central concepts and the regulation of the general principles governing food law in one outline text.
Lassen Sie mich noch ein zweites Beispiel nennen. Die Richtlinie über die Etikettierung von Lebensmitteln besteht seit 1979 und ist seitdem sechsmal geändert worden.	Let me quote a second example: the directive on the labelling of food has been in existence since 1979 and has been amended six times since then.
Außerdem gibt es eine Vielzahl spezieller Vorschriften, die im Hinblick auf die Etikettierung auf einzelne Lebensmittel Bezug nehmen, etwa Wein, Frischobst oder Schokolade.	In addition, there is a wealth of special provisions that make reference to the labelling of individual foods, such as wine, fresh fruit and chocolate.
Der Wein ist heute schon angesprochen worden, und ich muß Ihnen ganz einfach sagen, Herr Kommissar, wir streben hier eine andere Position an als Frau Flemming, die nun allerdings nicht mehr da ist.	The subject of wine has already been addressed today, and I must say to you quite simply, Commissioner, that we are striving for another position to Mrs Flemming's, who is no longer here incidentally.
Ich finde es nicht richtig, daß ein Abgeordneter des Parlaments sein verbrieftes Recht auf Mitentscheidung in dieser Sache nicht in Anspruch nimmt.	I do not find it proper that a Member of Parliament should not claim their vested right to codecision in this matter.
Ich denke, wir werden uns darüber verständigen müssen, daß auch für Wein die Mitentscheidung gilt wie für Schokolade und Obst.	I think we need to agree that codecision applies to wine every bit as much as to chocolate and fruit.
So werden wir vorgehen.	That is the way to make progress.
