Herr Präsident! Die Agentur ist eine Materie, die etwas für Eingeweihte ist.	Mr President, the agency is a matter for the initiated.
Deswegen möchte ich insbesondere Herrn Kellett-Bowman und auch Herrn Tappin zu ihrem Bericht beglückwünschen, denn in der Tat sind die Agenturen vor allem aus haushaltspolitischer Sicht etwas für Spezialisten.	That is why I would like to congratulate Mr Kellett-Bowman and Mr Tappin on their report, for the agencies are indeed something for specialists particularly from a budgetary point of view.
Als Gesamtberichterstatter für den Haushalt 1998 hatte ich auch das Vergnügen, Einblick in die Tätigkeit der Agenturen zu bekommen.	As general rapporteur for the 1998 budget, I had the pleasure of gaining an insight into the activities of the agencies.
Ich möchte darüber noch einmal Bericht erstatten: Wir hatten ein Treffen mit den Agenturdirektoren im März vergangenen Jahres.	I would like to report on this. We had a meeting with the agency director in March of last year.
Wir haben Absprachen getroffen über die Bedürfnisse dieser Agenturen für das Haushaltsverfahren 1997, für das Haushaltsverfahren 1998, und wir diskutierten die hier schon genannten Probleme.	We reached agreements on the needs of these agencies in the 1997 budget and the 1998 budget, and we discussed the problems already mentioned here.
Wir vereinbarten eine Zusammenarbeit und eine größtmögliche Transparenz, um Vertrauen zu schaffen zwischen den Agenturen und dem Teil der Haushaltsbehörde, die das Parlament darstellt.	We agreed on working together and developing the greatest possible transparency in order to create trust between the agencies and the section of the budgetary authority representing Parliament.
Heute muß ich feststellen, daß die meisten sich daran gehalten haben, doch manche nicht.	Today I have to say that the majority have adhered to this, but some have not.
Das Übersetzungszentrum beschloß zum Beispiel eine Aufstockung des Personals von 68 auf 115 Posten, Alicante den Kauf des Gebäudes - Herr Tappin sprach gerade darüber -, und London vergab vor Ende des Haushaltsjahres schnell noch einmal ECU 300 000 aus überschüssigen Einnahmen, um dieses im Prinzip nicht gegenüber der Haushaltsbehörde rechtfertigen zu müssen.	The translation centre, for example, decided to increase its staff from 68 to 115, while Alicante - Mr Tappin has just spoken about this - and London quickly allocated ECU 300 000 from surplus income before the end of the budget year so as not to have to justify this in principle to the budgetary authority.
Das sind an sich Handlungen, die vielleicht ihre Begründung haben, doch zu handeln, ohne die Haushaltsbehörde zu informieren, ist die beste Ausgangsbasis für Mißtrauen.	Those are actions in themselves, which perhaps have their own reasons, but to take action without informing the budgetary authority is the surest way to generate mistrust.
Ich halte im Kellett-Bowman-Bericht den Änderungsantrag Nr. 1 für das Schlüsselelement für die Agenturen in London, Alicante und für das Sortenamt.	I consider Amendment No 1 in the Kellett-Bowman report to be the key element for the agencies in London and Alicante and for the Trademarks Agency.
Hier sollte die Kommission, aber auch der Rat die Position des Europäischen Parlaments sehr ernst nehmen.	Here both the Commission and the Council should take the position of the European Parliament very seriously.
Seit drei Jahren haben wir im Haushaltsverfahren ständig das Nullwachstum im Bereich des Personals für die Kommission, aber auch die anderen europäischen Institutionen beschlossen.	For three years we have constantly decided in the budgetary procedure on zero growth for the staff of the Commission, as well as the other European institutions.
Für die Agenturen gab es bei dem Personal jährlich ein durchschnittliches Wachstum von 17 %.	Where the agencies are concerned, there has been an average annual growth of 17 % in staff.
Ich frage mich, ob das nun ein ehrliches oder unehrliches Spiel der Kommission und der zuständigen Kommissare ist, oder sind die Agenturen hier schon der Kontrolle entglitten, wenn solche Mißstände eintreten können?	I ask myself whether this is an honest or dishonest game the Commission and the Commissioners responsible are playing, or have the agencies already escaped control here if such abuses are able to occur?
Die EVP-Fraktion wird sich die Entrechtung des EP durch die Bildung der Agenturen und das, was damit einhergeht, nicht bieten lassen.	The Group of the European People's Party will not tolerate the EP being deprived of its rights through the formation of agencies and all that comes with it.
Dabei geht es mir nicht um die Arbeit der Agenturen, nein, es geht um die Einhaltung der Haushaltsordnung und die Respektierung der Haushaltsbehörde.	I am not bothered about the work of the agencies; observing the Financial Regulations and respecting the budgetary authority is what concerns me.
Wir können nicht einerseits um die volle demokratische Kontrolle aller Ausgaben im Haushalt der Europäischen Union kämpfen, wenn sich andererseits die Agenturen der Haushaltsordnung der Europäischen Union entziehen.	We cannot fight for the full democratic control of budgetary expenditure in the European Union, whilst the agencies continue to evade the Financial Regulations.
