Herr Präsident, ich möchte mich diesem Protest anschließen.	Mr President, I should like to join in this protest.
Ich halte es zum einen für ungut, wenn wir die Debatte so auseinanderreißen. Das ist tatsächlich gerade in diesem Bereich mehrfach geschehen.	For one thing, I think it is frustrating to suspend the debate like this, which has happened on a number of occasions in this area.
Ich appelliere an das Präsidium und den Sitzungsdienst, die Zeiten besser einzuteilen, damit so etwas nicht wieder vorkommt.	I appeal to the Bureau and the sittings service to arrange the times better to ensure this does not recur in future.
Wir sind indessen dankbar, daß Frau Gradin, wenn sie denn unter Zeitdruck steht, hat reden können, und ich glaube, es haben ihr schon einige zugehört, lieber Kollege Schulz, aber es ist natürlich keine Art, wenn ringsherum der größte Krach ist, während die Frau Kommissarin redet.	We are grateful that Mrs Gradin was able to speak, although under pressure of time, and some people were actually listening to her, Mr Schulz, but of course it is bad manners to have all this uproar going on all around while the Commissioner is speaking.
Dies muß in Zukunft ausgeschlossen werden, nicht nur für Sie, Frau Gradin, sondern allgemein.	This must be prevented from happening in future, not just to you, Mrs Gradin, but in general.
Das geht so nicht, wie wir das handhaben!	It will not do, the way we are conducting this!
Zum weiteren bedauere ich, daß die Debatte auseinandergerissen ist, weil auch viele von den Kollegen womöglich heute abend gar nicht mehr da sein werden, wenn weiter diskutiert wird.	Furthermore, I am sorry that the debate has been suspended as many colleagues will quite possibly not be present this evening if there is further discussion.
Also, das ist eine wirklich ungute Situation, die behoben werden muß.	All in all, this is a really unsatisfactory situation which must be remedied.
Das soll nicht wieder vorkommen!	It should not happen again!
Des weiteren möchte ich, Herr Präsident, darauf aufmerksam machen, daß auf meiner Liste der Bericht bereits zur Abstimmung ansteht.	Mr President, I would also like to draw your attention to the fact that on my list the report is shown as ready to be voted on.
Das geht natürlich nicht!	This will just not do!
Ich bedauere, daß dann die Abstimmung erst wer weiß wann stattfindet und auch dies dann nochmal auseinandergerissen wird, ohne daß wir dann überhaupt einen Zusammenhang zwischen Bericht, Aussprache und Meinung der Kommission und letztendlich der Abstimmung herstellen können.	I am sorry that the vote will take place who knows when and this debate will be suspended again as well, so that we will not be able to make a connection between the report, the debate, the Commission's opinion and finally the vote.
Also, ich möchte mich diesem Protest hier anschließen.	I would therefore like to join this protest.
