Frau Präsidentin! Ich werde zum Bericht Teverson sprechen.	Madam President, I would like to talk about the Teverson report.
Wer sich den Bericht der Kommission ansieht, kann dem Berichterstatter nur beipflichten.	Anyone who looks at the Commission's report can only agree with the rapporteur.
Es muß uns doch mit Besorgnis erfüllen, daß es seit Veröffentlichung des ersten Berichts vor einem Jahr keine Verbesserung der Kontrollen gegeben hat und daß es hier offensichtlich am politischen Willen der Mitgliedstaaten mangelt.	We ought to be extremely worried that since the first report was published a year ago there has been no improvement in controls, and that the political will of the Member States is evidently lacking.
Es ist aber auch zu bedauern, daß der Bericht der Kommission so dürftig und wenig aussagekräftig ist.	But it is also regrettable that the Commission's report is so feeble and meaningless.
Fast hat man den Eindruck, daß die Kommission sich hier einer lästigen Pflicht entledigen will.	It almost gives the impression that the Commission just wants to relieve itself of a burdensome duty.
Sie ist zu passiv und zu zögerlich, wo unbedingtes Handeln erforderlich wäre.	It is too passive and too hesitant, whereas definite action is what is needed.
Es wäre zum Beispiel unbedingt nötig, daß die Kommission den Mitgliedstaaten klarere Vorgaben macht, welche Art von Informationen sie weiterzugeben haben, damit man einheitliche Daten bekommt, denn nur so lassen sich diese überhaupt vergleichen, und nur so kann man dann einen Bericht erstellen, der am Ende nicht mehr Fragen offenläßt, als er Antworten gibt.	For instance, the Commission absolutely must give the Member States clearer rules about what kind of information they are to provide, so as to obtain uniform information, because comparable information can only be obtained if this is done. Otherwise, the end result will be a report which begs more questions than it answers.
Es wäre weiterhin unbedingt ein Aktionsplan zur Verbesserung der Kontrollen durch die Mitgliedstaaten erforderlich, ein Aktionsplan, der alle Sektoren der gemeinsamen Fischereipolitik erfaßt, also auch zum Beispiel die der Absatzkanäle.	An action plan for improving controls by the Member States is also necessary, covering all sectors of the Common Fisheries Policy, including marketing channels, for instance.
Es müßte ein wesentliches Ziel dieses Aktionsplans sein, die Zusammenarbeit zwischen den Mitgliedstaaten, aber auch zwischen diesen und der Kommission zu fördern.	An essential goal of this action plan should be to encourage cooperation between Member States, but also between them and the Commission.
Die Kommission wird aber auch nicht umhinkommen, ernsthaft über eine Harmonisierung der Sanktionen nachzudenken, denn nur Abschreckung schützt vor Übertretung und nur die Einheitlichkeit von Sanktionen kann den Überwachungsmaßnahmen bei den Fischern der verschiedenen Mitgliedstaaten zu Glaubwürdigkeit verhelfen.	However, the Commission will not be able to avoid giving serious consideration to harmonizing sanctions, because only deterrence provides protection against infringement, and only uniformity of sanctions can help to make the monitoring activities credible to the fishermen of the various Member States.
Das ist auch das Stichwort meiner letzten Bemerkung.	Credibility is also the key word of my last comment.
Einen Satz aus dem Bericht von Herrn Teverson möchte ich besonders unterstreichen: " Der jährliche Bericht der Kommission über die Kontrolle der gemeinsamen Fischereipolitik sollte wesentlich zur Aufrechterhaltung ihrer Glaubwürdigkeit beitragen."	I would particularly like to highlight one sentence in Mr Teverson's report: ' The Commission's annual report about control of the Common Fisheries Policy should contribute essentially to maintaining its credibility.'
Ich fürchte, dieser Bericht der Kommission hat seine Aufgaben hier nicht ganz erfüllt.	I fear that this Commission report has not quite lived up to this.
