Frau Präsidentin, Konflikte können wir nur gemeinsam meistern.	Madam President, we can only overcome conflicts by working together.
Das sagt auch der Varela-Bericht.	The Varela report also says as much.
Vor dem Hintergrund der Unstimmigkeiten zwischen der EU und Kanada, die auf ihrem Höhepunkt im März 1995 zu einer Verletzung des Völkerrechts führten, ist der jetzige Beschluß der NAFO als besonders erfreulich zu beurteilen.	In view of the disagreements between the EU and Canada, which at their climax in March 1995 resulted in an infringement of international law, the present decision by NAFO must be particularly welcome.
Die Verlängerung des Pilotprojektes zur Satellitenortung von Fischereifahrzeugen im Regelungsbereich der NAFO stellt die Weichen für eine ruhige See auf der Ebene der internationalen Fischereipolitik.	Extending the pilot project for satellite location of fishing vessels in the NAFO regulatory area has set the course for a calm sea in terms of international fisheries policy.
Wahrscheinlich war dies auch der Grund für die Fortsetzung des Projektes.	This was probably also the reason for continuing the project.
Dies ist gut, denn der jetzige befriedete Zustand kann sich dadurch verfestigen.	Which is a good thing, because it can consolidate the present peaceful situation.
Unser Ziel kann es ja nur sein, die verbindliche Satellitenüberwachung von bestimmten Fischereifahrzeugen im NAFO-Regelungsgebiet einzuführen.	Our goal must be to introduce compulsory satellite monitoring of specified fishing vessels in the NAFO regulatory area.
Als Kontrolle der Bestandserhaltungsmaßnahmen ist dies ohnehin erforderlich.	This is required anyway for monitoring stock conservation measures.
Im Ausschuß für Verkehr und Fremdenverkehr stimmen wir in der nächsten Woche über die erste Kommissionsmitteilung zur Einführung eines europäischen Satellitennavigationssystems im Luftverkehr ab.	We shall be voting next week in the Committee on Transport and Tourism on the first Commission communication on the introduction of a European satellite navigation system for air traffic.
Nicht nur in meinen Augen ist diese neue Technologie notwendig für Europa und überzeugend.	This technology is necessary for Europe and is impressive, and not just in my opinion.
Drei Jahre sind ausreichend, was den NAFO-Bereich angeht, um eine Entscheidung zur Satellitenüberwachung dort herbeizuführen.	As far as the NAFO area in concerned, three years are enough to make a decision about satellite monitoring.
Diese Entscheidung eilt, denn bereits bei der NAFOJahrestagung im September dieses Jahres sollte eine einheitliche Linie der EU zu Kontroll- und Durchführungsmaßnahmen im Fischereibereich eingebracht werden.	This decision is urgently required, because at the NAFO annual meeting in September this year a uniform EU line on monitoring and enforcement in the fisheries area should be adopted.
Der Ausschuß für Fischerei unterstützt daher den Änderungsantrag Nr. 1, denn eine Vereinheitlichung der Kontrollsysteme im NAFO-Bereich ist ein weiterer Schritt in eine konfliktfreie Zukunft.	The Committee on Fisheries therefore supports Amendment No 1, because creating uniform monitoring systems in the NAFO area is a further step towards a conflict-free future.
Ebenso sollte der Bericht der Kommission über die dort durchgeführte Kontrolle uns alle endlich in die Lage versetzen, Schlußfolgerungen ziehen zu können.	Likewise, the Commission's report on monitoring carried out in that area should finally enable us all to draw conclusions.
Das Parlament und die Kommission werden daher um entsprechende Maßnahmen gebeten.	Parliament and the Commission are therefore asked to act accordingly.
Zum Teverson-Bericht: Es ist wahr, es ist an der Zeit, feste und nachvollziehbare Kontrollmethoden für die Einhaltung der gemeinsamen Fischereipolitik zu erreichen.	Turning to the Teverson report, it is certainly true that it is time we had definite and comprehensible monitoring methods for the Common Fisheries Policy.
Was nützen denn Gesetze und Übereinkommen, wenn sie sozial nicht wirksam sind?	What is the use of laws and agreements if they are not socially effective?
Viele meiner Besucher wundern sich, daß hier im Parlament überall geraucht wird, obwohl es durch die vielen Schilder verboten ist.	Many of my visitors are amazed that people smoke everywhere in this Parliament, although there are many signs forbidding it.
Und wie sieht es auf den europäischen Meeren aus?	And what do we see on the European seas?
Schilder stehen dort keine, und die Richtlinien zur gemeinsamen Fischereipolitik sind uns allen bekannt.	There are no signs, but we all know about the directives on the Common Fisheries Policy.
Dennoch werden sie oft mißachtet, nicht ausreichend durchgesetzt oder kontrolliert.	But they are often ignored, or are inadequately implemented or monitored.
Die Glaubwürdigkeit eines ganzen Systems wird durch solche Verhaltensweisen in Frage gestellt.	The credibility of a whole system is called into question by such behaviour.
Eine Überfischung wird nur verhindert werden können, wenn die Überwachung der Fischereiaktivitäten engmaschig wird und wenn wirkungsvolle Sanktionsmaßnahmen eingeführt werden oder besser, wie die Kommission sagt, eine Unterstützung - auch eine finanzielle - gewährt wird für die verantwortlich handelnden Mitgliedstaaten, und deren Zahl wächst Gott sei Dank.	It will only be possible to prevent over-fishing if fisheries activities are tightly monitored and effective sanctions are introduced. It would be even better, as the Commission says, if support - including financial support - were given to those Member States which act responsibly, and the number of them is increasing, thank goodness.
Neben diesem Prinzip von Lob statt Bestrafung kann zur Verbesserung der Situation auch ein ausführlicher Aktionsplan der Kommission beitragen.	In addition to this principle of carrot instead of stick, a detailed Commission action plan would help to improve the situation.
Dessen Ausarbeitung erwarten wir.	We wait for it to be formulated.
Die Kommission lobt zwar in ihrem Bericht die Zusammenarbeit zwischen den Mitgliedstaaten zur Ermöglichung einer wirksameren Kontrolle.	In its report, the Commission praises the cooperation between Member States with the aim of achieving more effective monitoring.
Einige Mitgliedstaaten lassen jedoch - und das ist doch ein offenes Geheimnis - leider noch die richtige Einstellung zur Fischereipolitik vermissen.	However, it is an open secret that some Member States unfortunately still have the wrong attitude to fisheries policy.
Ohne diese jedoch wird unsere Arbeit ungeliebt und unbeachtet bleiben, ähnlich wie die Rauchverbotsschilder hier im Parlament.	But otherwise, our work would remain unloved and ignored, like the notices forbidding smoking here in Parliament.
