Herr Präsident, liebe Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, first of all thank you very much, Mrs Oomen-Ruijten.
Erst einmal schönen Dank, Frau Kollegin Oomen-Ruijten, Sie haben ja zu diesem Thema, der Verordnung 1408, hier schon öfter Stellung genommen.	You have seen fit to comment on this issue, Regulation No 1408, on occasion before, of course.
Ich danke Ihnen auch für Ihre Hartnäckigkeit und Ausdauer zu dem Thema.	I thank you for your tenacity and persistence here.
Sie wissen ja, daß die Sozialistische Fraktion - und ich denke, das gesamte Parlament - Sie in diesem Anliegen unterstützen.	You know that the Socialist Group - and, I think, the whole of Parliament - support you in this matter.
Die technischen Veränderungen in der vorliegenden Richtlinie sind im Prinzip alle richtig und längst überfällig.	The technical amendments to the present Directive are all correct in principle and long since overdue.
Leider war auch die Kommission wieder einmal etwas kleinmütig.	Unfortunately the Commission was once again somewhat fainthearted.
Darum haben wir einige Änderungsanträge von Ihnen unterstützt.	That is why we have supported some amendments of yours.
Ich denke, diese waren auch nötig, um für besondere Gruppen wie Studenten, Rentner oder Arbeitslose ein Signal zu setzen und zu zeigen, wie ernst wir die Freizügigkeit nehmen.	I also think these were needed in order to send a message to particular groups, such as students, pensioners and the unemployed, and to show generally how seriously we take freedom of movement.
Bereits in den Römischen Verträgen ist das Recht auf Freizügigkeit verankert.	The right to freedom of movement is already anchored in the Treaty of Rome.
Aber es ist immer wieder überraschend festzustellen, welche Hemmnisse und Barrieren die Mitgliedstaaten dagegen aufbauen und wie zögernd sie die soziale Gleichbehandlung umsetzen.	However, it is always surprising to discover what obstacles and barriers the Member States put up against this and how reluctant they are to bring about equality of social treatment.
Eine Reihe von Kommissionsvorschlägen und Parlamentsstellungnahmen schlummern beim Rat.	A series of Commission proposals and parliamentary opinions are lying dormant with the Council.
Sie werden nicht umgesetzt, weil wohl der politische Wille fehlt.	They are not being implemented because the political will is lacking.
Ich begrüße Ihre Forderung, Frau Oomen-Ruijten, daß wir einmal eine Übersicht bekommen, welche Mitgliedstaaten denn hier so stark blockieren.	I welcome your suggestion, Mrs Oomen-Ruijten, that we should be given an overview of which Member States are blocking progress so much.
Ich begrüße das, egal wer die Übeltäter sein werden!	I welcome it regardless of who the culprits are!
Auch die Kommission ist in einigen Punkten ein bißchen zu behäbig und zu vorsichtig.	The Commission likewise is a bit too complacent and cautious in several areas.
Das zeigt auch das neue Aktionsprogramm zur Freizügigkeit, das die soziale Sicherheit nicht mit dem gleichen Engagement vertritt wie die Freizügigkeit von Kapital, Waren und Dienstleistungen.	This is shown in the new action programme on freedom of movement, which fails to represent social security with the same commitment shown for the free movement of capital, goods and services.
Unser Ziel als Parlament, als Abgeordnete ist es, die Rechte der Arbeitnehmer auf Freizügigkeit zu garantieren, Diskriminierungen abzubauen und darüber hinaus einen mutigen Schritt zur weiteren Integration vorzubereiten und umzusetzen, und nicht erst, wie so oft, zu warten, bis der Europäische Gerichtshof einen Schritt vorwärts gemacht hat.	It is our aim as a Parliament, as elected representatives, to guarantee workers the right to freedom of movement, to reduce discrimination and to plan and take a courageous step towards further integration, and not wait, as so often happens, until the European Court of Justice has taken the lead.
Ich denke, es ist für Parlamentarier ein Armutszeugnis, wenn der Europäische Gerichtshof oder nationale Gerichtshöfe uns voranbringen müssen im Rahmen der europäischen Integration.	I think it is proof of how impoverished we are as parliamentarians if the European Court or national courts need to show us the way in the matter of European integration.
Das ist eine politische Aufgabe und eigentlich keine Aufgabe der Justiz.	This is a political task and not, in fact, a job for the judiciary.
Ich hoffe, wir kommen den Zielen, die ich eben genannt habe, mit dieser Verordnung ein kleines Stückchen näher.	I hope with this Regulation we can move a little closer to the objectives I have just stated.
Ich hoffe allerdings auch, daß wir endlich einen Erfolg verzeichnen können, daß eine Änderung einer Verordnung, die von der Kommission vorgelegt wurde, die wir im Parlament einmütig verabschiedet haben, dann auch vom Ministerrat umgesetzt wird.	Though I hope, too, that we can finally record a success, to the extent that an amendment to a Regulation proposed by the Commission, which we have unanimously passed in Parliament, will be implemented by the Council of Ministers.
Wenn das der Fall ist, dann bin ich sicher, daß auch ein Teil der Skepsis der Arbeitnehmer in Europa und der Bürgerinnen und Bürger abgebaut wird.	If this is the case, then I am certain that some of the scepticism of Europe's workers and citizens will be reduced in the process.
