Herr Präsident, Frau Schörling hat einen ausgezeichneten Bericht vorgelegt.	Mr President, Mrs Schörling has presented an excellent report.
Im Namen der Fraktion der Sozialdemokratischen Partei Europas möchte ich ihn befürworten, denn die Lücken in dem Kommissionspapier zu den Folgemaßnahmen der EU im Anschluß an die Weltgipfelkonferenz über die Sozialentwicklung sind offensichtlich.	On behalf of the Group of the Party of European Socialists I wish to recommend it to the House, for there are clear loopholes in the Commission's communication on the European Union's follow-up to the world summit for social development.
Die Kommission behauptet - Frau Schörling hat es ja eben auch bestätigt -, daß die Politik der EU und der EU-Mitgliedstaaten seit jeher im Einklang mit den Verpflichtungen von Kopenhagen stehe.	The Commission maintains, and indeed Mrs Schörling also confirms this, that the policies of the EU and of the EU Member States have always been compatible with the commitments of the Copenhagen Declaration and action programme.
Entsprechend dürftig sind dann auch die Vorschläge für Initiativen innerhalb der EU ausgefallen.	Proposals for initiatives within the EU have therefore been of correspondingly meagre proportions.
Es ist sicher richtig, daß die EU den Kampf gegen Arbeitslosigkeit, soziale Integration im positiven Sinne und die Bekämpfung der Armut als Philosophie befürwortet.	It is certainly right for the EU to advocate the philosophy of unemployment reduction, social integration in the positive sense and the eradication of poverty.
Aber was die Taten anbelangt, gibt es nicht mehr als wolkige Erklärungen.	But as far as real action is concerned, we have had nothing but vague declarations.
Wir fordern, daß die Bekämpfung der Armut und Ausgrenzung für die EU absolute Priorität genießt.	We demand that the fight against poverty and social exclusion be given top priority within the EU.
Deshalb müssen im Rahmen des Europäischen Sozialfonds Maßnahmen ergriffen werden.	Measures must therefore be taken within the framework of the European Social Fund.
Seit Jahren liegt das Programm zur Bekämpfung von Armut auf Eis, weil die deutsche Regierung gegen eine EU-Initiative ist.	For many years the programme to eradicate poverty has been put on hold because the German government was opposed to any EU initiative.
Diese deutsche Blockade muß aufgebrochen werden.	This German blockade must be broken.
Wir fordern die Kommission auf, den neuen Artikel im Amsterdamer Vertrag gegen die soziale Ausgrenzung zu interpretieren, d.h. wir brauchen eine Definition der rechtlichen Instrumente, um nach der Ratifikation des Amsterdamer Vertrags Maßnahmen für Langzeitarbeitslose, für Arme, für behinderte Personen und ältere Menschen ergreifen zu können.	We call upon the Commission to interpret the new article in the Treaty of Amsterdam as a means to combat social exclusion, that is to say, we require a definition of the legal instruments so that after ratification of the Treaty, measures can be taken for the benefit of the long-term unemployed, the poor, the disabled and the elderly.
Die Prioritäten auf internationaler Ebene sind im Kommissionsvorschlag wesentlich ausführlicher behandelt.	The Commission's proposal deals in much greater detail with the priorities which have been laid down at international level.
Nun ist die Politik der EU im Bereich der Entwicklungszusammenarbeit tatsächlich auf Armutsbekämpfung ausgerichtet.	EU policy in the area of development cooperation is actually directed at the eradication of poverty.
Unsere Forderungen nach Programmen zur Verringerung der Schuldenlast, nach Erfüllung der Verpflichtung, 0, 7 % des Bruttosozialprodukts in den nationalen Haushalten für die Entwicklungszusammenarbeit bereitzustellen, nach Einhaltung der IAO-Normen für die grundlegenden arbeitsrechtlichen Bedingungen sowie der verschiedenen UNO-Übereinkünfte zum Schutz der Menschenrechte und des Kindes haben wir immer wieder bekräftigt.	We have repeatedly endorsed our call for programmes aimed at debt reduction, after we have fulfilled the commitment to provide 0.7 % of GDP for official development assistance, and after compliance with ILO standards for basic working conditions and with the UN declaration of human rights and the UN child convention.
Wir haben aber auch der Forderung nach einer Globalsteuer auf Währungsspekulationsgewinne, die sogenannte Tobin-Tax, in Form einer Parlamentsentschließung zum Kopenhagener Gipfel bereits Nachdruck verliehen worden.	But we have also called emphatically for a global tax on international currency speculation, the so-called Tobin Tax, in the form of a Parliamentary resolution to the Copenhagen Summit.
Die so abgeschöpften Finanzmittel zugunsten eines Fonds zur Minderung der Schuldenlast der ärmsten Länder zu nutzen, ist sicher eine sehr sinnvolle Sache.	Using taxes obtained from this source to create a fund for debt reduction for the poorest countries is without doubt a very practical move.
Meine Fraktion kann deshalb dem Änderungsantrag 10 der Fraktion der Europäischen Volkspartei nicht zustimmen, denn wir meinen, daß diese Steuer erhoben werden sollte.	My group cannot therefore support Amendment No 10 as proposed by the Group of the European People's Party, for we believe that this tax should be imposed.
