Ja, ich möchte das kurz erklären.	Yes, I would just like to explain that.
Ich habe den deutschen Text, und im Deutschen ist die Frage "Staatsanwaltschaft" ein bestimmter Begriff, der mit Inhalten ausgefüllt ist.	I have the German text and in this version the term "public prosecutor' carries a certain meaning.
Es gibt nichts Vergleichbares auf der europäischen Ebene.	There is nothing comparable at European level.
In jeder Sprache stellt sich dieser Begriff anders dar.	This term is represented differently in each language.
Ich bin von so vielen Seiten angesprochen worden, daß ich mich auf den deutschen Text gestützt habe, wie ich es auch im Ausschuß vorgetragen habe.	I have had approaches made from so many sides that I have resorted to the German text as it was submitted in committee.
Ich bin für die Übersetzung nicht verantwortlich.	I am not responsible for the translation.
Klar ist, daß hier etwas geschaffen wird, das es noch nicht gibt, das den nationalen Dingen Rechnung trägt, den usancen und den Traditionen, den Kompetenzen.	Clearly, something has been created here which does not yet exist, which takes account of national circumstances, usage and traditions and indeed powers of authority.
Wie diese Sache heißt, ist letztendlich die zweite Frage.	What we should really call it ultimately becomes the second question.
Deshalb bitte ich doch, das Konzept nicht an dem Wort als solchem aufzuhängen, sondern den Begriff zu identifizieren.	I would therefore ask you not to attribute a particular meaning to this word as such, but rather to identify the underlying concept.
Ich hoffe, daß Frau Gradin heute die Möglichkeit hat, das ein bißchen zu erläutern, denn hier soll ja nicht in nationale Dinge eingegriffen werden, sondern dies könnte für Europa eine neue Institution sein.	I hope that Mrs Gradin will have the opportunity today to comment on this matter, for we are not seeking to interfere in national arrangements but rather are contemplating the setting-up of a new European institution.
Herr Präsident, ich möchte Sie noch auf eines aufmerksam machen.	Mr President, I should also like to draw your attention to another matter.
Ich spreche zur Geschäftsordnung.	I am speaking on a point of order.
Ich weiß nicht, wie die Rednerliste aussieht, aber wenn es heute zum drittenmal passiert, daß Frau Gradin bei hereinströmenden und entsprechenden Lärm verursachenden Abgeordneten ihre Meinung und die der Kommission zur Kenntnis geben muß, wenn wir kurz vor der Abstimmung stehen, dann ist das nicht mehr tragbar.	I do not know what the list of speakers looks like, but if for a third time we find that Mrs Gradin has to voice her opinion and that of the Commission while Members of this House are pouring into the Chamber, with all the noise that this entails, and with the vote soon to take place, then I say that this is simply unacceptable.
Deshalb bitte ich, daß Sie mit der Zeit so umgehen, daß Frau Gradin die volle Aufmerksamkeit dieses Hauses hat und nicht durch Geräusche gestört wird.	I would therefore ask that you organize the sitting in such a way that Mrs Gradin has the full attention of this House and is not disturbed by noise of any kind.
Bitte sorgen Sie dafür!	I hope that you will give this matter your attention.
