Herr Präsident! Ganz bestimmt ist dieser Bericht von Herrn Malerba ein guter Bericht.	Mr President, there is no doubt that the Malerba report is a good one, and well written.
Er ist gut geschrieben. Aber ich muß trotzdem einige Vorbehalte an der ganzen Orientierung und auch an einigen Redebeiträgen in dieser Diskussion anmelden.	Nevertheless, I must express some reservations about its whole orientation and also about some speakers' contributions to this discussion.
Ich schätze sehr, was Herr Leon Brittan getan hat, weil ich weiß, daß sein Bestreben war, irgendwie zu erreichen, daß wir mit den USA auf diesem besonderen Gebiet eine halbwegs erträgliche Gemeinschaft schaffen können.	I very much value what Sir Leon Brittain has done, because I know he has endeavoured somehow or other to achieve a situation in which we can create a reasonably tolerable community with the USA in this particular area.
Es ist also ein sehr wertvoller Versuch.	It is therefore a very valuable attempt.
Trotzdem muß ich sagen, daß sehr vieles zeigt, daß dieser Versuch nicht sehr erfolgreich sein kann, und zwar aus einem einfachen Grund: Die Amerikaner sind bestimmt unsere Freunde.	Nonetheless I have to say that there are many signs that this attempt cannot be very successful, for a simple reason: the Americans are certainly our friends.
Wir sind ihnen zu großem Dank verpflichtet.	We owe them a great deal of gratitude.
Aber auf der anderen Seite kann es nicht ewig so weitergehen, daß sich auf ökonomischem Gebiet eine Macht durchsetzt, die sich sogar jenseits der internationalen Gepflogenheiten und Gesetze wähnt und dort interveniert, wo es nicht ihre Sache ist.	But on the other hand, it cannot continue to be the case forever that one power asserts itself in the economic area, imagining itself to be outside international practices and laws, and intervening where it has no business to do so.
Ich möchte speziell auf das hinweisen, was immer wieder durch die extraterritoriale Gesetzgebung durchgeführt wird.	I would particularly like to refer to what is implemented time and again by means of extraterritorial legislation.
Es ist ja geradezu genial, wie es die amerikanischen wirtschaftlichen Interessen zustande bringen, immer wieder Schlupflöcher zu finden - genau das, was den Japanern vorgeworfen wird -, um in der Praxis das nicht einhalten zu müssen, wozu sie sich schriftlich verpflichtet haben.	The way in which US industrial interests repeatedly manage to find loopholes - the very thing with which the Japanese are reproached - verges on the brilliant. They do this so that in practice they do not have to keep to what they have committed themselves to in writing.
Das ist doch ganz besonders in der Frage der internationalen Gesetzgebung gegeben.	This situation arises particularly in the matter of international legislation.
Ich möchte hier z.B. auf eine Tatsache verweisen, die zweifelsohne unseren Handel trifft: Es handelt sich um die neuen amerikanischen Maßnahmen, wonach man im Fernsehen nicht mehr in Europa stattfindende Sportereignisse zeigen kann, weil dort für alkoholische Getränke wie Wein und andere Alkoholika geworben wird.	I would like for example to mention here a fact which undoubtedly affects our trade: I refer to the new US measures under which sporting events that take place in Europe can no longer be shown on television because they display advertising for drinks such as wine and other alcoholic beverages.
Das trifft unsere Interessen sehr stark.	That has a very great effect on our interests.
Das schaltet uns schon im voraus aus dem Wettbewerb aus.	That eliminates us from competition in advance.
Ich glaube, wir sollten uns hier über eines im klaren sein - und damit möchte mich Herrn Souchet anschließen, obwohl ich nicht in allem mit ihm einer Meinung bin -, daß es leider so ist, daß die Amerikaner eine starke Regierung haben, die weiß, was sie will, die eine politische Linie festgelegt hat, und wir haben immer noch keinen wirklich entscheidenden Körper, der bei uns die Außenpolitik lenkt.	I believe we should be clear about one thing here - and I would like to endorse Mr Souchet's remarks, although I do not share his views on all matters. Unfortunately the Americans have a strong Government that knows what it wants and has laid down a political line, and we still do not have a real decisionmaking body to guide foreign policy for us.
Wenn wir das hätten, wären wir wesentlich besser dran!	If we did, we would be much better off!
