Herr Präsident, ich habe gewußt, daß Sie ein verständnisvoller Mann sind.	Mr President, I knew you were an understanding man.
Sie werden bestimmt auch noch einen Artikel finden, der es mir möglich macht, eineinhalb Minuten zu reden.	I am sure you will also find a Rule which makes it possible for me to speak for a minute and a half.
Ich unterstütze als jemand, der sich mit polizeilicher und justitieller Zusammenarbeit in der Europäischen Union befaßt, im Grundsatz das Anliegen des Kollegen Rübig.	As someone who deals with cooperation between the police and justice systems in the European Union, I support the concern of my colleague Mr Rübig in principle.
Klatschen Sie nicht zu früh.	Please do not clap too soon.
Herr Präsident, Sie ziehen den Beifall und die Zwischenrufe bitte von meiner Redezeit ab.	Mr President, please subtract the applause and the heckling from my speaking time.
Ich unterstütze das im Grundsatz, Herr Rübig, denn Sie machen sich ja auch zum Anwalt der Sicherheit der Kolleginnen und Kollegen dieses Hauses.	I support it in principle, Mr Rübig, because you are defending the safety of our colleagues in this Parliament.
Nur will ich Ihnen etwas zu bedenken geben, was ich in der Verhandlung mit den belgischen Behörden für ganz wichtig halte.	I merely want you to bear in mind something I consider to be very important in negotiations with the Belgian authorities.
Die Unsicherheit im Leopold-Viertel hat unter anderem etwas mit uns zu tun.	Apart from anything else, we play a role in the lack of safety in the Leopold quarter.
Es hat etwas damit zu tun, daß wir in den Augen von sehr vielen, natürlich auch von Kriminellen, Leute sind, bei denen es sich lohnt zuzuschlagen, was dazu führt - die Unterstützung durch den Hammer war richtig, Herr Präsident -, daß die Leute, die im Leopold-Viertel wohnen, die Menschen, die dort alltäglich leben, die Belgier also, die ohnehin schon unter uns zu leiden haben durch die Preistreiberei, die das Europäische Parlament dort verursacht hat, was Mieten und Grundstückspreise angeht, daß die natürlich auch Opfer der Kriminalität sind.	In the eyes of a great many people, including criminals of course, we are people worth attacking. This leads to the situation - you were right to use your hammer in support, Mr President - whereby the people who live in the Leopold quarter on a day-to-day basis are of course victims of crime as well - in other words the Belgians, who suffer at our hands in any case because prices have been driven up because of the European Parliament, as far as rents and land prices are concerned.
Deshalb erwähnen wir doch bitte zukünftig nicht nur uns, sondern auch die Menschen, die da leben.	So in future please let us not just mention ourselves, but also the people who live there.
Die Polizeistation, die dort eingerichtet werden soll, soll auch den belgischen Bürgern dienen.	The police station which is to be established there is to serve Belgian citizens as well.
Ich fände das gerecht, Herr Rübig, wenn wir alle Betroffenen miterwähnen würden.	I consider it right and proper, Mr Rübig, that we should mention all the affected parties.
