Herr Präsident! Es geht jetzt an den Rat und an die Kommission.	Mr President, this will now go forward to the Council and the Commission.
Sie haben die Änderungsanträge von mir vor sich liegen.	You have before you my motions for an amendment.
Kurz auf den Nenner gebracht handelt es sich um eine Ökologisierung der Textilindustrie insgesamt.	Briefly, they concern increasing the ecological awareness of the whole textile industry.
Das ist heute nicht das erste Mal, daß ich das anspreche.	This is not the first time that I have raised this topic.
Es gibt dazu auch ausführliche Debatten und auch Diskussionen, unter anderem mit Kommissar Bangemann.	There are detailed debates and discussions on this subject, including some with Commissioner Bangemann.
Meine Frage ist: Welche Programme hat die Kommission, welche Vorgehensweise plant der Rat, was eine dringend anstehende Ökologisierung in der Textilindustrie betrifft, z.B. in bezug auf die Entfernung von Schadstoffen in den Textilien selber, die zu Allergien führen, in bezug auf die Gefährdung der Arbeitnehmer, wenn sie diese Produkte herstellen, und die Gefährdung der Umwelt durch Luft-, Boden- und Wasserkontakte?	So I would ask what plans the Commission has and what procedure the Council intends to implement in terms of urgently increasing the ecological orientation of the textile industry, for example, in relation to the removal of pollutants in textiles themselves which can lead to allergies, and in relation to the danger to employees in manufacturing these products, as well as the danger to the environment through air, soil and water pollution?
Herr Bangemann hat mir hier vor einem Jahr erklärt, es gäbe eine Arbeitsgruppe, die sich mit dem Thema beschäftigt.	Mr Bangemann told me here a year ago that there was a working group dealing with this issue.
Es werde an Richtlinien gearbeitet.	Guidelines were being drawn up.
Das ist das eine.	That is one thing.
Nach Anfragen, die ich auch schriftlich an die Kommission gestellt habe, habe ich bislang nur leeres Papier, das heißt, es gibt keine Antwort darauf.	My various inquiries to the Commission - in writing, too - have produced no response, in other words, there is no answer to them.
Dazu hätte ich gern eine Meinung von Ihnen.	I would like to hear what you have to say about this.
Letzter Punkt: Es geht um Kinderarbeit.	I have one final point about child labour.
Sie wissen, daß in verschiedensten Stellungnahmen des Europäischen Parlaments über die Kinderarbeit - insbesondere in Portugal - in der Bekleidungs- und Textilindustrie geredet wird.	As you know, child labour in the clothing and textile industries, particularly in Portugal, is mentioned in a wide range of opinions by the European Parliament.
Dieses Phänomen in Europa ist erschreckend, und auch dazu bitte ich Sie, Stellung zu nehmen.	This is a dreadful phenomenon in Europe, and I would ask you to clarify your position on this too.
