Frau Präsidentin! Der Mord an Eduardo Umaña hat uns erschüttert.	Madam President, the murder of Eduardo Umaña Mendoza has shocked us all.
Dieses plötzliche und auch politische Verbrechen ist der bisher schlimmste Schlag gegen die Menschenrechtsbewegung und die gesamte Opposition in Kolumbien.	This sudden, politically motivated crime is the worst attack to date on the human rights movement and on all the opposition groups in Colombia.
Eine Reihe von uns kannten den langjährigen Anwalt persönlich.	This lawyer of many years' standing was known to some of us personally.
Wegen seiner letzten Fälle, und das wurde ihm auch angekündigt, mußte er mit dem Leben bezahlen. Denn der wohl profilierteste Anwalt Kolumbiens vertrat seit 20 Jahren konsequent und unnachgiebig Opfer von Menschenrechtsverletzungen.	He was even told that the recent cases he had been working on would cost him his life, for as Colombia's most distinguished lawyer he had for 20 years consistently and uncompromisingly represented the victims of human rights violations.
Es ist ein offenes Geheimnis, welche Kräfte aus Staat und Militär hinter dem Mord stehen.	It is an open secret as to which of the state and military forces were behind this murder.
Wer dennoch weiterhin Wirtschaftskooperation mit Kolumbien fördert und Zollerlässe durch das APS gewährt, macht sich mitschuldig an einer wahnwitzigen Gewaltspirale, die deren Nutznießer weiterdrehen.	Furthermore, those who are promoting economic cooperation with Colombia and granting customs waivers through the GSP are accessories to a terrible spiral of violence which continues to be fuelled by those who benefit from it.
Gestern nachmittag erst drangen 30 Soldaten mit Durchsuchungsbefehlen in die Büros von Justicia y Paz und weitere Menschenrechtsbüros ein, angeblich um nach Attentätern zu fahnden.	Only yesterday afternoon some 30 soldiers with search warrants forced their way into the offices belonging to Justicia y Paz and other human rights organizations, allegedly in the hunt for would-be assassins.
Solche Einschüchterungen von Menschenrechtlern sind vollkommen inakzeptabel, und der Rat sollte sich eindeutig von dieser Politik Kolumbiens distanzieren.	Such intimidation of human rights supporters is completely unacceptable, and the Council should distance itself unequivocally from such a policy.
Die Kommission muß ihre gesamte Zusammenarbeit mit Kolumbien revidieren und konditionieren, sonst sind die Menschenrechtler in Kolumbien bald nicht nur mundtot, sondern tot!	The Commission must review the terms of its entire policy of cooperation with Colombia, otherwise the people fighting for human rights in Colombia will soon not just be muzzled but murdered!
Herr Kommissar, ich würde mich freuen, von Ihnen auch einmal Antworten auf Fragen zu bekommen.	Commissioner, I would be pleased if you could for once give us answers to some of these questions.
Ich weiß, Sie sind ein Meister an Diplomatie, aber eine Antwort wäre durchaus angemessen.	I know you are a master of diplomacy, but a response would be most appropriate in this case.
