Herr Präsident, ich möchte mich auf einige grundsätzliche Bemerkungen beschränken.	Mr President, I will limit myself to only a few basic comments.
Herr Kommissar, bei den Preisen - ob wir sie nun in diesem Preispaket festsetzen oder in der Agenda 2000 drastisch zurücknehmen - bleibt ja das Problem, daß es weiterhin ein Interventionssystem gibt.	Commissioner, in the case of prices - whether we fix them now in this prices package or reduce them drastically in Agenda 2000 - the problem remains that an intervention system still exists.
Die Preise sind jetzt schon für 80 % der kleinen und mittleren bäuerlichen Betriebe nicht ausreichend.	Already, prices are insufficient for 80 % of small and medium-sized farms.
Tatsache ist aber auch, daß die Festsetzung der Interventionspreise und das Interventionssystem selbst Überschüsse in diesen Bereichen schaffen und daß sich die Preise - jedenfalls langfristig - nie über das Interventionssystem erheben.	However, it is also a fact that the fixing of intervention prices and the intervention system itself create surpluses in these areas and that the prices - in any case long-term - never rise above the intervention system.
Das führt dazu, daß die meisten Betriebe mit diesen Preisen nicht leben können.	This leads to a situation where most farms cannot live with these prices.
Folglich kommt es darauf an, eine Umorientierung auf den Markt hin vorzunehmen, so daß die Betriebe am Markt höhere Preise erzielen können.	As a result, it is a matter of readjusting the market so that farms can obtain higher prices on the market.
Ich hoffe, daß diese Linie in der Agenda 2000 stärker zum Zuge kommt.	I hope that this is given greater emphasis in Agenda 2000.
Eine Überlegung zum Hanf: Herr Kommissar, setzen Sie sich dafür ein, daß das Euro-Geld auf Hanf gedruckt wird!	I would like to make a point regarding hemp: Commissioner, please give your support to European money being spent on hemp!
Dann brauchen Sie die 25 % nicht zurückzunehmen, denn dann haben wir einen riesigen Absatzmarkt.	Then you will not need to reduce the 25 % because we will then have a huge market.
Außerdem knistert das Geld so schön, und wir hätten weiterhin eine vernünftige Förderung eines sehr interessanten Produkts.	In addition, the money rustles so nicely and we would have reasonable ongoing support for a very interesting product.
Zum Tabak: Ich bin der Ansicht, daß der eigentliche Skandal nicht darin liegt, daß wir ein gesundheitsgefährdendes Produkt fördern, sondern daß, obwohl wir nur eine geringe Produktion haben, die auf dem Weltmarkt abgesetzt wird - auch Prämien sind eine indirekte Förderung -, hier Milliardenbeträge ausgegeben werden, die dazu dienen, den Preis auf dem Weltmarkt insgesamt zu drücken.	With regard to tobacco, it is my view that the true scandal lies not in the fact that we are promoting a product which endangers our health, but in the fact that, although only a low level of our production is destined for the world market - premiums are also a form of indirect support - billions are spent here to put pressure on the price in the world market overall.
Das ist eher eine Förderung der Tabakindustrie.	Thus, we are in fact supporting the tobacco industry.
Wir sollten sehen, daß unser Tabak auch hier in Europa abgesetzt wird und die Industrie ihn abnimmt.	We should see that our tobacco is also being sold here in Europe and that the industry is accepting it.
Auch hier brauchen wir eine Vorwärtsstrategie und weniger eine Strategie der Verhinderung.	Here, too, we need a positive strategy - not so much a strategy of prevention.
